source_prefill_fraction,deadline_scale,budget_label,budget_fraction,budget_move_limit,repair_steps,net_changed_requests,fraction_moved_requests_changed,miss_rate,p95_delay,mean_delay,p95_normalized_delay,objective_delta
0.2,0.25,0%,0.0,0,0,0.0,0.0,0.023255813953488372,2.4581267997523355,0.9193714251798759,0.4149470590755468,0.0
0.2,0.25,5%,0.05,2,0,0.0,0.0,0.023255813953488372,2.4581267997523355,0.9193714251798759,0.4149470590755468,0.0
0.2,0.25,10%,0.1,4,0,0.0,0.0,0.023255813953488372,2.4581267997523355,0.9193714251798759,0.4149470590755468,0.0
0.2,0.25,20%,0.2,8,0,0.0,0.0,0.023255813953488372,2.4581267997523355,0.9193714251798759,0.4149470590755468,0.0
0.2,0.25,unbounded,nan,nan,0,0.0,0.0,0.023255813953488372,2.4581267997523355,0.9193714251798759,0.4149470590755468,0.0
0.3,0.25,0%,0.0,0,0,0.0,0.0,0.05660377358490566,3.285644068799229,1.4052734036342382,0.7558844975073418,0.0
0.3,0.25,5%,0.05,2,0,0.0,0.0,0.05660377358490566,3.285644068799229,1.4052734036342382,0.7558844975073418,0.0
0.3,0.25,10%,0.1,5,0,0.0,0.0,0.05660377358490566,3.285644068799229,1.4052734036342382,0.7558844975073418,0.0
0.3,0.25,20%,0.2,10,0,0.0,0.0,0.05660377358490566,3.285644068799229,1.4052734036342382,0.7558844975073418,0.0
0.3,0.25,unbounded,nan,nan,0,0.0,0.0,0.05660377358490566,3.285644068799229,1.4052734036342382,0.7558844975073418,0.0
0.4,0.25,0%,0.0,0,0,0.0,0.0,0.008620689655172414,2.4260811759658716,0.4525144462246666,0.2941081050220613,0.0
0.4,0.25,5%,0.05,17,17,17.0,0.04885057471264368,0.008620689655172414,2.4260811759658716,0.452255615120795,0.2941081050220613,0.2526759138737731
0.4,0.25,10%,0.1,34,34,34.0,0.09770114942528736,0.008620689655172414,2.4260811759658716,0.45199678401691423,0.2941081050220613,2.588290224865659
0.4,0.25,20%,0.2,69,35,35.0,0.10057471264367816,0.008620689655172414,2.4260811759658716,0.4519815586578623,0.2941081050220613,4.045407322361086
0.4,0.25,unbounded,nan,nan,35,35.0,0.10057471264367816,0.008620689655172414,2.4260811759658716,0.4519815586578623,0.2941081050220613,4.045407322361086
0.5,0.25,0%,0.0,0,0,0.0,0.0,0.0196078431372549,2.407769390945162,0.5851259616292391,0.2941081050220613,0.0
0.5,0.25,5%,0.05,30,18,18.0,0.029411764705882353,0.014705882352941176,2.407769390945162,0.5397037629509506,0.2941081050220613,6.478907170947252
0.5,0.25,10%,0.1,61,18,18.0,0.029411764705882353,0.014705882352941176,2.407769390945162,0.5397037629509506,0.2941081050220613,6.478907170947252
0.5,0.25,20%,0.2,122,18,18.0,0.029411764705882353,0.014705882352941176,2.407769390945162,0.5397037629509506,0.2941081050220613,6.478907170947252
