source_prefill_fraction,deadline_scale,move_type,class,source_destination,source_action,target_destination,target_action,move_count
0.4,0.25,destination switch only,2,2,replay,0,replay,35
0.5,0.25,destination and action switch,2,2,state,0,replay,7
0.5,0.25,destination and action switch,2,2,state,1,replay,3
0.5,0.25,action switch only,2,2,state,2,replay,4
0.5,0.25,destination switch only,4,1,state,0,state,2
0.5,0.25,destination switch only,4,1,state,2,state,2
0.4,0.5,destination switch only,2,2,replay,0,replay,35
0.5,0.5,destination and action switch,2,2,state,0,replay,7
0.5,0.5,destination and action switch,2,2,state,1,replay,3
0.5,0.5,action switch only,2,2,state,2,replay,4
0.5,0.5,destination switch only,4,1,state,0,state,2
0.5,0.5,destination switch only,4,1,state,2,state,2
