policy,slack_multiplier,max_safe_shed_fraction,p95_delay_at_frontier,p95_normalized_delay_at_frontier,miss_rate_at_frontier,max_net_busy_at_frontier,max_prefill_busy_at_frontier
CVXPY-rounded,0.25,0.2,22.491738656798944,0.9280792868075004,0.0,0.24330089682051276,0.3985104052573932
CVXPY-rounded,0.5,0.3,40.25436850000057,0.7183256788693859,0.0,0.3382443658575499,0.6773859072654252
CVXPY-rounded,1.0,0.7,42.99909870400343,0.5473155759229663,0.0,0.5799725015156697,0.8498284045271997
CVXPY-rounded,2.0,0.7,40.05409318055019,0.3816169634887519,0.0,0.5203812328660972,0.7900109529025191
mirror-descent-rounded,0.25,0.3,24.987796848934195,0.7484538088952546,0.0,0.46102564102564086,0.4016064257028112
mirror-descent-rounded,0.5,0.7,31.65405238295838,0.9210166175726502,0.005813953488372093,0.8298506699487176,0.6936838262139466
mirror-descent-rounded,1.0,0.7,25.30136892184117,0.7545417035382924,0.0,0.8298615926153843,0.6936838262139466
mirror-descent-rounded,2.0,0.7,25.30136892184117,0.3772708517691462,0.0,0.8298615926153843,0.6936838262139466
crossover-greedy,0.25,0.4,50.62061538461536,0.674941538461538,0.0,0.9220512820512817,0.2920774005111354
crossover-greedy,0.5,0.7,38.13170537478584,0.9325985651965819,0.0,0.9220512820512817,0.7301935012778386
crossover-greedy,1.0,0.7,38.13170537478584,0.46629928259829095,0.0,0.9220512820512817,0.7301935012778386
crossover-greedy,2.0,0.7,38.13170537478584,0.23314964129914548,0.0,0.9220512820512817,0.7301935012778386
mixed-greedy,0.25,0.4,50.62061538461536,0.674941538461538,0.0,0.9220512820512817,0.2920774005111354
mixed-greedy,0.5,0.7,38.13170537478584,0.9325985651965819,0.0,0.9220512820512817,0.7301935012778386
mixed-greedy,1.0,0.7,38.13170537478584,0.46629928259829095,0.0,0.9220512820512817,0.7301935012778386
mixed-greedy,2.0,0.7,38.13170537478584,0.23314964129914548,0.0,0.9220512820512817,0.7301935012778386
replay-only,0.25,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE
replay-only,0.5,0.4,43.81256460658485,0.6882101099970979,0.0,5.47008547008547e-05,1.095290251916758
replay-only,1.0,0.5,62.57468588695574,0.32585021746660303,0.0,0.00012486235897435897,1.1111792625045638
replay-only,2.0,0.5,62.57468588695574,0.16292510873330152,0.0,0.00012486235897435897,1.1111792625045638
state-only,0.25,0.3,38.726153846153835,0.6244180458119661,0.0,0.8298461538461536,0.0
state-only,0.5,0.4,27.384923076923005,0.8756959529572655,0.0,0.9220512820512817,0.0
state-only,1.0,0.5,56.06693380376067,0.4672244483646722,0.0,1.3628458885470087,0.0
state-only,2.0,0.5,56.06693380376067,0.2336122241823361,0.0,1.3628458885470087,0.0
