model,regime,policy,objective,objective_gap_to_cvx,relative_gap_to_cvx,shed_achieved,shed_target,shed_violation,excess_shed,max_net_util,max_prefill_util,capacity_feasible,alpha,eta_x0,bisection_iterations,active_classes_moved,active_destinations_used,destination_entropy,action_entropy,replay_frac,state_frac,stay_frac,replay_shed_frac,state_shed_frac,replay_demand_over_capacity,state_bytes_over_capacity,feasible
DeepSeek-V4-Pro,bandwidth-spread,CVXPY,4.244374021,0,0,197.6172679,197.6172662,0,1.698688493e-06,0.5362588157,0.5000000017,True,nan,nan,nan,6,3,2.375795587e-07,3.3715138e-07,6.046516878e-09,0.03296004148,0.9670399525,1.215550859e-08,0.9999999878,0.6861710631,0.163328,True
DeepSeek-V4-Pro,bandwidth-spread,mirror-descent-best,4.244373986,0,0,197.6172662,197.6172662,0,0,0.536258816,0.5,True,0.001968383789,10,16,2,1,0,0,0,0.03296,0.96704,0,1,0.6861710631,0.163328,True
DeepSeek-V4-Pro,bandwidth-spread,replay-only,5.443476243,1.199102223,0.2825156823,197.6172662,197.6172662,0,0,0.5000398336,0.7997601918,True,nan,nan,nan,2,2,0.5326179928,0,0.03296,0,0.96704,1,0,0.6861710631,0.163328,True
DeepSeek-V4-Pro,bandwidth-spread,state-only,4.244373986,0,0,197.6172662,197.6172662,0,0,0.536258816,0.5,True,nan,nan,nan,2,1,0,0,0,0.03296,0.96704,0,1,0.6861710631,0.163328,True
DeepSeek-V4-Pro,prefill-spread,CVXPY,4.951076873,0,0,197.6172667,197.6172662,0,5.59105672e-07,0.5483528931,0.8000000005,True,nan,nan,nan,6,3,0.9999999939,2.566248814e-07,3.547418746e-09,0.03296001571,0.9670399807,9.115792871e-09,0.9999999909,0.6861710631,0.24172544,True
DeepSeek-V4-Pro,prefill-spread,mirror-descent-best,4.951464002,0.0003871292326,7.819091535e-05,197.6426036,197.6172662,0,0.02533739358,0.548348953,0.8000014306,True,0.003234863281,10,16,6,3,0.9999999993,0.0007626361245,7.389578018e-05,0.03344344089,0.9664826633,4.8331298e-05,0.9999516687,0.6861710631,0.24172544,True
DeepSeek-V4-Pro,prefill-spread,replay-only,5.444067439,0.492990566,0.09957239176,197.6172662,197.6172662,0,0,0.5000586001,0.8,True,nan,nan,nan,2,1,0,0,0.03296,0,0.96704,1,0,0.6861710631,0.24172544,True
DeepSeek-V4-Pro,prefill-spread,state-only,4.965404969,0.01432809577,0.002893935225,197.6172662,197.6172662,0,0,0.6056,0.8,True,nan,nan,nan,2,2,0.5326179928,0,0,0.03296,0.96704,0,1,0.6861710631,0.24172544,True
DeepSeek-V4-Pro,background-load-spread,CVXPY,5.292325278,0,0,197.6172667,197.6172662,0,5.453240988e-07,0.8000000017,0.8000000006,True,nan,nan,nan,6,3,1.515205296e-06,1.036748594e-06,6.99448183e-09,0.03296001584,0.9670399772,3.983822359e-08,0.9999999602,0.6861710631,0.24172544,True
DeepSeek-V4-Pro,background-load-spread,mirror-descent-best,5.292325252,0,0,197.6172662,197.6172662,0,0,0.8,0.8,True,0.002838134766,10,16,2,1,0,0,0,0.03296,0.96704,0,1,0.6861710631,0.24172544,True
