policy,shed_fraction,slack_multiplier,status,group_type,group,moved_requests,missed_requests,miss_rate,avg_missed_network_wait,avg_missed_prefill_wait,avg_missed_total_delay
CVXPY-rounded,0.2,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class2,70,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class4,6,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,class,class5,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,destination,k0,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,destination,k1,6,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,destination,k2,70,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,action,replay,6,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.2,0.25,OK,action,state,71,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class2,70,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class4,6,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,class,class5,1,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,destination,k0,1,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,destination,k1,5,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,destination,k2,71,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,action,replay,6,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.2,0.25,OK,action,state,71,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class0,16,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class1,20,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class2,8,0,0.0,0.0,0.0,0.0
deadline-aware-m0.8-rounded,0.2,0.25,OK,class,class3,14,4,0.2857142857142857,11.494400937728935,0.0,17.28537474969475
