policy,retained_prefill_fraction,deadline_scale,status,safe,rounded_retained_prefill_moved_s,rounded_retained_prefill_target_s,rounded_retained_prefill_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,drain_window_s,retained_prefill_removal_rate_s_per_s,drain_completion_s,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,repair_move_count,repair_move_summary
CVXPY-rounded,0.2,0.25,OK,True,165.47855421686745,165.47469879518073,1.0000232991612301,0.25468424905554093,0.1510688820512769,0.22432664632759725,2.1907446063976295,0.11216332316379862,0.0,1800.0,0.09193253012048191,1787.3147115485465,0.008427694653751195,0.008203480589022757,0.40280981337806715,0.5971901866219328,0,
repaired-CVXPY-rounded,0.2,0.25,OK,True,165.47855421686745,165.47469879518073,1.0000232991612301,0.25199251247750587,0.1510688820512769,0.1510688820512769,2.1907446063976295,0.11216332316379739,0.0,1800.0,0.09193253012048191,1787.3147115485465,0.008392824584995259,0.006084945843981988,0.4035553691666089,0.596444630833391,7,class0:k0/replay->k2/replay x1; class0:k1/replay->k2/replay x1; class0:k1/state->k2/replay x1; class0:k2/state->k2/replay x1; class1:k1/replay->k0/replay x1; class1:k2/replay->k0/replay x1; class3:k1/replay->k2/replay x1
deadline-aware-m0.8-rounded,0.2,0.25,OK,True,165.5132530120482,165.47469879518073,1.000232991612302,0.6684092874173296,0.05608516243660233,3.589253227805648,17.715678632478582,0.283254153846201,0.0,1800.0,0.09195180722891567,1810.6141147741148,0.01526924897245964,0.017592795424120726,0.4544141625902632,0.5455858374097368,0,
deadline-aware-m1.0-rounded,0.2,0.25,OK,True,165.5132530120482,165.47469879518073,1.000232991612302,1.076579177204766,0.06294536752136537,5.8896210051282365,16.33874871794871,0.28325415384614416,0.0,1800.0,0.09195180722891567,1804.077399153287,0.021917397625071226,0.009519289278325422,0.3715583508036338,0.6284416491963661,0,
mirror-descent-rounded,0.2,0.25,OK,True,170.9879518072289,165.47469879518073,1.0333178005591799,0.2665222249388065,0.1510688820512769,1.680825675311043,2.1907446063976295,0.059804244561650205,0.0,1800.0,0.09499330655957161,1785.2096125309258,0.008392715669515678,0.007301935012778386,0.4227733934611053,0.5772266065388946,0,
crossover-greedy,0.2,0.25,OK,True,170.9879518072289,165.47469879518073,1.0333178005591799,0.2665222249388065,0.1510688820512769,1.680825675311043,2.1907446063976295,0.059804244561650205,0.0,1800.0,0.09499330655957161,1785.2096125309258,0.008392715669515678,0.007301935012778386,0.4227733934611053,0.5772266065388946,0,
mixed-greedy,0.2,0.25,OK,True,170.9879518072289,165.47469879518073,1.0333178005591799,0.2665222249388065,0.1510688820512769,1.680825675311043,2.1907446063976295,0.059804244561650205,0.0,1800.0,0.09499330655957161,1785.2096125309258,0.008392715669515678,0.007301935012778386,0.4227733934611053,0.5772266065388946,0,
replay-only,0.2,0.25,OK,True,168.67469879518075,165.47469879518073,1.0193383038210626,2.190744606397627,2.1907446063976295,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.09370816599732264,1673.619316034969,1.2763532763532757e-06,0.017037848363149567,1.0,0.0,0,
state-only,0.2,0.25,OK,True,170.9879518072289,165.47469879518073,1.0333178005591799,0.30780399302962147,0.1510688820512769,0.1510688820512819,5.532307692307768,0.02014251760683759,0.0,1800.0,0.09499330655957161,1788.056579536968,0.009220512820512818,0.0,0.0,1.0,0,
CVXPY-rounded,0.3,0.25,OK,True,248.21204819277108,248.21204819277105,1.0000000000000002,0.3791388715604082,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.07302482021325432,0.0,1800.0,0.13789558232931726,1787.1907446063976,0.008427786453941127,0.014728489716441522,0.6021124572848715,0.3978875427151285,0,
