D,method,metric,mean,std
1.0,optimizer,evac_frac,0.24863062992118048,0.0
1.0,optimizer,token_wtd,0.025711467756746566,0.0
1.0,optimizer,kv_wtd,0.005987502902410441,0.0
1.0,optimizer,min_class,0.00357103812149151,0.0
1.0,optimizer,phi,1.0,0.0
1.0,random,evac_frac,0.0717504540237455,0.003913395465851962
1.0,random,token_wtd,0.003995261880523939,0.00017137182042763696
1.0,random,kv_wtd,0.0033621550236692306,0.0004089720624374665
1.0,random,min_class,0.0,0.0
1.0,random,phi,12835.302822667709,6921.574117772794
1.0,random,num_starved,26.0,0.0
1.0,replay_only,evac_frac,0.06291661800061162,0.0
1.0,replay_only,token_wtd,0.0035631174324224544,0.0
1.0,replay_only,kv_wtd,0.0026569357118015587,0.0
1.0,replay_only,min_class,0.0,0.0
1.0,replay_only,phi,22796.329769194122,0.0
1.0,replay_only,num_starved,23.0,0.0
1.0,state_only,evac_frac,0.0637737823109989,0.0
1.0,state_only,token_wtd,0.0036459547981462005,0.0
1.0,state_only,kv_wtd,0.0025285475055396075,0.0
1.0,state_only,min_class,0.0,0.0
1.0,state_only,phi,692.09694346895,0.0
1.0,state_only,num_starved,26.0,0.0
1.0,least_loaded,evac_frac,0.06291661800061162,0.0
1.0,least_loaded,token_wtd,0.0035631174324224544,0.0
1.0,least_loaded,kv_wtd,0.0026569357118015587,0.0
1.0,least_loaded,min_class,0.0,0.0
1.0,least_loaded,phi,18659.529787282907,0.0
1.0,least_loaded,num_starved,23.0,0.0
2.0,optimizer,evac_frac,0.35794142971043974,0.0
2.0,optimizer,token_wtd,0.03625751204182431,0.0
2.0,optimizer,kv_wtd,0.011665304696116204,0.0
2.0,optimizer,min_class,0.007142231619073347,0.0
2.0,optimizer,phi,1.0000000000000009,0.0
2.0,random,evac_frac,0.12201748323879393,0.015984275833004685
2.0,random,token_wtd,0.006253840495716733,0.0007293931180997065
2.0,random,kv_wtd,0.006635914164011841,0.0007707509083034373
2.0,random,min_class,0.0,0.0
2.0,random,phi,6417.651411333854,3460.787058886397
2.0,random,num_starved,24.84,0.36660605559646725
2.0,replay_only,evac_frac,0.11626895184506261,0.0
2.0,replay_only,token_wtd,0.007632699024572203,0.0
2.0,replay_only,kv_wtd,0.005466866001534337,0.0
2.0,replay_only,min_class,0.0,0.0
2.0,replay_only,phi,11398.164884597061,0.0
2.0,replay_only,num_starved,21.0,0.0
2.0,state_only,evac_frac,0.09039677680561847,0.0
2.0,state_only,token_wtd,0.0048188931860857764,0.0
2.0,state_only,kv_wtd,0.005057095011079215,0.0
2.0,state_only,min_class,0.0,0.0
2.0,state_only,phi,346.048471734475,0.0
2.0,state_only,num_starved,25.0,0.0
2.0,least_loaded,evac_frac,0.11626895184506261,0.0
2.0,least_loaded,token_wtd,0.007632699024572203,0.0
2.0,least_loaded,kv_wtd,0.005466866001534337,0.0
2.0,least_loaded,min_class,0.0,0.0
2.0,least_loaded,phi,9329.764893641453,0.0
2.0,least_loaded,num_starved,21.0,0.0
5.0,optimizer,evac_frac,0.5157254873795246,0.0
5.0,optimizer,token_wtd,0.09437743419233945,0.0
5.0,optimizer,kv_wtd,0.027466607651775603,0.0
5.0,optimizer,min_class,0.017855866499114637,0.0
5.0,optimizer,phi,1.0,0.0
5.0,random,evac_frac,0.3178581959523281,0.001479495418601412
5.0,random,token_wtd,0.028037002665920255,0.0019274503134086509
5.0,random,kv_wtd,0.01668000411965404,0.0015992967176918262
5.0,random,min_class,0.0,0.0
5.0,random,phi,2567.060564533542,1384.3148235545586
5.0,random,num_starved,19.1,0.3
5.0,replay_only,evac_frac,0.2283716276067907,0.0
5.0,replay_only,token_wtd,0.021807157179525825,0.0
5.0,replay_only,kv_wtd,0.014132094947378071,0.0
5.0,replay_only,min_class,0.0,0.0
5.0,replay_only,phi,4559.265953838824,0.0
5.0,replay_only,num_starved,18.0,0.0
5.0,state_only,evac_frac,0.3056315926699357,0.0
5.0,state_only,token_wtd,0.020051649392464486,0.0
5.0,state_only,kv_wtd,0.012642737527698034,0.0
5.0,state_only,min_class,0.0,0.0
5.0,state_only,phi,138.41938869379,0.0
5.0,state_only,num_starved,21.0,0.0
5.0,least_loaded,evac_frac,0.2283716276067907,0.0
5.0,least_loaded,token_wtd,0.021807157179525825,0.0
5.0,least_loaded,kv_wtd,0.014132094947378071,0.0
5.0,least_loaded,min_class,0.0,0.0
5.0,least_loaded,phi,3731.9059574565813,0.0
5.0,least_loaded,num_starved,18.0,0.0
10.0,optimizer,evac_frac,0.6204424362311617,0.0
10.0,optimizer,token_wtd,0.11692518725050288,0.0
10.0,optimizer,kv_wtd,0.05082255797176112,0.0
10.0,optimizer,min_class,0.03571183299822933,0.0
10.0,optimizer,phi,1.0,0.0
10.0,random,evac_frac,0.3772646699929505,0.006664951032974517
10.0,random,token_wtd,0.04522947045036158,0.0013890608152576903
10.0,random,kv_wtd,0.03406838230777901,0.0033149386232194785
10.0,random,min_class,0.0,0.0
10.0,random,phi,1283.530282266771,692.1574117772793
10.0,random,num_starved,17.0,0.0
10.0,replay_only,evac_frac,0.34565033042630194,0.0
10.0,replay_only,token_wtd,0.03636895202732786,0.0
10.0,replay_only,kv_wtd,0.02509538399263031,0.0
10.0,replay_only,min_class,0.0,0.0
10.0,replay_only,phi,2279.632976919412,0.0
10.0,replay_only,num_starved,16.0,0.0
10.0,state_only,evac_frac,0.3596059277301941,0.0
10.0,state_only,token_wtd,0.04154916330293119,0.0
10.0,state_only,kv_wtd,0.02528547505539607,0.0
10.0,state_only,min_class,0.0,0.0
10.0,state_only,phi,69.209694346895,0.0
10.0,state_only,num_starved,17.0,0.0
10.0,least_loaded,evac_frac,0.34565033042630194,0.0
10.0,least_loaded,token_wtd,0.03636895202732786,0.0
10.0,least_loaded,kv_wtd,0.02509538399263031,0.0
10.0,least_loaded,min_class,0.0,0.0
10.0,least_loaded,phi,1865.9529787282906,0.0
10.0,least_loaded,num_starved,16.0,0.0
20.0,optimizer,evac_frac,0.7482945026643122,0.0
20.0,optimizer,token_wtd,0.21178510193831546,0.0
20.0,optimizer,kv_wtd,0.09538949646915115,0.0
20.0,optimizer,min_class,0.07142376599645861,0.0
