monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
503556623716,1788542891225231328,2026/09/04 17:28:11.219,99.33,0,73832,1410,1512,40,P0,0x0000000000000000
503683466242,1788542891354766823,2026/09/04 17:28:11.347,106.21,0,73834,1365,1512,44,P0,0x0000000000000004
503811039904,1788542891480384893,2026/09/04 17:28:11.473,307.55,60,73834,1365,1512,45,P0,0x0000000000000004
503936718901,1788542891606121400,2026/09/04 17:28:11.599,317.73,60,73834,1365,1512,46,P0,0x0000000000000004
504062576789,1788542891732120797,2026/09/04 17:28:11.724,317.07,100,73834,1365,1512,46,P0,0x0000000000000004
504188498947,1788542891857938416,2026/09/04 17:28:11.851,285.09,100,73834,1305,1512,46,P0,0x0000000000000004
504314172902,1788542891983490498,2026/09/04 17:28:11.976,305.42,100,73834,1305,1512,46,P0,0x0000000000000004
504439877028,1788542892109349373,2026/09/04 17:28:12.101,289.28,92,73834,1305,1512,46,P0,0x0000000000000004
504566163542,1788542892236070518,2026/09/04 17:28:12.228,293.09,92,73834,1305,1512,46,P0,0x0000000000000004
504692658572,1788542892362377410,2026/09/04 17:28:12.355,291.04,100,73834,1290,1512,46,P0,0x0000000000000004
504819282773,1788542892489280153,2026/09/04 17:28:12.480,304.64,100,73834,1290,1512,47,P0,0x0000000000000004
504945660231,1788542892615120673,2026/09/04 17:28:12.607,337.27,100,73834,1290,1512,47,P0,0x0000000000000004
505075018103,1788542892747996889,2026/09/04 17:28:12.733,315.12,95,73834,1290,1512,47,P0,0x0000000000000004
505204525966,1788542892874152147,2026/09/04 17:28:12.866,286.85,100,73834,1275,1512,47,P0,0x0000000000000004
505330496068,1788542892999905696,2026/09/04 17:28:12.992,280.33,100,73834,1275,1512,47,P0,0x0000000000000004
505456676934,1788542893126497027,2026/09/04 17:28:13.118,293.96,94,73834,1275,1512,47,P0,0x0000000000000004
505586161918,1788542893258897215,2026/09/04 17:28:13.251,304.23,100,73834,1290,1512,47,P0,0x0000000000000004
505715271928,1788542893384726765,2026/09/04 17:28:13.377,306.30,100,73834,1290,1512,47,P0,0x0000000000000004
505841531606,1788542893511402866,2026/09/04 17:28:13.503,295.89,100,73834,1290,1512,47,P0,0x0000000000000004
505967941750,1788542893637565968,2026/09/04 17:28:13.629,315.92,100,73834,1290,1512,47,P0,0x0000000000000004
506094456682,1788542893764411730,2026/09/04 17:28:13.756,287.83,95,73834,1290,1512,47,P0,0x0000000000000004
506221195685,1788542893891065644,2026/09/04 17:28:13.883,278.86,100,73834,1290,1512,48,P0,0x0000000000000004
506347653277,1788542894017314151,2026/09/04 17:28:14.009,296.86,100,73834,1290,1512,48,P0,0x0000000000000004
506476497170,1788542894148754321,2026/09/04 17:28:14.135,300.29,100,73834,1305,1512,48,P0,0x0000000000000004
506604984026,1788542894274264660,2026/09/04 17:28:14.267,324.41,95,73834,1305,1512,48,P0,0x0000000000000004
506731463960,1788542894401750197,2026/09/04 17:28:14.392,312.51,95,73834,1305,1512,48,P0,0x0000000000000004
506858571619,1788542894528478314,2026/09/04 17:28:14.520,313.57,100,73834,1305,1512,48,P0,0x0000000000000004
506988275041,1788542894661180555,2026/09/04 17:28:14.653,272.23,100,73834,1290,1512,48,P0,0x0000000000000004
507117793441,1788542894787475109,2026/09/04 17:28:14.780,287.65,100,73834,1290,1512,48,P0,0x0000000000000004
507244070719,1788542894913755249,2026/09/04 17:28:14.906,300.93,95,73834,1290,1512,48,P0,0x0000000000000004
507369544099,1788542895038409966,2026/09/04 17:28:15.031,301.43,95,73834,1290,1512,48,P0,0x0000000000000004
507494918935,1788542895164539165,2026/09/04 17:28:15.157,312.69,95,73834,1290,1512,48,P0,0x0000000000000004
507621452629,1788542895291470562,2026/09/04 17:28:15.283,305.42,100,73834,1290,1512,48,P0,0x0000000000000004
507747743117,1788542895417073884,2026/09/04 17:28:15.410,285.56,100,73834,1290,1512,48,P0,0x0000000000000004
507875390010,1788542895546789965,2026/09/04 17:28:15.535,290.26,100,73834,1290,1512,48,P0,0x0000000000000004
508002865124,1788542895672006661,2026/09/04 17:28:15.665,288.32,95,73834,1275,1512,48,P0,0x0000000000000004
