monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
536665173225,1788542924335756013,2026/09/04 17:28:44.328,107.16,0,73834,1410,1512,52,P0,0x0000000000000000
536794206385,1788542924465691490,2026/09/04 17:28:44.454,311.42,1,73834,1275,1512,55,P0,0x0000000000000004
536923438747,1788542924594263785,2026/09/04 17:28:44.585,304.14,100,73834,1275,1512,54,P0,0x0000000000000004
537051308788,1788542924721424770,2026/09/04 17:28:44.712,307.44,100,73834,1275,1512,54,P0,0x0000000000000004
537178404946,1788542924848455772,2026/09/04 17:28:44.840,299.27,100,73834,1275,1512,54,P0,0x0000000000000004
537306473753,1788542924977576931,2026/09/04 17:28:44.969,307.52,100,73834,1275,1512,54,P0,0x0000000000000004
537434950992,1788542925105400570,2026/09/04 17:28:45.096,302.80,100,73834,1275,1512,54,P0,0x0000000000000004
537562724478,1788542925233130125,2026/09/04 17:28:45.224,308.32,100,73834,1275,1512,54,P0,0x0000000000000004
537694394053,1788542925368731165,2026/09/04 17:28:45.352,273.46,100,73834,1260,1512,54,P0,0x0000000000000004
537825523993,1788542925495392759,2026/09/04 17:28:45.487,297.45,100,73834,1260,1512,54,P0,0x0000000000000004
537952791040,1788542925623271011,2026/09/04 17:28:45.614,302.88,100,73834,1260,1512,54,P0,0x0000000000000004
538080719324,1788542925751241674,2026/09/04 17:28:45.742,299.89,100,73834,1260,1512,54,P0,0x0000000000000004
538207979291,1788542925877809307,2026/09/04 17:28:45.870,304.43,100,73834,1275,1512,54,P0,0x0000000000000004
538334940142,1788542926005153208,2026/09/04 17:28:45.996,306.58,100,73834,1275,1512,54,P0,0x0000000000000004
538462003765,1788542926131918839,2026/09/04 17:28:46.123,304.33,100,73834,1275,1512,54,P0,0x0000000000000004
538592045888,1788542926265245490,2026/09/04 17:28:46.250,297.83,100,73834,1275,1512,54,P0,0x0000000000000004
538722850797,1788542926393536932,2026/09/04 17:28:46.384,281.02,100,73834,1260,1512,54,P0,0x0000000000000004
538851389221,1788542926522316639,2026/09/04 17:28:46.513,295.70,100,73834,1260,1512,54,P0,0x0000000000000004
538979963621,1788542926650675492,2026/09/04 17:28:46.642,302.40,100,73834,1260,1512,54,P0,0x0000000000000004
539107996408,1788542926778413602,2026/09/04 17:28:46.769,301.25,100,73834,1260,1512,54,P0,0x0000000000000004
