monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
3197926099100,1788545585595825778,2026/09/04 18:13:05.588,120.55,0,73834,1410,1512,65,P0,0x0000000000000000
3198053738277,1788545585724724809,2026/09/04 18:13:05.717,356.02,31,73834,1260,1512,68,P0,0x0000000000000004
3198181705773,1788545585851731895,2026/09/04 18:13:05.843,294.14,31,73834,1260,1512,69,P0,0x0000000000000004
3198308890977,1788545585979120484,2026/09/04 18:13:05.970,308.90,100,73834,1260,1512,69,P0,0x0000000000000004
3198439603083,1788545586113199559,2026/09/04 18:13:06.098,306.75,100,73834,1275,1512,69,P0,0x0000000000000004
3198569663650,1788545586239204178,2026/09/04 18:13:06.231,311.78,100,73834,1275,1512,69,P0,0x0000000000000004
3198696105024,1788545586366102085,2026/09/04 18:13:06.358,319.85,100,73834,1275,1512,69,P0,0x0000000000000004
3198823104705,1788545586493178671,2026/09/04 18:13:06.485,306.96,100,73834,1275,1512,69,P0,0x0000000000000004
3198949886896,1788545586619664072,2026/09/04 18:13:06.611,268.99,100,73834,1275,1512,69,P0,0x0000000000000004
3199076115462,1788545586745639542,2026/09/04 18:13:06.738,299.99,100,73834,1275,1512,69,P0,0x0000000000000004
3199202243296,1788545586871922144,2026/09/04 18:13:06.864,310.91,100,73834,1275,1512,69,P0,0x0000000000000004
3199328548926,1788545586998248499,2026/09/04 18:13:06.990,308.61,100,73834,1275,1512,69,P0,0x0000000000000004
3199454971106,1788545587124754690,2026/09/04 18:13:07.117,326.34,100,73834,1260,1512,69,P0,0x0000000000000004
3199581760245,1788545587251644326,2026/09/04 18:13:07.243,301.52,100,73834,1260,1512,69,P0,0x0000000000000004
3199708267487,1788545587377932119,2026/09/04 18:13:07.370,289.86,100,73834,1260,1512,69,P0,0x0000000000000004
3199836338406,1788545587507805180,2026/09/04 18:13:07.496,319.65,100,73834,1260,1512,69,P0,0x0000000000000004
