monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
5033153057379,1788547420823425152,2026/09/04 18:43:40.815,118.08,0,73834,1410,1512,62,P0,0x0000000000000000
5033280994648,1788547420951625072,2026/09/04 18:43:40.943,285.68,0,73834,1410,1512,66,P0,0x0000000000000004
5033409245293,1788547421079961848,2026/09/04 18:43:41.071,299.10,34,73834,1410,1512,66,P0,0x0000000000000004
5033537207944,1788547421207528974,2026/09/04 18:43:41.200,287.13,100,73834,1260,1512,67,P0,0x0000000000000004
5033664940714,1788547421335425396,2026/09/04 18:43:41.327,285.47,100,73834,1260,1512,67,P0,0x0000000000000004
5033792320149,1788547421462281813,2026/09/04 18:43:41.454,293.64,100,73834,1260,1512,67,P0,0x0000000000000004
5033921525300,1788547421593827331,2026/09/04 18:43:41.581,267.05,100,73834,1260,1512,67,P0,0x0000000000000004
5034051093960,1788547421721434321,2026/09/04 18:43:41.714,326.13,100,73834,1290,1512,67,P0,0x0000000000000004
5034178928712,1788547421849347966,2026/09/04 18:43:41.840,275.84,100,73834,1290,1512,67,P0,0x0000000000000004
5034305928349,1788547421975571414,2026/09/04 18:43:41.968,283.83,100,73834,1290,1512,67,P0,0x0000000000000004
5034434788390,1788547422107080251,2026/09/04 18:43:42.099,294.54,100,73834,1275,1512,67,P0,0x0000000000000004
5034564527861,1788547422235067154,2026/09/04 18:43:42.226,279.73,100,73834,1275,1512,67,P0,0x0000000000000004
5034692409452,1788547422362831350,2026/09/04 18:43:42.355,308.51,100,73834,1275,1512,66,P0,0x0000000000000004
5034822786828,1788547422495821014,2026/09/04 18:43:42.482,255.51,100,73834,1275,1512,65,P0,0x0000000000000004
5034953201013,1788547422623442533,2026/09/04 18:43:42.615,284.20,100,73834,1410,1512,65,P0,0x0000000000000000
5035080802934,1788547422751219603,2026/09/04 18:43:42.743,281.09,100,73834,1410,1512,67,P0,0x0000000000000000
5035207946161,1788547422877742032,2026/09/04 18:43:42.870,359.50,92,73834,1410,1512,67,P0,0x0000000000000004
5035338532364,1788547423012394221,2026/09/04 18:43:43.005,310.65,100,73834,1260,1512,67,P0,0x0000000000000004
5035469913806,1788547423140501709,2026/09/04 18:43:43.132,298.04,100,73834,1260,1512,67,P0,0x0000000000000004
5035597438322,1788547423267459635,2026/09/04 18:43:43.260,283.62,100,73834,1260,1512,67,P0,0x0000000000000004
5035726976541,1788547423399574831,2026/09/04 18:43:43.386,330.97,100,73834,1290,1512,67,P0,0x0000000000000004
5035856473112,1788547423526463487,2026/09/04 18:43:43.519,288.02,100,73834,1290,1512,67,P0,0x0000000000000004
5035982974943,1788547423652580847,2026/09/04 18:43:43.645,270.76,100,73834,1290,1512,67,P0,0x0000000000000004
5036109664080,1788547423779820811,2026/09/04 18:43:43.772,314.43,100,73834,1290,1512,67,P0,0x0000000000000004
5036236371821,1788547423905992043,2026/09/04 18:43:43.898,270.97,100,73834,1275,1512,67,P0,0x0000000000000004
5036363176419,1788547424033434726,2026/09/04 18:43:44.025,294.54,100,73834,1275,1512,67,P0,0x0000000000000004
5036489853979,1788547424159346140,2026/09/04 18:43:44.152,331.64,100,73834,1275,1512,67,P0,0x0000000000000004
5036616591918,1788547424286920210,2026/09/04 18:43:44.278,276.82,100,73834,1275,1512,66,P0,0x0000000000000004
5036744623219,1788547424415385780,2026/09/04 18:43:44.406,271.83,100,73834,1410,1512,66,P0,0x0000000000000000
5036872727882,1788547424543141900,2026/09/04 18:43:44.535,285.38,100,73834,1410,1512,66,P0,0x0000000000000000
5036999981416,1788547424669908617,2026/09/04 18:43:44.662,206.13,100,73834,1410,1512,67,P0,0x0000000000000004
5037129042526,1788547424801258229,2026/09/04 18:43:44.788,311.12,95,73834,1275,1512,67,P0,0x0000000000000004
5037258045041,1788547424927893570,2026/09/04 18:43:44.920,317.59,95,73834,1275,1512,67,P0,0x0000000000000004
5037384907442,1788547425054999373,2026/09/04 18:43:45.047,298.11,100,73834,1275,1512,67,P0,0x0000000000000004
