monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
5332391771245,1788547720062445982,2026/09/04 18:48:40.055,121.20,0,73834,1410,1512,66,P0,0x0000000000000000
5332519607477,1788547720189811688,2026/09/04 18:48:40.182,301.74,0,73834,1260,1512,69,P0,0x0000000000000004
5332647267751,1788547720317802286,2026/09/04 18:48:40.309,293.08,12,73834,1260,1512,69,P0,0x0000000000000004
5332774546675,1788547720444342976,2026/09/04 18:48:40.436,281.29,12,73834,1260,1512,70,P0,0x0000000000000004
5332905389862,1788547720579512275,2026/09/04 18:48:40.563,281.10,100,73834,1260,1512,69,P0,0x0000000000000004
5333036881731,1788547720707316865,2026/09/04 18:48:40.699,290.05,100,73834,1260,1512,70,P0,0x0000000000000004
5333164623454,1788547720834997826,2026/09/04 18:48:40.827,305.31,100,73834,1260,1512,70,P0,0x0000000000000004
5333293094946,1788547720963551736,2026/09/04 18:48:40.955,313.28,100,73834,1260,1512,69,P0,0x0000000000000004
5333420723498,1788547721090969324,2026/09/04 18:48:41.083,306.77,100,73834,1260,1512,70,P0,0x0000000000000004
5333548089459,1788547721218279170,2026/09/04 18:48:41.210,306.77,100,73834,1260,1512,70,P0,0x0000000000000004
5333675221338,1788547721345242770,2026/09/04 18:48:41.337,313.75,100,73834,1260,1512,70,P0,0x0000000000000004
5333805793027,1788547721479401279,2026/09/04 18:48:41.464,309.19,100,73834,1245,1512,70,P0,0x0000000000000004
5333936183619,1788547721606044110,2026/09/04 18:48:41.598,284.22,100,73834,1245,1512,70,P0,0x0000000000000004
5334063174951,1788547721733371159,2026/09/04 18:48:41.725,271.18,100,73834,1245,1512,70,P0,0x0000000000000004
5334189985599,1788547721859656792,2026/09/04 18:48:41.852,291.41,100,73834,1245,1512,70,P0,0x0000000000000004
5334317539732,1788547721988492007,2026/09/04 18:48:41.978,301.15,100,73834,1275,1512,70,P0,0x0000000000000004
5334446190919,1788547722116534954,2026/09/04 18:48:42.108,311.26,100,73834,1275,1512,70,P0,0x0000000000000004
