monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
5643486306342,1788548031156078081,2026/09/04 18:53:51.148,122.31,0,73834,1410,1512,66,P0,0x0000000000000000
5643614171689,1788548031285335795,2026/09/04 18:53:51.276,296.38,0,73834,1410,1512,70,P0,0x0000000000000004
5643742367559,1788548031412463879,2026/09/04 18:53:51.404,276.89,0,73834,1410,1512,70,P0,0x0000000000000004
5643873260269,1788548031547135943,2026/09/04 18:53:51.532,292.79,70,73834,1260,1512,70,P0,0x0000000000000004
5644004749539,1788548031675448709,2026/09/04 18:53:51.667,297.59,100,73834,1260,1512,70,P0,0x0000000000000004
5644132130104,1788548031801896834,2026/09/04 18:53:51.794,298.44,100,73834,1260,1512,70,P0,0x0000000000000004
5644258191046,1788548031927583367,2026/09/04 18:53:51.920,298.51,100,73834,1260,1512,71,P0,0x0000000000000004
5644384471327,1788548032054427150,2026/09/04 18:53:52.046,302.10,100,73834,1290,1512,71,P0,0x0000000000000004
5644510758321,1788548032180173225,2026/09/04 18:53:52.173,325.47,100,73834,1290,1512,71,P0,0x0000000000000004
5644636867574,1788548032306566998,2026/09/04 18:53:52.299,273.60,100,73834,1290,1512,71,P0,0x0000000000000004
5644764157660,1788548032433976748,2026/09/04 18:53:52.426,282.06,100,73834,1290,1512,71,P0,0x0000000000000004
5644891764001,1788548032562502080,2026/09/04 18:53:52.553,329.22,100,73834,1260,1512,71,P0,0x0000000000000004
5645018883407,1788548032688351662,2026/09/04 18:53:52.681,290.74,100,73834,1260,1512,71,P0,0x0000000000000004
5645144244280,1788548032813229075,2026/09/04 18:53:52.806,282.07,100,73834,1260,1512,71,P0,0x0000000000000004
5645272260041,1788548032944351885,2026/09/04 18:53:52.932,282.96,100,73834,1275,1512,71,P0,0x0000000000000004
5645401101944,1788548033070942276,2026/09/04 18:53:53.063,277.01,100,73834,1275,1512,71,P0,0x0000000000000004
5645527027372,1788548033196176354,2026/09/04 18:53:53.189,281.00,100,73834,1275,1512,71,P0,0x0000000000000004
5645653235695,1788548033323367356,2026/09/04 18:53:53.315,276.91,100,73834,1275,1512,71,P0,0x0000000000000004
5645780959706,1788548033451624688,2026/09/04 18:53:53.444,293.27,100,73834,1290,1512,71,P0,0x0000000000000004
5645907984838,1788548033577445602,2026/09/04 18:53:53.570,316.97,100,73834,1290,1512,71,P0,0x0000000000000004
5646033737875,1788548033703097991,2026/09/04 18:53:53.696,339.37,100,73834,1290,1512,71,P0,0x0000000000000004
5646159330644,1788548033828643596,2026/09/04 18:53:53.822,337.62,100,73834,1290,1512,71,P0,0x0000000000000004
5646285739395,1788548033955478193,2026/09/04 18:53:53.948,299.87,100,73834,1305,1512,71,P0,0x0000000000000004
5646412598990,1788548034082808048,2026/09/04 18:53:54.075,290.83,100,73834,1305,1512,71,P0,0x0000000000000004
5646539508819,1788548034209288473,2026/09/04 18:53:54.201,304.05,100,73834,1305,1512,71,P0,0x0000000000000004
5646670703439,1788548034345193109,2026/09/04 18:53:54.328,331.15,100,73834,1305,1512,71,P0,0x0000000000000004
5646801795982,1788548034471471316,2026/09/04 18:53:54.464,274.76,100,73834,1260,1512,71,P0,0x0000000000000004
5646928330974,1788548034598265818,2026/09/04 18:53:54.591,281.11,100,73834,1260,1512,71,P0,0x0000000000000004
5647054809486,1788548034724440793,2026/09/04 18:53:54.716,292.47,100,73834,1260,1512,71,P0,0x0000000000000004
5647182323014,1788548034853284649,2026/09/04 18:53:54.845,333.47,100,73834,1305,1512,72,P0,0x0000000000000004
5647309387910,1788548034978568161,2026/09/04 18:53:54.971,298.12,100,73834,1305,1512,71,P0,0x0000000000000004
5647435399681,1788548035105329511,2026/09/04 18:53:55.097,280.23,100,73834,1305,1512,71,P0,0x0000000000000004
5647562047157,1788548035231843827,2026/09/04 18:53:55.224,301.63,100,73834,1305,1512,71,P0,0x0000000000000004
5647689252401,1788548035359725002,2026/09/04 18:53:55.352,328.95,100,73834,1260,1512,71,P0,0x0000000000000004
5647815994136,1788548035485343725,2026/09/04 18:53:55.478,266.19,100,73834,1260,1512,71,P0,0x0000000000000004
5647942391437,1788548035612520256,2026/09/04 18:53:55.604,303.27,100,73834,1260,1512,71,P0,0x0000000000000004
5648071986282,1788548035744530139,2026/09/04 18:53:55.732,299.57,100,73834,1260,1512,71,P0,0x0000000000000004
5648201781826,1788548035872107097,2026/09/04 18:53:55.864,313.54,100,73834,1260,1512,71,P0,0x0000000000000004
5648328820360,1788548035998613608,2026/09/04 18:53:55.991,332.51,100,73834,1260,1512,71,P0,0x0000000000000004
5648455480667,1788548036125417993,2026/09/04 18:53:56.118,310.46,100,73834,1260,1512,71,P0,0x0000000000000004
5648584906667,1788548036257468933,2026/09/04 18:53:56.250,278.17,100,73834,1305,1512,71,P0,0x0000000000000004
5648714110386,1788548036383824081,2026/09/04 18:53:56.376,276.53,100,73834,1305,1512,71,P0,0x0000000000000004
5648841004726,1788548036511270516,2026/09/04 18:53:56.503,271.26,100,73834,1305,1512,71,P0,0x0000000000000004
5648970786464,1788548036643375606,2026/09/04 18:53:56.630,275.64,100,73834,1305,1512,71,P0,0x0000000000000004
5649100160988,1788548036770018180,2026/09/04 18:53:56.762,279.45,100,73834,1245,1512,71,P0,0x0000000000000004
5649227128153,1788548036897322500,2026/09/04 18:53:56.888,286.38,100,73834,1245,1512,71,P0,0x0000000000000004
5649354802658,1788548037025351752,2026/09/04 18:53:57.016,315.67,100,73834,1245,1512,71,P0,0x0000000000000004
5649482074587,1788548037151868983,2026/09/04 18:53:57.144,278.37,100,73834,1320,1512,71,P0,0x0000000000000004
5649609731219,1788548037280681697,2026/09/04 18:53:57.271,279.06,100,73834,1320,1512,72,P0,0x0000000000000004
5649737396698,1788548037407181124,2026/09/04 18:53:57.399,291.52,100,73834,1320,1512,71,P0,0x0000000000000004
5649863768511,1788548037533435203,2026/09/04 18:53:57.526,332.21,100,73834,1320,1512,71,P0,0x0000000000000004
5649990090778,1788548037659821008,2026/09/04 18:53:57.652,281.50,100,73834,1305,1512,71,P0,0x0000000000000004
5650116942715,1788548037787150279,2026/09/04 18:53:57.779,276.02,100,73834,1305,1512,71,P0,0x0000000000000004
5650243394553,1788548037912717922,2026/09/04 18:53:57.906,270.19,100,73834,1305,1512,71,P0,0x0000000000000004
5650373199871,1788548038046435447,2026/09/04 18:53:58.032,329.95,100,73834,1260,1512,72,P0,0x0000000000000004
5650502786536,1788548038172197843,2026/09/04 18:53:58.165,291.13,100,73834,1260,1512,72,P0,0x0000000000000004
5650628594918,1788548038298070024,2026/09/04 18:53:58.291,279.64,100,73834,1260,1512,71,P0,0x0000000000000004
5650754758933,1788548038424535453,2026/09/04 18:53:58.417,272.92,100,73834,1260,1512,69,P0,0x0000000000000004
5650882579324,1788548038553700746,2026/09/04 18:53:58.544,300.38,100,73834,1245,1512,71,P0,0x0000000000000004
5651010518886,1788548038680411953,2026/09/04 18:53:58.673,317.81,83,73834,1245,1512,71,P0,0x0000000000000004
5651137380479,1788548038807410577,2026/09/04 18:53:58.799,311.72,83,73834,1245,1512,71,P0,0x0000000000000004
5651263990119,1788548038933647955,2026/09/04 18:53:58.926,317.20,100,73834,1245,1512,71,P0,0x0000000000000004
5651389871325,1788548039059184619,2026/09/04 18:53:59.051,297.06,100,73834,1290,1512,71,P0,0x0000000000000004
5651515791746,1788548039185471034,2026/09/04 18:53:59.178,273.89,100,73834,1290,1512,71,P0,0x0000000000000004
5651642664975,1788548039312928574,2026/09/04 18:53:59.304,296.45,100,73834,1290,1512,71,P0,0x0000000000000004
5651774928617,1788548039450004138,2026/09/04 18:53:59.431,328.94,100,73834,1275,1512,71,P0,0x0000000000000004
5651906588737,1788548039576234076,2026/09/04 18:53:59.569,274.09,100,73834,1290,1512,71,P0,0x0000000000000004
5652033099541,1788548039703041854,2026/09/04 18:53:59.695,320.43,100,73834,1290,1512,71,P0,0x0000000000000004
5652160058891,1788548039830154731,2026/09/04 18:53:59.822,307.55,100,73834,1290,1512,71,P0,0x0000000000000004
5652287256701,1788548039957433298,2026/09/04 18:53:59.949,297.53,100,73834,1290,1512,71,P0,0x0000000000000004
5652414130460,1788548040083883573,2026/09/04 18:54:00.076,293.26,100,73834,1290,1512,71,P0,0x0000000000000004
5652540446627,1788548040210069249,2026/09/04 18:54:00.203,281.11,100,73834,1290,1512,71,P0,0x0000000000000004
5652668392233,1788548040339790004,2026/09/04 18:54:00.329,284.60,100,73834,1290,1512,71,P0,0x0000000000000004
5652796054150,1788548040465374748,2026/09/04 18:54:00.458,276.12,100,73834,1290,1512,71,P0,0x0000000000000004
5652922245452,1788548040592194068,2026/09/04 18:54:00.584,283.64,100,73834,1290,1512,71,P0,0x0000000000000004
5653048890777,1788548040718655899,2026/09/04 18:54:00.711,281.49,100,73834,1290,1512,72,P0,0x0000000000000004
