monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
5343818611039,1788633815878731757,2026/09/05 18:43:35.872,122.22,0,73992,1410,1512,70,P0,0x0000000000000000
5343945232850,1788633816006670804,2026/09/05 18:43:35.999,122.21,0,73992,1410,1512,73,P0,0x0000000000000004
5344073075886,1788633816134422899,2026/09/05 18:43:36.126,292.13,0,73992,1410,1512,74,P0,0x0000000000000004
5344204630064,1788633816269790893,2026/09/05 18:43:36.253,293.10,44,73992,1245,1512,74,P0,0x0000000000000004
5344335333720,1788633816395842464,2026/09/05 18:43:36.388,301.64,100,73992,1245,1512,74,P0,0x0000000000000004
5344461675024,1788633816522451178,2026/09/05 18:43:36.515,306.05,100,73992,1245,1512,74,P0,0x0000000000000004
5344588370782,1788633816649246264,2026/09/05 18:43:36.641,304.41,100,73992,1245,1512,75,P0,0x0000000000000004
5344715228925,1788633816776161952,2026/09/05 18:43:36.768,281.95,100,73992,1290,1512,74,P0,0x0000000000000004
5344842010125,1788633816902829723,2026/09/05 18:43:36.895,310.37,100,73992,1290,1512,74,P0,0x0000000000000004
5344969104012,1788633817029967035,2026/09/05 18:43:37.022,305.68,100,73992,1290,1512,74,P0,0x0000000000000004
5345097982675,1788633817160962107,2026/09/05 18:43:37.149,267.75,100,73992,1290,1512,74,P0,0x0000000000000004
5345226554148,1788633817287110040,2026/09/05 18:43:37.280,327.95,100,73992,1260,1512,74,P0,0x0000000000000004
5345353583706,1788633817414667567,2026/09/05 18:43:37.407,287.18,100,73992,1260,1512,74,P0,0x0000000000000004
5345480617218,1788633817541521053,2026/09/05 18:43:37.533,273.65,100,73992,1260,1512,74,P0,0x0000000000000004
5345610457653,1788633817674362674,2026/09/05 18:43:37.667,284.87,100,73992,1260,1512,74,P0,0x0000000000000004
5345740568174,1788633817801727136,2026/09/05 18:43:37.794,290.17,100,73992,1260,1512,74,P0,0x0000000000000004
5345867477215,1788633817928194062,2026/09/05 18:43:37.921,290.58,100,73992,1260,1512,74,P0,0x0000000000000004
5345993736659,1788633818054234943,2026/09/05 18:43:38.047,296.30,100,73992,1260,1512,74,P0,0x0000000000000004
5346119712757,1788633818180144636,2026/09/05 18:43:38.173,305.64,100,73992,1275,1512,75,P0,0x0000000000000004
5346246062817,1788633818306929933,2026/09/05 18:43:38.299,275.58,100,73992,1275,1512,74,P0,0x0000000000000004
5346372169117,1788633818432378565,2026/09/05 18:43:38.425,298.71,100,73992,1275,1512,74,P0,0x0000000000000004
5346501050555,1788633818564681718,2026/09/05 18:43:38.551,323.55,100,73992,1260,1512,75,P0,0x0000000000000004
5346630430790,1788633818691153032,2026/09/05 18:43:38.683,268.28,100,73992,1260,1512,74,P0,0x0000000000000004
5346756995165,1788633818817786282,2026/09/05 18:43:38.810,315.49,100,73992,1260,1512,75,P0,0x0000000000000004
5346883751648,1788633818944670137,2026/09/05 18:43:38.937,316.66,100,73992,1260,1512,75,P0,0x0000000000000004
5347010933323,1788633819072156263,2026/09/05 18:43:39.064,316.94,100,73992,1260,1512,74,P0,0x0000000000000004
5347138464364,1788633819199724265,2026/09/05 18:43:39.191,299.30,100,73992,1260,1512,75,P0,0x0000000000000004
5347265563394,1788633819326352490,2026/09/05 18:43:39.318,294.74,100,73992,1260,1512,74,P0,0x0000000000000004
5347392320629,1788633819453246478,2026/09/05 18:43:39.445,281.29,100,73992,1260,1512,74,P0,0x0000000000000004
