monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
5446099982434,1788633918161016068,2026/09/05 18:45:18.153,122.48,0,73992,1410,1512,71,P0,0x0000000000000000
5446228536771,1788633918291008979,2026/09/05 18:45:18.280,289.71,0,73992,1335,1512,72,P0,0x0000000000000004
5446357370233,1788633918418692310,2026/09/05 18:45:18.410,291.94,0,73992,1335,1512,72,P0,0x0000000000000004
5446485013173,1788633918546301512,2026/09/05 18:45:18.538,303.26,77,73992,1335,1512,72,P0,0x0000000000000004
5446612545340,1788633918673746925,2026/09/05 18:45:18.665,304.04,77,73992,1335,1512,72,P0,0x0000000000000004
5446739618737,1788633918800465119,2026/09/05 18:45:18.792,303.68,100,73992,1350,1512,73,P0,0x0000000000000004
5446866845964,1788633918928183576,2026/09/05 18:45:18.920,299.40,100,73992,1350,1512,73,P0,0x0000000000000004
5446994344718,1788633919055466303,2026/09/05 18:45:19.047,303.47,100,73992,1350,1512,72,P0,0x0000000000000004
5447125178463,1788633919189441324,2026/09/05 18:45:19.175,298.98,100,73992,1350,1512,72,P0,0x0000000000000004
5447255619686,1788633919316581077,2026/09/05 18:45:19.308,297.64,100,73992,1350,1512,73,P0,0x0000000000000004
5447382913704,1788633919444224828,2026/09/05 18:45:19.435,300.86,100,73992,1350,1512,73,P0,0x0000000000000004
5447510445515,1788633919571611726,2026/09/05 18:45:19.563,297.47,100,73992,1350,1512,73,P0,0x0000000000000004
5447637903126,1788633919699189192,2026/09/05 18:45:19.691,298.44,100,73992,1350,1512,73,P0,0x0000000000000004
5447765565292,1788633919826895312,2026/09/05 18:45:19.819,301.00,100,73992,1350,1512,73,P0,0x0000000000000004
5447893195494,1788633919954451148,2026/09/05 18:45:19.946,296.93,100,73992,1350,1512,73,P0,0x0000000000000004
5448023612774,1788633920087731947,2026/09/05 18:45:20.073,298.73,100,73992,1350,1512,73,P0,0x0000000000000004
5448154346135,1788633920215915094,2026/09/05 18:45:20.207,291.72,100,73992,1350,1512,73,P0,0x0000000000000004
5448283289825,1788633920345623014,2026/09/05 18:45:20.335,298.15,100,73992,1350,1512,73,P0,0x0000000000000004
5448412012303,1788633920473361794,2026/09/05 18:45:20.465,296.89,100,73992,1350,1512,73,P0,0x0000000000000004
5448539862774,1788633920601298849,2026/09/05 18:45:20.593,294.05,100,73992,1350,1512,73,P0,0x0000000000000004
5448667526815,1788633920728717276,2026/09/05 18:45:20.720,299.89,100,73992,1350,1512,73,P0,0x0000000000000004
5448793853375,1788633920853942643,2026/09/05 18:45:20.847,304.33,100,73992,1350,1512,73,P0,0x0000000000000004
5448922733721,1788633920986487295,2026/09/05 18:45:20.974,296.71,100,73992,1350,1512,73,P0,0x0000000000000004
5449052675791,1788633921113811996,2026/09/05 18:45:21.105,283.06,93,73992,1365,1512,73,P0,0x0000000000000004
5449179918693,1788633921240987556,2026/09/05 18:45:21.233,302.98,93,73992,1365,1512,73,P0,0x0000000000000004
5449307640016,1788633921369267105,2026/09/05 18:45:21.360,296.81,100,73992,1365,1512,73,P0,0x0000000000000004
5449437168933,1788633921500047915,2026/09/05 18:45:21.492,305.03,100,73992,1335,1512,73,P0,0x0000000000000004
5449566775788,1788633921628449415,2026/09/05 18:45:21.619,291.15,100,73992,1335,1512,73,P0,0x0000000000000004
5449694922021,1788633921756355119,2026/09/05 18:45:21.748,298.51,100,73992,1335,1512,73,P0,0x0000000000000004
5449825038094,1788633921888669578,2026/09/05 18:45:21.876,298.26,100,73992,1335,1512,73,P0,0x0000000000000004
5449955151738,1788633922016597455,2026/09/05 18:45:22.008,287.63,100,73992,1335,1512,73,P0,0x0000000000000004
5450082395932,1788633922143191740,2026/09/05 18:45:22.135,300.08,100,73992,1335,1512,73,P0,0x0000000000000004
5450210214277,1788633922272184993,2026/09/05 18:45:22.263,297.38,100,73992,1335,1512,73,P0,0x0000000000000004
5450338576607,1788633922399956616,2026/09/05 18:45:22.391,300.75,100,73992,1365,1512,73,P0,0x0000000000000004
5450466153848,1788633922527300873,2026/09/05 18:45:22.519,301.14,100,73992,1365,1512,73,P0,0x0000000000000004
5450594059759,1788633922655764479,2026/09/05 18:45:22.647,299.56,100,73992,1365,1512,73,P0,0x0000000000000004
5450724554260,1788633922788341462,2026/09/05 18:45:22.774,301.23,100,73992,1365,1512,73,P0,0x0000000000000004
5450854661035,1788633922915930451,2026/09/05 18:45:22.907,297.96,100,73992,1350,1512,73,P0,0x0000000000000004
5450982276524,1788633923043613687,2026/09/05 18:45:23.034,299.96,100,73992,1350,1512,73,P0,0x0000000000000004
5451109900008,1788633923171182307,2026/09/05 18:45:23.163,301.03,100,73992,1350,1512,73,P0,0x0000000000000004
5451240122076,1788633923304007779,2026/09/05 18:45:23.295,294.16,100,73992,1350,1512,73,P0,0x0000000000000004
5451370252065,1788633923431480047,2026/09/05 18:45:23.423,308.18,100,73992,1350,1512,73,P0,0x0000000000000004
5451496992200,1788633923557480544,2026/09/05 18:45:23.551,302.31,100,73992,1350,1512,73,P0,0x0000000000000004
5451630669100,1788633923698857502,2026/09/05 18:45:23.676,298.30,100,73992,1320,1512,73,P0,0x0000000000000004
5451765909555,1788633923827971353,2026/09/05 18:45:23.819,289.52,96,73992,1350,1512,73,P0,0x0000000000000004
5451894235877,1788633923955451657,2026/09/05 18:45:23.947,302.46,96,73992,1350,1512,73,P0,0x0000000000000004
5452023757050,1788633924087020020,2026/09/05 18:45:24.074,303.73,100,73992,1350,1512,73,P0,0x0000000000000004
5452153803191,1788633924215538209,2026/09/05 18:45:24.206,302.90,100,73992,1350,1512,73,P0,0x0000000000000004
5452282147022,1788633924343729241,2026/09/05 18:45:24.335,301.01,100,73992,1350,1512,73,P0,0x0000000000000004
5452410435612,1788633924472090695,2026/09/05 18:45:24.463,300.91,100,73992,1350,1512,73,P0,0x0000000000000004
5452539052663,1788633924601022051,2026/09/05 18:45:24.592,292.98,100,73992,1335,1512,73,P0,0x0000000000000004
5452667672222,1788633924729290721,2026/09/05 18:45:24.720,294.74,100,73992,1335,1512,73,P0,0x0000000000000004
5452795410477,1788633924856530781,2026/09/05 18:45:24.848,292.80,100,73992,1335,1512,73,P0,0x0000000000000004
5452925798828,1788633924990014934,2026/09/05 18:45:24.976,298.33,100,73992,1335,1512,73,P0,0x0000000000000004
5453056321477,1788633925117635711,2026/09/05 18:45:25.109,295.80,100,73992,1350,1512,73,P0,0x0000000000000004
5453184186926,1788633925245694716,2026/09/05 18:45:25.237,298.78,100,73992,1350,1512,73,P0,0x0000000000000004
5453311557649,1788633925372424025,2026/09/05 18:45:25.364,298.89,100,73992,1350,1512,73,P0,0x0000000000000004
5453438641236,1788633925499812629,2026/09/05 18:45:25.492,299.87,100,73992,1350,1512,73,P0,0x0000000000000004
5453565775287,1788633925626697602,2026/09/05 18:45:25.618,300.85,100,73992,1350,1512,73,P0,0x0000000000000004
5453693621754,1788633925755503179,2026/09/05 18:45:25.747,300.69,100,73992,1350,1512,73,P0,0x0000000000000004
5453823560857,1788633925886576760,2026/09/05 18:45:25.875,295.36,100,73992,1350,1512,73,P0,0x0000000000000004
5453953005676,1788633926014391683,2026/09/05 18:45:26.006,302.07,100,73992,1350,1512,73,P0,0x0000000000000004
5454080647087,1788633926141877245,2026/09/05 18:45:26.133,298.90,100,73992,1350,1512,73,P0,0x0000000000000004
5454208109927,1788633926269301584,2026/09/05 18:45:26.261,299.53,100,73992,1350,1512,73,P0,0x0000000000000004
5454339289023,1788633926404275603,2026/09/05 18:45:26.396,346.22,96,73992,1260,1512,74,P0,0x0000000000000004
5454470865832,1788633926532410337,2026/09/05 18:45:26.523,291.53,96,73992,1260,1512,73,P0,0x0000000000000004
5454598348755,1788633926659243282,2026/09/05 18:45:26.651,306.35,100,73992,1260,1512,73,P0,0x0000000000000004
5454730876372,1788633926797473678,2026/09/05 18:45:26.779,301.43,100,73992,1350,1512,73,P0,0x0000000000000004
5454863972464,1788633926925440736,2026/09/05 18:45:26.917,297.07,100,73992,1350,1512,73,P0,0x0000000000000004
5454991769703,1788633927053059339,2026/09/05 18:45:27.045,301.92,100,73992,1350,1512,73,P0,0x0000000000000004
5455119552029,1788633927180990260,2026/09/05 18:45:27.172,298.23,100,73992,1350,1512,73,P0,0x0000000000000004
5455247120007,1788633927308204612,2026/09/05 18:45:27.300,295.23,100,73992,1350,1512,73,P0,0x0000000000000004
5455374780274,1788633927436298820,2026/09/05 18:45:27.427,300.85,100,73992,1350,1512,73,P0,0x0000000000000004
5455502444011,1788633927563536606,2026/09/05 18:45:27.555,298.94,100,73992,1350,1512,73,P0,0x0000000000000004
5455632025001,1788633927695101013,2026/09/05 18:45:27.683,299.49,100,73992,1350,1512,73,P0,0x0000000000000004
5455761678022,1788633927823215598,2026/09/05 18:45:27.815,300.67,100,73992,1350,1512,73,P0,0x0000000000000004
5455889825243,1788633927951393334,2026/09/05 18:45:27.943,301.07,100,73992,1350,1512,73,P0,0x0000000000000004
5456017942981,1788633928079440963,2026/09/05 18:45:28.071,306.59,100,73992,1350,1512,73,P0,0x0000000000000004
5456146277079,1788633928208064447,2026/09/05 18:45:28.199,301.35,100,73992,1350,1512,73,P0,0x0000000000000004
5456274003411,1788633928334906840,2026/09/05 18:45:28.327,295.81,100,73992,1350,1512,73,P0,0x0000000000000004
5456401020046,1788633928462096276,2026/09/05 18:45:28.453,295.14,100,73992,1350,1512,73,P0,0x0000000000000004
5456532531311,1788633928597478843,2026/09/05 18:45:28.581,301.55,100,73992,1365,1512,73,P0,0x0000000000000004
5456663879766,1788633928725239364,2026/09/05 18:45:28.717,301.25,100,73992,1365,1512,73,P0,0x0000000000000004
5456792087643,1788633928853471671,2026/09/05 18:45:28.845,295.04,100,73992,1365,1512,73,P0,0x0000000000000004
5456919784102,1788633928981059767,2026/09/05 18:45:28.973,305.22,100,73992,1365,1512,73,P0,0x0000000000000004
5457047782946,1788633929109477483,2026/09/05 18:45:29.100,268.19,100,73992,1350,1512,73,P0,0x0000000000000004
5457175768945,1788633929237045632,2026/09/05 18:45:29.229,300.37,96,73992,1350,1512,73,P0,0x0000000000000004
5457303713992,1788633929365318195,2026/09/05 18:45:29.357,299.39,96,73992,1350,1512,73,P0,0x0000000000000004
5457433863040,1788633929497379855,2026/09/05 18:45:29.485,297.46,100,73992,1350,1512,73,P0,0x0000000000000004
5457563876058,1788633929625321256,2026/09/05 18:45:29.617,294.54,100,73992,1350,1512,73,P0,0x0000000000000004
5457691761918,1788633929753163260,2026/09/05 18:45:29.745,300.48,100,73992,1350,1512,73,P0,0x0000000000000004
5457819455232,1788633929880703145,2026/09/05 18:45:29.872,298.04,100,73992,1350,1512,73,P0,0x0000000000000004
5457946981937,1788633930008263117,2026/09/05 18:45:30.000,300.25,100,73992,1350,1512,73,P0,0x0000000000000004
