monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
5962498469211,1788634434561370696,2026/09/05 18:53:54.554,122.42,0,73992,1410,1512,71,P0,0x0000000000000000
5962627892587,1788634434689401097,2026/09/05 18:53:54.681,355.99,0,73992,1410,1512,73,P0,0x0000000000000004
5962755819080,1788634434816727971,2026/09/05 18:53:54.809,290.77,72,73992,1260,1512,74,P0,0x0000000000000004
5962882699301,1788634434943640488,2026/09/05 18:53:54.936,296.11,72,73992,1260,1512,74,P0,0x0000000000000004
5963009276692,1788634435069867844,2026/09/05 18:53:55.062,289.80,100,73992,1260,1512,74,P0,0x0000000000000004
5963138567443,1788634435202227993,2026/09/05 18:53:55.189,306.90,100,73992,1275,1512,74,P0,0x0000000000000004
5963268750306,1788634435329987578,2026/09/05 18:53:55.322,318.71,100,73992,1275,1512,74,P0,0x0000000000000004
5963396136543,1788634435457262128,2026/09/05 18:53:55.449,310.50,100,73992,1275,1512,74,P0,0x0000000000000004
5963523266387,1788634435584225405,2026/09/05 18:53:55.576,290.99,100,73992,1275,1512,74,P0,0x0000000000000004
5963649622092,1788634435709975781,2026/09/05 18:53:55.702,274.09,100,73992,1260,1512,74,P0,0x0000000000000004
5963775833361,1788634435836660788,2026/09/05 18:53:55.829,287.85,100,73992,1260,1512,74,P0,0x0000000000000004
5963902624367,1788634435963549356,2026/09/05 18:53:55.955,281.62,100,73992,1260,1512,74,P0,0x0000000000000004
5964029583990,1788634436090547363,2026/09/05 18:53:56.083,294.28,100,73992,1260,1512,74,P0,0x0000000000000004
5964156574142,1788634436217555339,2026/09/05 18:53:56.210,304.54,100,73992,1260,1512,74,P0,0x0000000000000004
5964284347643,1788634436346102700,2026/09/05 18:53:56.337,297.96,100,73992,1260,1512,74,P0,0x0000000000000004
5964412737148,1788634436474330912,2026/09/05 18:53:56.466,315.34,100,73992,1260,1512,75,P0,0x0000000000000004
5964541699651,1788634436604042745,2026/09/05 18:53:56.593,301.35,100,73992,1245,1512,74,P0,0x0000000000000004
5964669728100,1788634436730365808,2026/09/05 18:53:56.722,295.35,100,73992,1245,1512,74,P0,0x0000000000000004
5964796413101,1788634436857421283,2026/09/05 18:53:56.849,279.00,100,73992,1245,1512,74,P0,0x0000000000000004
5964923423412,1788634436984372733,2026/09/05 18:53:56.977,279.39,100,73992,1245,1512,74,P0,0x0000000000000004
5965052624011,1788634437115829596,2026/09/05 18:53:57.107,295.93,100,73992,1260,1512,74,P0,0x0000000000000004
5965181761237,1788634437242643238,2026/09/05 18:53:57.235,295.93,100,73992,1260,1512,74,P0,0x0000000000000004
5965308727710,1788634437369770267,2026/09/05 18:53:57.362,304.46,100,73992,1260,1512,74,P0,0x0000000000000004
5965441936089,1788634437509066177,2026/09/05 18:53:57.488,304.96,100,73992,1275,1512,74,P0,0x0000000000000004
5965574931665,1788634437635741059,2026/09/05 18:53:57.628,317.67,100,73992,1275,1512,74,P0,0x0000000000000004
5965701371822,1788634437761956360,2026/09/05 18:53:57.754,303.28,100,73992,1275,1512,74,P0,0x0000000000000004
5965827915618,1788634437888829493,2026/09/05 18:53:57.881,309.95,100,73992,1275,1512,74,P0,0x0000000000000004
5965954577782,1788634438015284403,2026/09/05 18:53:58.007,292.72,100,73992,1260,1512,74,P0,0x0000000000000004
5966081045084,1788634438141758475,2026/09/05 18:53:58.134,285.64,100,73992,1260,1512,75,P0,0x0000000000000004
5966207936913,1788634438268814702,2026/09/05 18:53:58.260,283.86,100,73992,1260,1512,74,P0,0x0000000000000004
5966336747091,1788634438399633529,2026/09/05 18:53:58.387,285.90,100,73992,1260,1512,74,P0,0x0000000000000004
5966465373901,1788634438526066558,2026/09/05 18:53:58.518,291.94,100,73992,1260,1512,74,P0,0x0000000000000004
5966592770254,1788634438654435223,2026/09/05 18:53:58.644,300.47,100,73992,1260,1512,74,P0,0x0000000000000004
5966719576548,1788634438779669626,2026/09/05 18:53:58.772,303.48,100,73992,1260,1512,74,P0,0x0000000000000004
5966847983876,1788634438911264157,2026/09/05 18:53:58.903,309.37,100,73992,1260,1512,75,P0,0x0000000000000004
5966977233412,1788634439038152128,2026/09/05 18:53:59.030,303.68,100,73992,1260,1512,74,P0,0x0000000000000004
5967104747231,1788634439166303577,2026/09/05 18:53:59.157,289.62,100,73992,1260,1512,75,P0,0x0000000000000004
5967231913216,1788634439292483477,2026/09/05 18:53:59.285,280.01,100,73992,1260,1512,75,P0,0x0000000000000004
5967358173627,1788634439418814379,2026/09/05 18:53:59.411,307.50,82,73992,1260,1512,75,P0,0x0000000000000004
5967485205728,1788634439546561666,2026/09/05 18:53:59.538,312.08,82,73992,1260,1512,75,P0,0x0000000000000004
