monotonic_ns,wall_ns,gpu_timestamp,power_w,utilization_pct,memory_mib,sm_clock_mhz,memory_clock_mhz,temperature_c,pstate,active_clock_event_reasons
6529300048201,1788635001360670238,2026/09/05 19:03:21.353,122.61,0,73992,1410,1512,70,P0,0x0000000000000000
6529426804548,1788635001487883064,2026/09/05 19:03:21.480,122.55,0,73992,1410,1512,73,P0,0x0000000000000004
6529553936570,1788635001614946023,2026/09/05 19:03:21.607,296.96,7,73992,1410,1512,74,P0,0x0000000000000004
6529681044536,1788635001742118263,2026/09/05 19:03:21.734,303.00,100,73992,1245,1512,74,P0,0x0000000000000004
6529807937360,1788635001868711123,2026/09/05 19:03:21.861,300.86,100,73992,1245,1512,74,P0,0x0000000000000004
6529934256506,1788635001994749712,2026/09/05 19:03:21.987,309.68,100,73992,1245,1512,74,P0,0x0000000000000004
6530060664489,1788635002121535876,2026/09/05 19:03:22.114,293.58,100,73992,1245,1512,74,P0,0x0000000000000004
6530186657888,1788635002246809327,2026/09/05 19:03:22.239,276.76,100,73992,1275,1512,74,P0,0x0000000000000004
6530312060620,1788635002372272319,2026/09/05 19:03:22.365,310.55,100,73992,1275,1512,74,P0,0x0000000000000004
6530438347238,1788635002499375660,2026/09/05 19:03:22.491,313.29,100,73992,1275,1512,74,P0,0x0000000000000004
6530566228364,1788635002628074257,2026/09/05 19:03:22.618,276.56,100,73992,1275,1512,74,P0,0x0000000000000004
6530693716081,1788635002754312802,2026/09/05 19:03:22.747,322.13,100,73992,1275,1512,75,P0,0x0000000000000004
6530821150343,1788635002882872899,2026/09/05 19:03:22.873,284.74,100,73992,1275,1512,74,P0,0x0000000000000004
6530949203675,1788635003010510774,2026/09/05 19:03:23.002,278.90,100,73992,1275,1512,74,P0,0x0000000000000004
6531077833288,1788635003140120899,2026/09/05 19:03:23.132,284.36,100,73992,1260,1512,74,P0,0x0000000000000004
6531206189047,1788635003267203245,2026/09/05 19:03:23.259,280.90,100,73992,1260,1512,74,P0,0x0000000000000004
6531332844653,1788635003393459763,2026/09/05 19:03:23.386,289.79,100,73992,1260,1512,74,P0,0x0000000000000004
6531459462946,1788635003520434121,2026/09/05 19:03:23.513,284.59,100,73992,1260,1512,74,P0,0x0000000000000004
6531586367182,1788635003647262254,2026/09/05 19:03:23.640,314.99,100,73992,1290,1512,75,P0,0x0000000000000004
6531713049100,1788635003773759745,2026/09/05 19:03:23.766,280.20,100,73992,1290,1512,74,P0,0x0000000000000004
6531839130169,1788635003899480927,2026/09/05 19:03:23.892,278.92,100,73992,1290,1512,75,P0,0x0000000000000004
6531968190597,1788635004031851576,2026/09/05 19:03:24.019,329.83,100,73992,1275,1512,75,P0,0x0000000000000004
6532097592426,1788635004158286550,2026/09/05 19:03:24.150,269.65,100,73992,1275,1512,74,P0,0x0000000000000004
6532224075217,1788635004284830343,2026/09/05 19:03:24.277,303.23,100,73992,1275,1512,75,P0,0x0000000000000004
6532350815503,1788635004411744578,2026/09/05 19:03:24.404,318.35,100,73992,1275,1512,74,P0,0x0000000000000004
6532478659755,1788635004540571967,2026/09/05 19:03:24.532,311.70,100,73992,1260,1512,74,P0,0x0000000000000004
6532606536678,1788635004667445986,2026/09/05 19:03:24.659,318.38,100,73992,1260,1512,74,P0,0x0000000000000004
6532733470364,1788635004794522566,2026/09/05 19:03:24.787,295.82,100,73992,1260,1512,74,P0,0x0000000000000004
6532860618102,1788635004921660220,2026/09/05 19:03:24.914,288.74,100,73992,1260,1512,74,P0,0x0000000000000004
6532987415779,1788635005048163013,2026/09/05 19:03:25.041,274.48,100,73992,1275,1512,74,P0,0x0000000000000004
6533113945433,1788635005174679946,2026/09/05 19:03:25.167,322.21,100,73992,1275,1512,75,P0,0x0000000000000004
6533240145489,1788635005300576049,2026/09/05 19:03:25.293,291.08,100,73992,1275,1512,74,P0,0x0000000000000004
6533371823335,1788635005438021342,2026/09/05 19:03:25.419,278.16,100,73992,1260,1512,74,P0,0x0000000000000004
6533503522052,1788635005563982229,2026/09/05 19:03:25.557,320.10,100,73992,1260,1512,75,P0,0x0000000000000004
6533630256303,1788635005691482570,2026/09/05 19:03:25.683,278.59,100,73992,1260,1512,74,P0,0x0000000000000004
6533757415888,1788635005818331677,2026/09/05 19:03:25.811,276.35,100,73992,1260,1512,75,P0,0x0000000000000004
6533884006819,1788635005944625899,2026/09/05 19:03:25.937,294.57,100,73992,1290,1512,74,P0,0x0000000000000004
6534010509324,1788635006071369889,2026/09/05 19:03:26.064,309.78,100,73992,1290,1512,75,P0,0x0000000000000004
6534138170502,1788635006199916497,2026/09/05 19:03:26.191,304.42,100,73992,1290,1512,75,P0,0x0000000000000004
6534267850678,1788635006330749866,2026/09/05 19:03:26.318,308.37,100,73992,1290,1512,74,P0,0x0000000000000004
6534396744735,1788635006457678993,2026/09/05 19:03:26.449,313.02,100,73992,1260,1512,74,P0,0x0000000000000004
6534523414394,1788635006584114833,2026/09/05 19:03:26.577,304.00,100,73992,1260,1512,74,P0,0x0000000000000004
6534649667798,1788635006710169210,2026/09/05 19:03:26.703,297.18,100,73992,1260,1512,75,P0,0x0000000000000004
6534778040186,1788635006840872313,2026/09/05 19:03:26.833,274.58,100,73992,1290,1512,74,P0,0x0000000000000004
6534906687798,1788635006967461266,2026/09/05 19:03:26.960,275.59,100,73992,1290,1512,74,P0,0x0000000000000004
6535033298355,1788635007094078129,2026/09/05 19:03:27.087,318.23,100,73992,1290,1512,75,P0,0x0000000000000004
6535159741509,1788635007220376347,2026/09/05 19:03:27.213,308.25,100,73992,1290,1512,75,P0,0x0000000000000004
6535286210226,1788635007346984234,2026/09/05 19:03:27.339,293.87,100,73992,1245,1512,75,P0,0x0000000000000004
6535413115093,1788635007474216088,2026/09/05 19:03:27.466,330.11,100,73992,1245,1512,75,P0,0x0000000000000004
6535539371519,1788635007599498218,2026/09/05 19:03:27.592,286.49,100,73992,1245,1512,75,P0,0x0000000000000004
6535668397501,1788635007732231804,2026/09/05 19:03:27.719,290.37,100,73992,1245,1512,75,P0,0x0000000000000004
6535797992237,1788635007858704960,2026/09/05 19:03:27.851,292.81,100,73992,1245,1512,74,P0,0x0000000000000004
6535924769793,1788635007985776207,2026/09/05 19:03:27.978,300.21,100,73992,1245,1512,75,P0,0x0000000000000004
6536051520333,1788635008112220819,2026/09/05 19:03:28.105,295.85,100,73992,1245,1512,74,P0,0x0000000000000004
6536179409937,1788635008241548672,2026/09/05 19:03:28.234,297.08,100,73992,1275,1512,75,P0,0x0000000000000004
6536307258221,1788635008367517466,2026/09/05 19:03:28.360,309.79,100,73992,1275,1512,74,P0,0x0000000000000004
6536433369459,1788635008493740592,2026/09/05 19:03:28.486,275.92,100,73992,1275,1512,75,P0,0x0000000000000004
6536560027025,1788635008621242417,2026/09/05 19:03:28.613,272.24,100,73992,1275,1512,75,P0,0x0000000000000004
6536687090689,1788635008747911721,2026/09/05 19:03:28.740,295.81,100,73992,1275,1512,75,P0,0x0000000000000004
6536813102903,1788635008873229636,2026/09/05 19:03:28.866,281.27,100,73992,1275,1512,75,P0,0x0000000000000004
6536939094449,1788635008999922945,2026/09/05 19:03:28.992,302.97,100,73992,1275,1512,75,P0,0x0000000000000004
6537067555632,1788635009130135560,2026/09/05 19:03:29.118,319.77,100,73992,1275,1512,75,P0,0x0000000000000004
6537195881357,1788635009256576710,2026/09/05 19:03:29.249,302.11,100,73992,1260,1512,75,P0,0x0000000000000004
6537322353735,1788635009383128648,2026/09/05 19:03:29.375,288.65,100,73992,1260,1512,75,P0,0x0000000000000004
6537448968110,1788635009509755126,2026/09/05 19:03:29.502,282.81,100,73992,1260,1512,75,P0,0x0000000000000004
6537577142013,1788635009639535544,2026/09/05 19:03:29.630,276.51,100,73992,1260,1512,74,P0,0x0000000000000004
6537704729966,1788635009764873052,2026/09/05 19:03:29.757,273.76,100,73992,1260,1512,75,P0,0x0000000000000004
6537830201520,1788635009890523217,2026/09/05 19:03:29.883,325.35,100,73992,1260,1512,75,P0,0x0000000000000004
6537956138318,1788635010016705741,2026/09/05 19:03:30.009,304.52,100,73992,1260,1512,75,P0,0x0000000000000004
6538082583495,1788635010143464077,2026/09/05 19:03:30.136,296.49,100,73992,1290,1512,75,P0,0x0000000000000004
6538208923065,1788635010269338703,2026/09/05 19:03:30.262,324.80,100,73992,1290,1512,75,P0,0x0000000000000004
6538334821811,1788635010395294081,2026/09/05 19:03:30.388,324.80,100,73992,1290,1512,75,P0,0x0000000000000004
6538461407602,1788635010522100306,2026/09/05 19:03:30.514,284.28,100,73992,1290,1512,75,P0,0x0000000000000004
6538588382189,1788635010649644998,2026/09/05 19:03:30.641,308.66,100,73992,1275,1512,74,P0,0x0000000000000004
6538715095078,1788635010775581219,2026/09/05 19:03:30.768,306.64,100,73992,1275,1512,73,P0,0x0000000000000004
6538842781657,1788635010904239992,2026/09/05 19:03:30.895,310.21,100,73992,1275,1512,73,P0,0x0000000000000004
6538973158014,1788635011037064375,2026/09/05 19:03:31.023,294.56,100,73992,1260,1512,73,P0,0x0000000000000004
6539103539336,1788635011164967730,2026/09/05 19:03:31.157,296.02,100,73992,1260,1512,73,P0,0x0000000000000004
6539231237300,1788635011292504336,2026/09/05 19:03:31.284,302.81,100,73992,1260,1512,73,P0,0x0000000000000004
6539358413595,1788635011419270036,2026/09/05 19:03:31.411,294.68,100,73992,1260,1512,73,P0,0x0000000000000004
6539485357023,1788635011546425046,2026/09/05 19:03:31.538,299.43,100,73992,1260,1512,73,P0,0x0000000000000004
6539613079593,1788635011674688136,2026/09/05 19:03:31.665,299.08,100,73992,1260,1512,73,P0,0x0000000000000004
6539740959553,1788635011802207553,2026/09/05 19:03:31.794,297.34,100,73992,1260,1512,73,P0,0x0000000000000004
6539872845085,1788635011938458398,2026/09/05 19:03:31.921,294.19,100,73992,1260,1512,73,P0,0x0000000000000004
6540004476048,1788635012065494687,2026/09/05 19:03:32.057,294.87,100,73992,1260,1512,73,P0,0x0000000000000004
6540131917444,1788635012193296346,2026/09/05 19:03:32.185,304.29,100,73992,1260,1512,73,P0,0x0000000000000004
6540259337250,1788635012320374033,2026/09/05 19:03:32.312,301.46,100,73992,1260,1512,73,P0,0x0000000000000004
6540387201436,1788635012448973812,2026/09/05 19:03:32.440,295.93,100,73992,1245,1512,73,P0,0x0000000000000004
6540514798736,1788635012575618856,2026/09/05 19:03:32.568,294.69,100,73992,1245,1512,73,P0,0x0000000000000004
6540641605278,1788635012702488391,2026/09/05 19:03:32.694,306.38,100,73992,1245,1512,73,P0,0x0000000000000004
