monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
16381216530209,1789018848972757824,0,306.22,77,61444,1
16381716242260,1789018849472469794,0,103.47,0,61444,1
16382218209922,1789018849974437427,0,103.24,0,61444,1
16382715278111,1789018850471505625,0,103.26,0,61444,1
16383215939357,1789018850972166861,0,103.11,0,61444,1
16383715503790,1789018851471731345,0,102.98,0,61444,1
16384216163493,1789018851972390957,0,103.01,0,61444,1
16384717170108,1789018852473397622,0,102.97,0,61444,1
16385216143069,1789018852972370493,0,102.79,0,61444,1
16385715919050,1789018853472146284,0,102.78,0,61444,1
16386218310840,1789018853974538233,0,102.79,0,61444,1
16386716284857,1789018854472512241,0,102.71,0,61444,1
16387216583336,1789018854972810710,0,102.69,0,61444,1
16387715130696,1789018855471358070,0,102.69,0,61444,1
16388218264446,1789018855974492121,0,122.78,0,61444,1
16388716978741,1789018856473206205,0,125.25,28,61444,1
16389219684922,1789018856975912226,0,140.92,19,61444,1
16389717701420,1789018857473928975,0,127.23,19,61444,1
16390220635655,1789018857976863280,0,308.27,0,61444,1
16390717122787,1789018858473350832,0,135.17,24,61444,1
16391218091987,1789018858974320152,0,126.48,17,61444,1
16391715912811,1789018859472140245,0,102.88,17,61444,1
16392216544060,1789018859972771505,0,102.69,0,61444,1
16392716117221,1789018860472344925,0,102.67,0,61444,1
16393216964837,1789018860973192301,0,102.79,0,61444,1
16393718022178,1789018861474250814,0,102.61,0,61444,1
16394216925638,1789018861973152962,0,102.64,0,61444,1
16394716058856,1789018862472286381,0,102.58,0,61444,1
16395216758268,1789018862972985552,0,102.57,0,61444,1
16395715951249,1789018863472178773,0,102.57,0,61444,1
16396216874022,1789018863973101416,0,102.58,0,61444,1
16396716178594,1789018864472406108,0,102.47,0,61444,1
16397216881541,1789018864973108875,0,102.42,0,61444,1
16397718735330,1789018865474962935,0,102.51,0,61444,1
16398217524980,1789018865973752424,0,102.48,0,61444,1
16398716317750,1789018866472545105,0,102.38,0,61444,1
16399218304330,1789018866974531664,0,102.38,0,61444,1
16399719789086,1789018867476016741,0,125.30,29,61444,1
16400217524980,1789018867973752594,0,102.58,0,61444,1
16400716588744,1789018868472816178,0,102.51,0,61444,1
16401218393822,1789018868974621547,0,102.38,0,61444,1
16401716536466,1789018869472763960,0,102.38,0,61444,1
16402217295938,1789018869973523432,0,102.32,0,61444,1
16402716486597,1789018870472714072,0,102.42,0,61444,1
16403219528661,1789018870975756125,0,131.79,20,61444,1
16403718459787,1789018871474687251,0,126.59,20,61444,1
16404219631468,1789018871975858942,0,127.02,20,61444,1
16404718607468,1789018872474836084,0,127.25,20,61444,1
16405221259806,1789018872977487280,0,127.48,21,61444,1
16405718710404,1789018873474937979,0,132.92,21,61444,1
16406220724843,1789018873976952628,0,136.03,20,61444,1
16406718212905,1789018874474440469,0,131.64,20,61444,1
16407220133217,1789018874976360751,0,127.25,20,61444,1
16407718699563,1789018875474927147,0,139.28,21,61444,1
16408219526549,1789018875975754143,0,127.97,20,61444,1
16408719701248,1789018876475928792,0,138.42,20,61444,1
16409219694310,1789018876975921855,0,128.80,22,61444,1
16409719807345,1789018877476034819,0,125.49,21,61444,1
16410219855061,1789018877976082876,0,138.02,21,61444,1
16410718687525,1789018878474914879,0,158.89,20,61444,1
16411220183861,1789018878976411325,0,147.95,26,61444,1
16411721159952,1789018879477387567,0,129.35,50,61444,1
16412220344184,1789018879976572099,0,131.71,21,61444,1
16412720641684,1789018880476869209,0,127.88,21,61444,1
16413220177795,1789018880976405310,0,307.87,100,61444,1
16413719404935,1789018881475633311,0,137.59,97,61444,1
16414220963450,1789018881977191175,0,135.33,51,61444,1
16414719658204,1789018882475885669,0,132.16,25,61444,1
16415222063511,1789018882978291046,0,137.15,22,61444,1
16415719258107,1789018883475485561,0,129.65,21,61444,1
16416218545615,1789018883974773540,0,102.91,16,61444,1
16416717270832,1789018884473498316,0,102.57,0,61444,1
16417218383669,1789018884974611193,0,102.72,0,61444,1
16417717627405,1789018885473854669,0,102.57,0,61444,1
16418218609653,1789018885974836927,0,102.68,0,61444,1
16418719640371,1789018886475868898,0,102.58,0,61444,1
16419218784936,1789018886975012420,0,102.61,0,61444,1
16419717450921,1789018887473678105,0,102.48,0,61444,1
16420218399678,1789018887974627102,0,102.47,0,61444,1
16420717666996,1789018888473894550,0,102.57,0,61444,1
16421219005281,1789018888975232705,0,102.41,0,61444,1
16421719819901,1789018889476047325,0,102.51,0,61444,1
16422222882929,1789018889979110293,0,300.88,89,61444,1
16422720071943,1789018890476299437,0,128.47,20,61444,1
16423220507763,1789018890976735187,0,136.03,20,61444,1
16423717984498,1789018891474212052,0,102.57,0,61444,1
16424218646442,1789018891974873726,0,102.68,0,61444,1
16424717981963,1789018892474209668,0,102.38,0,61444,1
16425218904295,1789018892975131760,0,102.38,0,61444,1
16425720583793,1789018893476811748,0,245.81,0,61444,1
16426222793686,1789018893979021141,0,132.71,21,61444,1
16426718392022,1789018894474619536,0,102.68,9,61444,1
16427219321569,1789018894975548913,0,102.38,0,61444,1
16427717927502,1789018895474154956,0,102.38,0,61444,1
16428219207744,1789018895975435659,0,102.42,0,61444,1
16428717958910,1789018896474186194,0,102.29,0,61444,1
16429218984830,1789018896975212414,0,102.38,0,61444,1
16429717947061,1789018897474175557,0,102.18,0,61444,1
16430218795943,1789018897975023487,0,102.29,0,61444,1
16430720833844,1789018898477061178,0,102.19,0,61444,1
16431219019710,1789018898975247034,0,102.18,0,61444,1
16431720630043,1789018899476857387,0,102.31,0,61444,1
16432218911495,1789018899975140101,0,102.18,0,61444,1
16432718240164,1789018900474467628,0,102.09,0,61444,1
16433218246012,1789018900974473345,0,102.25,0,61444,1
16433720211832,1789018901476439437,0,128.36,20,61444,1
16434220624439,1789018901976852394,0,101.80,28,61444,1
16434721095180,1789018902477323666,0,102.19,0,61444,1
16435219847556,1789018902976074971,0,102.19,0,61444,1
16435720185753,1789018903476413348,0,102.38,71,61444,1
16436220560218,1789018903976787872,0,102.22,0,61444,1
16436718701267,1789018904474928902,0,102.22,0,61444,1
16437219809833,1789018904976037638,0,102.22,0,61444,1
16437719035324,1789018905475262889,0,102.09,0,61444,1
16438220911793,1789018905977139608,0,102.08,0,61444,1
16438722751201,1789018906478978646,0,102.12,0,61444,1
16439221045646,1789018906977273130,0,102.15,0,61444,1
16439719030853,1789018907475258437,0,102.21,0,61444,1
16440220161035,1789018907976388589,0,102.12,0,61444,1
16440719097358,1789018908475326305,0,102.12,0,61444,1
16441219956601,1789018908976183955,0,102.09,0,61444,1
16441721664077,1789018909477891441,0,102.05,0,61444,1
16442224663743,1789018909980891838,0,102.05,0,61444,1
16442724398932,1789018910480627648,0,183.41,33,61444,1
16443222513344,1789018910978740798,0,176.57,31,61444,1
16443721760074,1789018911477987749,0,175.80,32,61444,1
16444222455509,1789018911978683053,0,164.20,30,61444,1
16444721306789,1789018912477534403,0,174.16,29,61444,1
16445221217861,1789018912977445375,0,327.45,27,61444,1
16445721557161,1789018913477784826,0,166.20,66,61444,1
16446223474169,1789018913979701653,0,184.01,34,61444,1
16446721397038,1789018914477624853,0,178.73,33,61444,1
16447221223737,1789018914977451302,0,185.36,34,61444,1
16447721751333,1789018915477978697,0,184.96,35,61444,1
16448222086658,1789018915978314503,0,175.95,33,61444,1
16448723750940,1789018916479978424,0,182.21,58,61444,1
16449222222331,1789018916978449855,0,183.37,33,61444,1
16449723714309,1789018917479941934,0,169.32,31,61444,1
16450223470700,1789018917979698185,0,146.38,31,61444,1
16450722352768,1789018918478582035,0,179.62,32,61444,1
16451221478658,1789018918977706333,0,175.75,31,61444,1
16451724035710,1789018919480263324,0,171.54,31,61444,1
16452221555252,1789018919977783838,0,175.39,34,61444,1
16452717559208,1789018920473787504,0,168.80,32,61444,1
16453224249242,1789018920980477348,0,174.29,32,61444,1
16453722127820,1789018921478355335,0,175.63,32,61444,1
16454217868730,1789018921974096545,0,181.18,32,61444,1
16454717732287,1789018922473960723,0,170.54,32,61444,1
16455216787155,1789018922973016863,0,175.96,32,61444,1
16455718029142,1789018923474256827,0,178.62,33,61444,1
16456217454926,1789018923973682210,0,177.83,47,61444,1
16456718493782,1789018924474721427,0,175.53,33,61444,1
16457220163764,1789018924976391368,0,185.61,35,61444,1
16457716526622,1789018925472754126,0,183.51,34,61444,1
16458223793171,1789018925980020615,0,192.85,89,61444,1
16458717004868,1789018926473232292,0,199.92,45,61444,1
16459217912928,1789018926974140472,0,187.32,35,61444,1
16459717195974,1789018927473423529,0,183.52,33,61444,1
16460218991051,1789018927975218646,0,181.04,34,61444,1
16460716886080,1789018928473113524,0,195.99,35,61444,1
16461218219403,1789018928974447077,0,181.65,34,61444,1
16461718025435,1789018929474253059,0,137.08,28,61444,1
16462218521578,1789018929974749353,0,132.52,19,61444,1
16462717036038,1789018930473263773,0,137.54,17,61444,1
16463218008763,1789018930974236277,0,126.70,17,61444,1
16463717464196,1789018931473691741,0,123.43,17,61444,1
16464218486919,1789018931974715576,0,127.33,17,61444,1
16464717184849,1789018932473412363,0,125.90,17,61444,1
16465218433958,1789018932974661763,0,124.65,16,61444,1
16465717245371,1789018933473473146,0,126.98,17,61444,1
16466218869751,1789018933975097445,0,135.31,17,61444,1
16466717625679,1789018934473853294,0,130.76,17,61444,1
16467223251188,1789018934979478833,0,135.55,28,61444,1
16467717592059,1789018935473819633,0,140.11,21,61444,1
16468218345396,1789018935974572911,0,150.95,42,61444,1
16468717602157,1789018936473829541,0,125.11,17,61444,1
