monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
14414725023613,1789016882481251638,0,294.19,100,61444,1
14415223162796,1789016882979392444,0,108.41,0,61444,1
14415722855550,1789016883479083254,0,108.08,0,61444,1
14416222570796,1789016883978798240,0,108.00,0,61444,1
14416723146169,1789016884479373613,0,107.77,0,61444,1
14417222686095,1789016884978913729,0,107.71,0,61444,1
14417722594506,1789016885478822120,0,107.71,0,61444,1
14418222478869,1789016885978706133,0,107.61,0,61444,1
14418721960716,1789016886478187900,0,107.52,0,61444,1
14419221999960,1789016886978227174,0,107.51,0,61444,1
14419723539914,1789016887479767308,0,107.48,0,61444,1
14420223219442,1789016887979447277,0,107.42,0,61444,1
14420722865017,1789016888479092621,0,107.33,0,61444,1
14421225164307,1789016888981391601,0,107.23,0,61444,1
14421723390013,1789016889479617908,0,107.19,0,61444,1
14422222860018,1789016889979087733,0,107.22,0,61444,1
14422723921203,1789016890480148637,0,327.23,0,61444,1
14423223870949,1789016890980098544,0,130.44,31,61444,1
14423723948209,1789016891480176395,0,142.68,33,61444,1
14424223773006,1789016891980000801,0,138.12,21,61444,1
14424723549226,1789016892479776940,0,133.56,20,61444,1
14425223887511,1789016892980116188,0,134.97,1,61444,1
14425723545911,1789016893479775189,0,240.82,19,61444,1
14426223595427,1789016893979823282,0,153.62,22,61444,1
14426722677410,1789016894478904934,0,108.12,20,61444,1
14427222078682,1789016894978306126,0,106.94,0,61444,1
14427722307530,1789016895478535154,0,106.94,0,61444,1
14428222808714,1789016895979036349,0,106.83,0,61444,1
14428722603046,1789016896478831492,0,106.73,0,61444,1
14429222661884,1789016896978890490,0,106.73,0,61444,1
14429722653681,1789016897478881396,0,106.73,0,61444,1
14430222509308,1789016897978736933,0,106.52,0,61444,1
14430722375008,1789016898478602512,0,106.63,0,61444,1
14431222766125,1789016898978993650,0,106.53,0,61444,1
14431723052997,1789016899479280702,0,106.44,0,61444,1
14432223493288,1789016899979721383,0,106.53,0,61444,1
14432723087338,1789016900479314882,0,106.32,0,61444,1
14433223211804,1789016900979439499,0,106.25,0,61444,1
14433723953216,1789016901480181071,0,106.23,0,61444,1
14434223249711,1789016901979477336,0,106.32,0,61444,1
14434722926241,1789016902479153835,0,106.22,0,61444,1
14435222951390,1789016902979178874,0,106.22,0,61444,1
14435722743461,1789016903478971065,0,106.13,0,61444,1
14436223584233,1789016903979811727,0,144.85,46,61444,1
14436723449797,1789016904479677392,0,142.23,20,61444,1
14437223862214,1789016904980089979,0,133.18,20,61444,1
14437723227169,1789016905479454723,0,106.33,0,61444,1
14438222680108,1789016905978907672,0,106.32,0,61444,1
14438723871574,1789016906480098988,0,106.03,0,61444,1
14439222901237,1789016906979128872,0,106.13,0,61444,1
14439722958662,1789016907479186417,0,106.04,0,61444,1
14440224600654,1789016907980828189,0,106.04,0,61444,1
14440724233901,1789016908480461355,0,130.25,21,61444,1
14441224957549,1789016908981184853,0,106.04,0,61444,1
14441723309053,1789016909479536828,0,105.93,0,61444,1
14442222914802,1789016909979142617,0,105.93,0,61444,1
14442722550055,1789016910478778090,0,105.84,0,61444,1
14443222909770,1789016910979138347,0,105.84,0,61444,1
14443723667598,1789016911479894932,0,105.93,0,61444,1
14444223280069,1789016911979507343,0,105.93,0,61444,1
14444722665458,1789016912478893423,0,105.84,0,61444,1
14445222985167,1789016912979212742,0,105.74,0,61444,1
14445723197605,1789016913479425440,0,105.74,0,61444,1
14446223029147,1789016913979256441,0,105.65,0,61444,1
14446724174935,1789016914480403211,0,105.55,0,61444,1
14447223389218,1789016914979616502,0,105.55,0,61444,1
14447723378798,1789016915479605971,0,105.55,0,61444,1
14448222669169,1789016915978896673,0,105.54,0,61444,1
14448722697395,1789016916478924719,0,105.53,0,61444,1
14449224647554,1789016916980875169,0,105.55,0,61444,1
14449723632432,1789016917479861218,0,142.23,29,61444,1
14450223787777,1789016917980016614,0,145.73,22,61444,1
14450724088535,1789016918480315819,0,134.50,20,61444,1
14451223460920,1789016918979688353,0,137.88,21,61444,1
14451723213368,1789016919479441112,0,255.02,32,61444,1
14452226100086,1789016919982327901,0,132.33,21,61444,1
14452723831301,1789016920480058766,0,152.52,24,61444,1
14453223887800,1789016920980115365,0,132.08,21,61444,1
14453724434622,1789016921480662055,0,131.91,21,61444,1
14454224148798,1789016921980376112,0,142.80,20,61444,1
14454723944818,1789016922480172382,0,131.48,20,61444,1
14455223723415,1789016922979950699,0,129.98,20,61444,1
14455723678635,1789016923479906059,0,134.08,20,61444,1
14456224898320,1789016923981125533,0,130.14,20,61444,1
14456723986159,1789016924480213793,0,135.67,20,61444,1
14457223521760,1789016924979749284,0,105.74,21,61444,1
14457722788551,1789016925479015986,0,105.45,0,61444,1
14458223489012,1789016925979716456,0,105.45,0,61444,1
14458722769736,1789016926478997090,0,105.43,0,61444,1
14459223031332,1789016926979258806,0,105.33,0,61444,1
14459723357900,1789016927479585395,0,105.34,0,61444,1
14460222631150,1789016927978858424,0,105.44,0,61444,1
14460723231593,1789016928479459268,0,105.24,0,61444,1
14461223526727,1789016928979754001,0,105.15,0,61444,1
14461722798725,1789016929479026189,0,105.24,0,61444,1
14462223324853,1789016929979552547,0,105.24,0,61444,1
14462724166889,1789016930480394414,0,118.53,60,61444,1
14463223374927,1789016930979602371,0,105.34,15,61444,1
14463723393116,1789016931479620570,0,105.24,0,61444,1
14464222781421,1789016931979008805,0,105.24,0,61444,1
14464723313647,1789016932479541231,0,105.15,0,61444,1
14465222824492,1789016932979051856,0,105.15,0,61444,1
14465722583875,1789016933478811109,0,105.05,0,61444,1
14466223853877,1789016933980081161,0,105.15,0,61444,1
14466722856765,1789016934479084259,0,103.76,0,61444,1
14467224485215,1789016934980713129,0,128.23,54,61444,1
14467723874523,1789016935480102138,0,103.97,9,61444,1
14468223603174,1789016935979830568,0,103.79,0,61444,1
14468722768738,1789016936478996463,0,103.76,0,61444,1
14469222650782,1789016936978878637,0,103.66,0,61444,1
14469723523086,1789016937479750951,0,103.66,0,61444,1
14470222778123,1789016937979006500,0,103.57,0,61444,1
14470722421489,1789016938478648883,0,103.57,0,61444,1
14471223325668,1789016938979553383,0,103.47,0,61444,1
14471722613302,1789016939478840836,0,103.47,0,61444,1
14472223370294,1789016939979597919,0,103.47,0,61444,1
14472723465465,1789016940479693791,0,103.40,0,61444,1
14473222985829,1789016940979214014,0,103.46,0,61444,1
14473723214605,1789016941479442240,0,103.46,0,61444,1
14474223197389,1789016941979425074,0,103.37,0,61444,1
14474722692022,1789016942478919406,0,103.46,0,61444,1
14475223181583,1789016942979409308,0,103.33,0,61444,1
14475723348879,1789016943479576173,0,103.46,0,61444,1
14476224241708,1789016943980469162,0,300.02,5,61444,1
14476724375601,1789016944480603145,0,263.57,33,61444,1
14477223290595,1789016944979517959,0,189.54,35,61444,1
14477722991365,1789016945479218809,0,197.44,34,61444,1
14478224386286,1789016945980613721,0,272.90,34,61444,1
14478723878344,1789016946480105949,0,182.52,40,61444,1
14479223919343,1789016946980147298,0,202.22,34,61444,1
14479723938982,1789016947480166696,0,186.27,33,61444,1
14480223834758,1789016947980062042,0,183.98,34,61444,1
14480724373620,1789016948480601705,0,183.52,32,61444,1
14481224290116,1789016948980517540,0,180.76,31,61444,1
14481723861276,1789016949480088900,0,161.53,30,61444,1
14482224428711,1789016949980656085,0,181.04,31,61444,1
14482724071368,1789016950480298582,0,178.55,31,61444,1
14483224054695,1789016950980282310,0,175.67,32,61444,1
14483723834575,1789016951480062009,0,187.55,32,61444,1
14484224177558,1789016951980404932,0,182.00,31,61444,1
14484724079147,1789016952480306511,0,182.04,31,61444,1
14485224115539,1789016952980343233,0,184.33,34,61444,1
14485723774842,1789016953480002257,0,197.23,34,61444,1
14486223725873,1789016953979953729,0,180.32,33,61444,1
14486723604975,1789016954479832359,0,191.33,34,61444,1
14487223750588,1789016954979978192,0,191.84,33,61444,1
14487724659780,1789016955480887094,0,183.30,33,61444,1
14488224373495,1789016955980600979,0,197.88,32,61444,1
14488723984659,1789016956480212113,0,164.66,32,61444,1
14489223687583,1789016956979915308,0,146.63,32,61444,1
14489724050548,1789016957480277972,0,191.63,34,61444,1
14490224415416,1789016957980643040,0,184.72,32,61444,1
