monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
4483200149967,1788988598123381459,0,281.84,100,61444,1
4483699827537,1788988598623058228,0,116.11,0,61444,1
4484199749867,1788988599122980548,0,115.61,0,61444,1
4484701151192,1788988599624381663,0,113.96,0,61444,1
4485201460556,1788988600124691048,0,137.44,22,61444,1
4485700823484,1788988600624054065,0,115.03,0,61444,1
4486200872282,1788988601124102914,0,114.83,0,61444,1
4486700764675,1788988601623995246,0,113.38,0,61444,1
4487200504671,1788988602123735123,0,113.07,0,61444,1
4487699460490,1788988602622690972,0,112.78,0,61444,1
4488199645426,1788988603122875807,0,112.68,0,61444,1
4488699936070,1788988603623166512,0,113.77,0,61444,1
4489199668557,1788988604122898998,0,112.29,0,61444,1
4489699635524,1788988604622865875,0,113.51,0,61444,1
4490199435828,1788988605122666339,0,113.38,0,61444,1
4490700488700,1788988605623719441,0,111.89,0,61444,1
4491200047111,1788988606123277593,0,111.68,0,61444,1
4491700575223,1788988606623805604,0,111.59,0,61444,1
4492199890838,1788988607123121089,0,112.68,0,61444,1
4492698918255,1788988607622148466,0,112.63,0,61444,1
4493199868743,1788988608123099344,0,112.53,0,61444,1
4493699531675,1788988608622761965,0,112.49,0,61444,1
4494199592142,1788988609122822393,0,111.00,0,61444,1
4494700776173,1788988609624006464,0,111.00,21,61444,1
4495199686842,1788988610122917213,0,110.75,0,61444,1
4495700510267,1788988610623740799,0,111.78,0,61444,1
4496200063747,1788988611123294048,0,111.88,0,61444,1
4496699234895,1788988611622465918,0,111.69,0,61444,1
4497199017772,1788988612122248043,0,111.49,0,61444,1
4497699503698,1788988612622734059,0,111.40,0,61444,1
4498199667550,1788988613122897851,0,110.11,0,61444,1
4498699650351,1788988613622881844,0,109.86,0,61444,1
4499201023457,1788988614124254610,0,304.49,100,61444,1
4499700943191,1788988614624173311,0,110.05,0,61444,1
4500199008393,1788988615122238734,0,109.71,0,61444,1
4500699567131,1788988615622797763,0,111.00,0,61444,1
4501200407277,1788988616123637929,0,274.40,23,61444,1
4501700950594,1788988616624181787,0,110.94,0,61444,1
4502199401171,1788988617122631592,0,109.24,0,61444,1
4502700963699,1788988617624194250,0,135.01,28,61444,1
4503200855695,1788988618124086257,0,138.12,20,61444,1
4503700072829,1788988618623303441,0,135.30,20,61444,1
4504200834906,1788988619124065327,0,108.95,0,61444,1
4504699361925,1788988619622592306,0,110.15,0,61444,1
4505200539811,1788988620123770192,0,109.96,0,61444,1
4505700189358,1788988620623419659,0,108.67,0,61444,1
4506200533097,1788988621123763588,0,108.47,0,61444,1
4506699342196,1788988621622573409,0,108.47,0,61444,1
4507200086027,1788988622123317150,0,108.28,0,61444,1
4507699923563,1788988622623153954,0,109.42,0,61444,1
4508199816907,1788988623123047108,0,109.46,0,61444,1
4508699578899,1788988623622810151,0,109.36,0,61444,1
4509199761811,1788988624122992192,0,108.10,0,61444,1
4509699222729,1788988624622453190,0,108.00,0,61444,1
4510199966293,1788988625123196504,0,107.88,0,61444,1
4510700863889,1788988625624094270,0,107.81,0,61444,1
4511200172550,1788988626123403092,0,139.04,21,61444,1
4511701010017,1788988626624240469,0,108.96,10,61444,1
4512201206351,1788988627124436762,0,108.82,0,61444,1
4512700187458,1788988627623418851,0,107.61,0,61444,1
4513200448908,1788988628123679509,0,106.92,0,61444,1
4513700112606,1788988628623343077,0,107.41,0,61444,1
4514200656567,1788988629123887208,0,105.80,0,61444,1
4514700714680,1788988629623945201,0,105.83,19,61444,1
4515199398258,1788988630122628949,0,107.22,0,61444,1
4515699270948,1788988630622501389,0,107.11,0,61444,1
4516199910138,1788988631123141702,0,105.64,0,61444,1
4516699216619,1788988631622447150,0,105.54,0,61444,1
4517199767781,1788988632122998153,0,106.71,0,61444,1
4517699602288,1788988632622832759,0,105.33,0,61444,1
4518199200025,1788988633122430767,0,106.61,0,61444,1
4518700749652,1788988633623980133,0,106.61,0,61444,1
4519200173778,1788988634123404410,0,105.24,0,61444,1
4519700488447,1788988634623718958,0,131.02,14,61444,1
4520200606185,1788988635123836737,0,106.32,0,61444,1
4520699830977,1788988635623061518,0,106.32,0,61444,1
4521199865304,1788988636123096116,0,106.22,0,61444,1
4521699815048,1788988636623046541,0,106.22,0,61444,1
4522199593671,1788988637122824863,0,106.03,0,61444,1
