monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5593332336584,1788989708255566975,0,290.75,100,61444,1
5593831462406,1788989708754693688,0,117.60,0,61444,1
5594332604473,1788989709255835134,0,115.61,0,61444,1
5594833520204,1788989709756750636,0,144.10,0,61444,1
5595331568474,1788989710254799276,0,115.22,14,61444,1
5595832107894,1788989710755338486,0,114.83,0,61444,1
5596331969707,1788989711255200369,0,114.62,0,61444,1
5596831265604,1788989711754496106,0,114.53,0,61444,1
5597331017371,1788989712254247923,0,114.25,0,61444,1
5597831173538,1788989712754404140,0,114.06,0,61444,1
5598331327065,1788989713254557626,0,113.86,0,61444,1
5598831218839,1788989713754449531,0,113.67,0,61444,1
5599332757145,1788989714255988758,0,114.77,0,61444,1
5599832495151,1788989714755725723,0,114.86,21,61444,1
5600331402328,1788989715254632759,0,113.17,0,61444,1
5600831394841,1788989715754625543,0,112.98,0,61444,1
5601332912979,1788989716256143430,0,112.72,0,61444,1
5601833455366,1788989716756685667,0,352.12,0,61444,1
5602332703903,1788989717255934394,0,113.17,19,61444,1
5602877396582,1788989717800627003,0,112.49,0,61444,1
5603333328441,1788989718256558812,0,112.59,0,61444,1
5603832858878,1788989718756089369,0,140.70,32,61444,1
5604333162436,1788989719256393087,0,138.45,20,61444,1
5604832104948,1788989719755335610,0,136.18,21,61444,1
5605331725654,1788989720254956065,0,111.99,0,61444,1
5605833070125,1788989720756300587,0,111.79,0,61444,1
5606331608317,1788989721254838848,0,111.49,0,61444,1
5606831354967,1788989721754585618,0,111.39,0,61444,1
5607331429051,1788989722254659582,0,111.30,0,61444,1
5607833467053,1788989722756697524,0,150.56,15,61444,1
5608332060092,1788989723255290453,0,113.18,17,61444,1
5608832961986,1788989723756192387,0,111.01,0,61444,1
5609336721394,1788989724259951845,0,110.79,0,61444,1
5609833036166,1788989724756266648,0,110.94,0,61444,1
5610331054001,1788989725254284322,0,110.60,0,61444,1
5610831619263,1788989725754849884,0,111.89,0,61444,1
5611331732801,1788989726254963914,0,110.40,0,61444,1
5611831401555,1788989726754632457,0,111.72,0,61444,1
5612332701220,1788989727255931721,0,110.31,9,61444,1
5612832700714,1788989727755931256,0,110.05,0,61444,1
5613331188176,1788989728254418597,0,110.15,0,61444,1
5613832169654,1788989728755400165,0,109.92,0,61444,1
5614331369709,1788989729254600050,0,109.72,0,61444,1
5614831573092,1788989729754803824,0,109.61,0,61444,1
5615331423954,1788989730254654275,0,109.49,0,61444,1
5615831339677,1788989730754570008,0,109.25,0,61444,1
5616332052847,1788989731255283469,0,110.54,0,61444,1
5616832429085,1788989731755659285,0,109.15,0,61444,1
5617331007298,1788989732254237969,0,109.09,0,61444,1
5617833011677,1788989732756241978,0,108.89,0,61444,1
5618332633133,1788989733255863854,0,108.82,0,61444,1
5618831612964,1788989733754843695,0,108.76,0,61444,1
5619332833331,1788989734256063782,0,108.56,0,61444,1
5619832504210,1788989734755734581,0,108.67,0,61444,1
5620332793961,1788989735256025424,0,108.46,0,61444,1
5620832946163,1788989735756176885,0,108.28,0,61444,1
5621332972890,1788989736256203411,0,109.39,0,61444,1
5621831904074,1788989736755134545,0,108.28,0,61444,1
5622331755328,1788989737254985779,0,108.24,0,61444,1
5622831333650,1788989737754564091,0,106.61,0,61444,1
5623332670578,1788989738255901099,0,107.88,0,61444,1
5623832255792,1788989738755486013,0,107.90,0,61444,1
5624332473664,1788989739255703895,0,107.74,0,61444,1
5624840187128,1788989739763418320,0,107.81,0,61444,1
5625332558079,1788989740255789362,0,284.72,21,61444,1
5625833204035,1788989740756434566,0,107.61,8,61444,1
5626332341028,1788989741255571229,0,107.58,0,61444,1
5626832315363,1788989741755545794,0,107.42,0,61444,1
5627332130167,1788989742255360939,0,107.32,0,61444,1
5627831821777,1788989742755053431,0,107.32,0,61444,1
5628331518661,1788989743254749323,0,105.73,0,61444,1
5628831270839,1788989743754501270,0,105.74,0,61444,1
5629331095332,1788989744254325814,0,106.92,0,61444,1
5629831092424,1788989744754322925,0,106.92,0,61444,1
