monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
25542120673604,1788983809252724657,0,278.01,100,61444,1
25542620632784,1788983809752683848,0,119.65,0,61444,1
25543120917085,1788983810252968469,0,119.05,0,61444,1
25543621238094,1788983810753289398,0,143.36,28,61444,1
25544120352188,1788983811252403512,0,148.34,21,61444,1
25544620425197,1788983811752476591,0,161.79,38,61444,1
25545122289410,1788983812254340834,0,159.51,65,61444,1
25545621730656,1788983812753782000,0,167.33,24,61444,1
25546121760443,1788983813253811977,0,146.13,22,61444,1
25546621181371,1788983813753232645,0,151.15,21,61444,1
25547120514971,1788983814252566315,0,142.42,21,61444,1
25547643220892,1788983814775272216,0,150.85,21,61444,1
25548120592332,1788983815252643756,0,149.88,21,61444,1
25548620644134,1788983815752695388,0,141.49,21,61444,1
25549120399611,1788983816252450935,0,145.73,22,61444,1
25549622358718,1788983816754410062,0,147.95,21,61444,1
25550120839611,1788983817252890845,0,141.28,21,61444,1
25550621117518,1788983817753168903,0,150.16,21,61444,1
25551121084136,1788983818253135491,0,141.10,20,61444,1
25551620885904,1788983818752937128,0,149.47,21,61444,1
25552120745751,1788983819252797005,0,143.12,21,61444,1
25552620518200,1788983819752569584,0,115.41,0,61444,1
25553120131271,1788983820252182505,0,115.25,0,61444,1
25553619961372,1788983820752012636,0,115.08,0,61444,1
25554120841485,1788983821252892609,0,115.08,0,61444,1
25554619969600,1788983821752021024,0,114.88,0,61444,1
25555119768453,1788983822251819857,0,114.68,0,61444,1
25555619862354,1788983822751914630,0,114.58,0,61444,1
25556120084257,1788983823252135681,0,114.40,0,61444,1
25556620657218,1788983823752708392,0,114.40,0,61444,1
25557120944107,1788983824252995491,0,114.20,0,61444,1
25557619933912,1788983824751984985,0,114.11,0,61444,1
25558121243991,1788983825253295947,0,114.00,0,61444,1
25558621205149,1788983825753256383,0,113.90,0,61444,1
25559120286737,1788983826252337851,0,113.61,0,61444,1
25559620107326,1788983826752159342,0,113.51,0,61444,1
25560120408702,1788983827252459786,0,113.41,0,61444,1
25560621024739,1788983827753076044,0,113.41,0,61444,1
25561120242330,1788983828252293684,0,113.32,0,61444,1
25561621366799,1788983828753418044,0,113.22,0,61444,1
25562121327925,1788983829253379289,0,113.12,0,61444,1
25562619797711,1788983829751849045,0,112.91,0,61444,1
25563121244304,1788983830253296981,0,112.92,0,61444,1
25563620323314,1788983830752375530,0,112.82,0,61444,1
25564120828220,1788983831252879494,0,112.72,0,61444,1
25564620970055,1788983831753021229,0,112.62,0,61444,1
25565120880595,1788983832252931789,0,112.62,0,61444,1
25565620205456,1788983832752256630,0,112.41,0,61444,1
25566120191509,1788983833252242993,0,112.41,0,61444,1
25566620941385,1788983833752993000,0,112.21,0,61444,1
25567121710016,1788983834253761591,0,112.12,0,61444,1
25567620779237,1788983834752831363,0,112.02,0,61444,1
25568120133960,1788983835252185204,0,111.93,0,61444,1
25568620342404,1788983835752393759,0,277.34,0,61444,1
25569120614366,1788983836252665871,0,112.02,0,61444,1
25569620819959,1788983836752871494,0,111.83,0,61444,1
25570120441266,1788983837252493772,0,111.64,0,61444,1
25570620172317,1788983837752223882,0,111.73,0,61444,1
25571119934718,1788983838251986393,0,111.54,0,61444,1
25571620385561,1788983838752436955,0,111.44,0,61444,1
25572120442024,1788983839252493478,0,111.34,0,61444,1
25572620282140,1788983839752333465,0,111.34,0,61444,1
25573119904714,1788983840251956018,0,111.25,0,61444,1
25573620197851,1788983840752249105,0,111.23,0,61444,1
25574119892223,1788983841251943587,0,111.04,0,61444,1
25574620130217,1788983841752181531,0,110.94,0,61444,1
25575120072936,1788983842252124280,0,110.94,0,61444,1
25575619962981,1788983842752014295,0,110.73,0,61444,1
25576121177779,1788983843253229203,0,110.64,0,61444,1
25576620930987,1788983843752982472,0,110.74,0,61444,1
25577119649167,1788983844251700422,0,110.53,0,61444,1
25577620802192,1788983844752853516,0,110.57,0,61444,1
25578120797413,1788983845252848718,0,110.38,0,61444,1
25578620540937,1788983845752592221,0,110.35,0,61444,1
25579120038790,1788983846252090064,0,110.24,0,61444,1
25579620694776,1788983846752747303,0,111.14,15,61444,1
25580121051441,1788983847253102785,0,110.25,0,61444,1
25580621862915,1788983847753914290,0,136.86,20,61444,1
25581120777258,1788983848252828862,0,110.25,0,61444,1
25581620718713,1788983848752770107,0,110.09,0,61444,1
25582120476173,1788983849252527587,0,110.09,0,61444,1
25582621669634,1788983849753720978,0,109.99,0,61444,1
25583121060681,1788983850253113438,0,109.89,0,61444,1
25583620354841,1788983850752406195,0,109.89,0,61444,1
25584119882745,1788983851251934089,0,109.80,0,61444,1
25584620569168,1788983851752620573,0,109.70,0,61444,1
25585119806570,1788983852251857984,0,109.59,0,61444,1
25585621027596,1788983852753079011,0,107.02,19,61444,1
25586120032677,1788983853252084001,0,109.65,0,61444,1
25586619653684,1788983853751704858,0,109.49,0,61444,1
25587119317802,1788983854251369127,0,109.39,0,61444,1
25587619787944,1788983854751839207,0,109.49,0,61444,1
25588119591678,1788983855251643012,0,109.36,0,61444,1
25588619988346,1788983855752039600,0,109.39,0,61444,1
25589119865655,1788983856251917600,0,109.30,0,61444,1
25589619748483,1788983856751800008,0,109.30,0,61444,1
25590120165809,1788983857252217244,0,109.30,0,61444,1
25590620347639,1788983857752399093,0,109.20,0,61444,1
25591120560547,1788983858252612693,0,109.10,0,61444,1
25591620446822,1788983858752499088,0,109.00,0,61444,1
25592119880026,1788983859251932473,0,109.00,0,61444,1
25592619833999,1788983859751885242,0,108.87,0,61444,1
25593119739265,1788983860251791251,0,108.91,0,61444,1
25593620044523,1788983860752096038,0,108.91,0,61444,1
25594120899414,1788983861252950749,0,136.86,0,61444,1
25594620538213,1788983861752589637,0,108.81,0,61444,1
25595120426810,1788983862252478645,0,108.61,0,61444,1
25595619665481,1788983862751716565,0,108.60,0,61444,1
25596119984946,1788983863252036300,0,108.50,0,61444,1
25596620279125,1788983863752330579,0,108.50,0,61444,1
25597120449520,1788983864252501044,0,108.50,0,61444,1
25597620742706,1788983864752794341,0,108.41,0,61444,1
25598120115996,1788983865252167781,0,108.31,0,61444,1
25598619823187,1788983865751874791,0,108.31,0,61444,1
25599149682005,1788983866281733179,0,108.31,0,61444,1
25599620225222,1788983866752276607,0,108.18,0,61444,1
25600120845733,1788983867252897127,0,108.21,0,61444,1
25600621482990,1788983867753534414,0,108.21,0,61444,1
25601120310046,1788983868252361501,0,108.21,0,61444,1
25601619954259,1788983868752005884,0,108.10,0,61444,1
25602119901682,1788983869251953116,0,108.01,0,61444,1
25602620735648,1788983869752786982,0,108.01,14,61444,1
25603119894470,1788983870251945865,0,107.91,0,61444,1
25603620050774,1788983870752102369,0,107.91,0,61444,1
25604120696598,1788983871252748012,0,107.91,0,61444,1
25604620280127,1788983871752331522,0,107.71,0,61444,1
25605120176253,1788983872252228328,0,107.71,0,61444,1
25605619521896,1788983872751573400,0,107.71,0,61444,1
25606119950040,1788983873252001494,0,107.71,0,61444,1
25606620514731,1788983873752567227,0,107.71,0,61444,1
25607119849223,1788983874251900617,0,107.62,0,61444,1
25607620956041,1788983874753007456,0,107.62,0,61444,1
25608119973538,1788983875252025013,0,107.62,0,61444,1
25608621631256,1788983875753682751,0,107.62,0,61444,1
25609121139276,1788983876253190640,0,107.52,0,61444,1
25609621129212,1788983876753180626,0,268.35,0,61444,1
25610120617045,1788983877252668470,0,130.85,20,61444,1
25610620760545,1788983877752812761,0,139.07,20,61444,1
25611121639294,1788983878253690659,0,132.99,20,61444,1
25611620651380,1788983878752703666,0,139.20,20,61444,1
25612120344033,1788983879252396329,0,107.52,0,61444,1
25612620118019,1788983879752169533,0,107.42,0,61444,1
25613120343458,1788983880252395062,0,107.32,0,61444,1
25613619481329,1788983880751533455,0,107.23,0,61444,1
25614120890519,1788983881252943096,0,107.91,1,61444,1
25614620393206,1788983881752444981,0,132.36,32,61444,1
25615120891647,1788983882252943963,0,136.03,20,61444,1
25615620031106,1788983882752082580,0,111.64,19,61444,1
25616120672059,1788983883252723654,0,107.23,0,61444,1
25616620152605,1788983883752203909,0,107.23,0,61444,1
25617120368060,1788983884252419294,0,107.13,0,61444,1
25617620294516,1788983884752346491,0,107.03,0,61444,1
