monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5803911709484055,1784418642064465918,0,91.88,0,75261,1
5803911709484055,1784418642064465918,1,86.56,0,74059,1
5803911998974487,1784418642353956740,0,344.68,27,75261,1
5803911998974487,1784418642353956740,1,86.47,0,74059,1
5803912286580009,1784418642641561982,0,373.70,100,75261,1
5803912286580009,1784418642641561982,1,86.47,0,74059,1
5803912577457737,1784418642932439640,0,372.18,100,75261,1
5803912577457737,1784418642932439640,1,86.47,0,74059,1
5803912864283747,1784418643219265750,0,367.07,97,75261,1
5803912864283747,1784418643219265750,1,86.47,0,74059,1
5803913157406573,1784418643512388526,0,351.64,100,75261,1
5803913157406573,1784418643512388526,1,86.47,0,74059,1
5803913447323421,1784418643802305744,0,140.08,71,75261,1
5803913447323421,1784418643802305744,1,86.56,0,74059,1
5803913745048221,1784418644100030334,0,148.24,35,75261,1
5803913745048221,1784418644100030334,1,86.28,0,74059,1
5803914036603263,1784418644391585416,0,145.52,35,75261,1
5803914036603263,1784418644391585416,1,86.56,0,74059,1
5803914323670610,1784418644678652683,0,142.20,35,75261,1
5803914323670610,1784418644678652683,1,86.56,0,74059,1
5803914614779176,1784418644969761289,0,139.75,35,75261,1
5803914614779176,1784418644969761289,1,86.56,0,74059,1
5803914903706734,1784418645258688897,0,145.52,35,75261,1
5803914903706734,1784418645258688897,1,86.56,0,74059,1
5803915190223827,1784418645545205590,0,141.60,35,75261,1
5803915190223827,1784418645545205590,1,86.56,0,74059,1
5803915478613690,1784418645833595963,0,340.44,31,75261,1
5803915478613690,1784418645833595963,1,86.79,0,74059,1
5803915769383630,1784418646124365893,0,354.36,100,75261,1
5803915769383630,1784418646124365893,1,86.47,0,74059,1
5803916056387698,1784418646411369611,0,139.75,46,75261,1
5803916056387698,1784418646411369611,1,132.92,29,74059,1
5803916342635913,1784418646697617606,0,138.88,36,75261,1
5803916342635913,1784418646697617606,1,134.17,35,74059,1
5803916635782539,1784418646990764192,0,146.45,36,75261,1
5803916635782539,1784418646990764192,1,134.31,36,74059,1
5803916928683047,1784418647283664720,0,147.97,36,75261,1
5803916928683047,1784418647283664720,1,130.65,36,74059,1
5803917218071210,1784418647573052713,0,140.67,36,75261,1
5803917218071210,1784418647573052713,1,131.11,35,74059,1
5803917505301356,1784418647860283019,0,148.90,36,75261,1
5803917505301356,1784418647860283019,1,134.91,35,74059,1
5803917792506521,1784418648147488134,0,144.32,36,75261,1
5803917792506521,1784418648147488134,1,133.24,35,74059,1
5803918084471329,1784418648439453362,0,147.05,36,75261,1
5803918084471329,1784418648439453362,1,87.21,18,74059,1
5803918376701164,1784418648731683257,0,144.65,36,75261,1
5803918376701164,1784418648731683257,1,86.88,0,74059,1
5803918666869780,1784418649021852063,0,97.60,36,75261,1
5803918666869780,1784418649021852063,1,86.88,0,74059,1
5803918988268493,1784418649343250556,0,92.75,1,75261,1
5803918988268493,1784418649343250556,1,130.65,42,74059,1
5803919276083112,1784418649631065245,0,92.48,0,75261,1
5803919276083112,1784418649631065245,1,139.43,36,74059,1
5803919567674984,1784418649922657127,0,92.15,0,75261,1
5803919567674984,1784418649922657127,1,131.85,36,74059,1
5803919856859989,1784418650211842172,0,92.15,0,75261,1
5803919856859989,1784418650211842172,1,133.71,37,74059,1
5803920145490121,1784418650500472764,0,92.25,0,75261,1
5803920145490121,1784418650500472764,1,136.11,27,74059,1
5803920438533728,1784418650793515761,0,92.25,0,75261,1
5803920438533728,1784418650793515761,1,128.52,35,74059,1
