monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5893113761265525,1784507844116249208,0,87.12,0,75257,1
5893113761265525,1784507844116249208,1,81.44,0,74055,1
5893114051718833,1784507844406700726,0,87.03,1,75257,1
5893114051718833,1784507844406700726,1,81.77,0,74055,1
5893114337271696,1784507844692254059,0,88.23,0,75259,1
5893114337271696,1784507844692254059,1,81.68,0,74055,1
5893114626401709,1784507844981383652,0,353.52,49,75259,1
5893114626401709,1784507844981383652,1,81.36,0,74055,1
5893114914216546,1784507845269198479,0,406.84,100,75259,1
5893114914216546,1784507845269198479,1,81.36,0,74055,1
5893115203896452,1784507845558878395,0,384.11,94,75259,1
5893115203896452,1784507845558878395,1,81.68,0,74055,1
5893115491752109,1784507845846734002,0,381.39,100,75259,1
5893115491752109,1784507845846734002,1,81.68,0,74055,1
5893115777944885,1784507846132926798,0,375.02,100,75259,1
5893115777944885,1784507846132926798,1,81.68,0,74055,1
5893116060311413,1784507846415293346,0,333.50,100,75259,1
5893116060311413,1784507846415293346,1,81.36,0,74055,1
5893116344182565,1784507846699164458,0,336.22,100,75259,1
5893116344182565,1784507846699164458,1,81.68,0,74055,1
5893116631743525,1784507846986725798,0,364.73,100,75259,1
5893116631743525,1784507846986725798,1,81.68,0,74055,1
5893116918160248,1784507847273142201,0,354.72,100,75261,1
5893116918160248,1784507847273142201,1,81.68,0,74055,1
5893117206157823,1784507847561139806,0,140.22,36,75261,1
5893117206157823,1784507847561139806,1,81.44,0,74055,1
5893117496218055,1784507847851200588,0,137.17,36,75261,1
5893117496218055,1784507847851200588,1,81.44,0,74055,1
5893117782599409,1784507848137581342,0,370.77,33,75261,1
5893117782599409,1784507848137581342,1,81.68,0,74055,1
5893118068867974,1784507848423849797,0,387.74,100,75261,1
5893118068867974,1784507848423849797,1,81.68,0,74055,1
5893118346424266,1784507848701405779,0,407.12,100,75261,1
5893118346424266,1784507848701405779,1,81.68,0,74055,1
5893118628084342,1784507848983065865,0,311.42,100,75261,1
5893118628084342,1784507848983065865,1,81.68,0,74055,1
5893118906446885,1784507849261428428,0,325.34,100,75261,1
5893118906446885,1784507849261428428,1,81.77,0,74055,1
5893119183740040,1784507849538721653,0,375.94,100,75261,1
5893119183740040,1784507849538721653,1,81.68,0,74055,1
5893119461071875,1784507849816053388,0,375.61,100,75261,1
5893119461071875,1784507849816053388,1,81.96,0,74055,1
5893119739247951,1784507850094229454,0,400.66,100,75261,1
5893119739247951,1784507850094229454,1,81.68,0,74055,1
5893120018163647,1784507850373145160,0,354.72,100,75261,1
5893120018163647,1784507850373145160,1,81.68,0,74055,1
5893120301438206,1784507850656420299,0,154.02,98,75261,1
5893120301438206,1784507850656420299,1,81.44,0,74055,1
5893120624793775,1784507850979775738,0,140.40,55,75261,1
5893120624793775,1784507850979775738,1,81.44,0,74055,1
5893120913643401,1784507851268625344,0,137.95,36,75261,1
5893120913643401,1784507851268625344,1,81.77,0,74055,1
5893121202577496,1784507851557558999,0,142.20,36,75261,1
5893121202577496,1784507851557558999,1,81.77,0,74055,1
5893121491966316,1784507851846947949,0,136.42,36,75261,1
5893121491966316,1784507851846947949,1,81.77,0,74055,1
5893121782997727,1784507852137979250,0,135.04,36,75261,1
5893121782997727,1784507852137979250,1,81.77,0,74055,1
5893122066859288,1784507852421841031,0,137.77,47,75261,1
5893122066859288,1784507852421841031,1,81.68,0,74055,1
5893122351246984,1784507852706228817,0,392.59,100,75261,1
5893122351246984,1784507852706228817,1,81.68,0,74055,1
5893122635575111,1784507852990556794,0,353.52,100,75261,1
5893122635575111,1784507852990556794,1,81.68,0,74055,1
5893122923803023,1784507853278784526,0,275.03,96,75261,1
5893122923803023,1784507853278784526,1,81.68,0,74055,1
5893123211615111,1784507853566596634,0,335.03,100,75261,1
5893123211615111,1784507853566596634,1,81.60,0,74055,1
5893123493983299,1784507853848964822,0,330.19,100,75261,1
5893123493983299,1784507853848964822,1,81.68,0,74055,1
5893123785089070,1784507854140070753,0,347.76,100,75261,1
5893123785089070,1784507854140070753,1,81.68,0,74055,1
5893124071741590,1784507854426723133,0,394.90,100,75261,1
5893124071741590,1784507854426723133,1,81.60,0,74055,1
5893124356731689,1784507854711713592,0,384.11,100,75261,1
5893124356731689,1784507854711713592,1,81.60,0,74055,1
5893124644224200,1784507854999205803,0,184.68,90,75261,1
5893124644224200,1784507854999205803,1,81.68,0,74055,1
5893124931161437,1784507855286142940,0,145.52,36,75261,1
5893124931161437,1784507855286142940,1,81.77,0,74055,1
5893125217930726,1784507855572912289,0,140.55,36,75261,1
5893125217930726,1784507855572912289,1,81.77,0,74055,1
5893125503351750,1784507855858333623,0,145.25,37,75261,1
5893125503351750,1784507855858333623,1,82.04,0,74055,1
5893125792010648,1784507856146992151,0,137.77,36,75261,1
5893125792010648,1784507856146992151,1,81.77,0,74055,1
5893126078774957,1784507856433756590,0,140.22,36,75261,1
5893126078774957,1784507856433756590,1,81.44,0,74055,1
5893126364871584,1784507856719853487,0,407.12,35,75261,1
5893126364871584,1784507856719853487,1,81.44,0,74055,1
5893126652348985,1784507857007330938,0,387.95,82,75261,1
5893126652348985,1784507857007330938,1,81.68,0,74055,1
