monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5893306046261653,1784508036401244866,0,90.44,0,75261,1
5893306046261653,1784508036401244866,1,81.77,0,74057,1
5893306343866938,1784508036698849491,0,395.50,75,75261,1
5893306343866938,1784508036698849491,1,81.68,0,74057,1
5893306623018005,1784508036977999708,0,135.23,92,75261,1
5893306623018005,1784508036977999708,1,81.77,0,74057,1
5893306948338336,1784508037303320449,0,142.80,32,75261,1
5893306948338336,1784508037303320449,1,81.77,0,74057,1
5893307229427162,1784508037584409005,0,386.75,34,75261,1
5893307229427162,1784508037584409005,1,81.68,0,74057,1
5893307514046219,1784508037869027912,0,153.74,67,75261,1
5893307514046219,1784508037869027912,1,81.77,0,74057,1
5893307796521720,1784508038151503773,0,141.00,32,75261,1
5893307796521720,1784508038151503773,1,82.04,0,74057,1
5893308086064093,1784508038441045796,0,134.90,32,75261,1
5893308086064093,1784508038441045796,1,82.04,0,74057,1
5893308370526152,1784508038725507985,0,136.42,32,75261,1
5893308370526152,1784508038725507985,1,81.77,0,74057,1
5893308655248728,1784508039010230271,0,394.90,32,75261,1
5893308655248728,1784508039010230271,1,81.96,0,74057,1
5893308937673319,1784508039292655092,0,376.54,86,75261,1
5893308937673319,1784508039292655092,1,81.77,0,74057,1
5893309222596393,1784508039577578076,0,135.97,32,75261,1
5893309222596393,1784508039577578076,1,81.77,0,74057,1
5893309502352834,1784508039857335007,0,132.78,32,75261,1
5893309502352834,1784508039857335007,1,81.77,0,74057,1
5893309781770968,1784508040136752651,0,136.76,32,75261,1
5893309781770968,1784508040136752651,1,81.77,0,74057,1
5893310133590508,1784508040488572911,0,135.23,32,75261,1
5893310133590508,1784508040488572911,1,84.17,0,74057,1
5893310432531838,1784508040787515281,0,132.92,32,75261,1
5893310432531838,1784508040787515281,1,81.77,0,74057,1
5893310779964996,1784508041134946699,0,375.22,50,75261,1
5893310779964996,1784508041134946699,1,81.68,0,74057,1
5893311065026158,1784508041420008101,0,136.15,51,75261,1
5893311065026158,1784508041420008101,1,81.44,0,74057,1
5893311361057800,1784508041716040183,0,134.63,32,75261,1
5893311361057800,1784508041716040183,1,81.77,0,74057,1
5893311642201646,1784508041997183369,0,134.63,32,75261,1
5893311642201646,1784508041997183369,1,81.77,0,74057,1
5893311921688389,1784508042276670182,0,132.78,32,75261,1
5893311921688389,1784508042276670182,1,81.77,0,74057,1
5893312202672166,1784508042557654289,0,134.30,32,75261,1
5893312202672166,1784508042557654289,1,81.77,0,74057,1
5893312481508097,1784508042836490280,0,132.78,36,75261,1
5893312481508097,1784508042836490280,1,81.77,0,74057,1
5893312761980650,1784508043116962733,0,131.91,32,75261,1
5893312761980650,1784508043116962733,1,81.68,0,74057,1
5893313042941777,1784508043397923330,0,137.95,32,75261,1
5893313042941777,1784508043397923330,1,81.77,0,74057,1
5893313323108743,1784508043678090456,0,141.00,32,75261,1
5893313323108743,1784508043678090456,1,81.77,0,74057,1
5893313608190915,1784508043963173038,0,138.55,32,75261,1
5893313608190915,1784508043963173038,1,81.68,0,74057,1
5893313890653996,1784508044245636209,0,131.91,32,75261,1
5893313890653996,1784508044245636209,1,81.68,0,74057,1
5893314172679472,1784508044527660995,0,133.24,32,75261,1
5893314172679472,1784508044527660995,1,81.77,0,74057,1
5893314455179922,1784508044810161755,0,136.76,32,75261,1
5893314455179922,1784508044810161755,1,81.44,0,74057,1
5893314734526578,1784508045089508741,0,135.23,32,75261,1
5893314734526578,1784508045089508741,1,81.77,0,74057,1
5893315015843891,1784508045370825754,0,134.03,32,75261,1
5893315015843891,1784508045370825754,1,81.77,0,74057,1
5893315298268192,1784508045653250115,0,118.56,32,75261,1
5893315298268192,1784508045653250115,1,81.77,0,74057,1
5893315576573639,1784508045931555432,0,137.03,35,75261,1
5893315576573639,1784508045931555432,1,81.77,0,74057,1
5893315857399748,1784508046212381801,0,132.78,32,75261,1
5893315857399748,1784508046212381801,1,81.77,0,74057,1
5893316139856079,1784508046494838342,0,139.15,32,75261,1
5893316139856079,1784508046494838342,1,81.77,0,74057,1
5893316421211952,1784508046776193825,0,141.00,32,75261,1
5893316421211952,1784508046776193825,1,81.77,0,74057,1
5893316702106370,1784508047057088063,0,133.84,32,75261,1
5893316702106370,1784508047057088063,1,81.77,0,74057,1
5893316985422981,1784508047340404864,0,132.78,32,75261,1
5893316985422981,1784508047340404864,1,81.77,0,74057,1
