monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5892610984499223,1784507341339481856,0,87.39,0,75261,1
5892610984499223,1784507341339481856,1,83.57,0,74057,1
5892611309329403,1784507341664311376,0,397.62,5,75261,1
5892611309329403,1784507341664311376,1,83.48,0,74057,1
5892611593542549,1784507341948524442,0,392.59,100,75261,1
5892611593542549,1784507341948524442,1,83.48,0,74057,1
5892611919234569,1784507342274216522,0,389.55,100,75261,1
5892611919234569,1784507342274216522,1,83.48,0,74057,1
5892612209923954,1784507342564906097,0,326.54,97,75261,1
5892612209923954,1784507342564906097,1,83.48,0,74057,1
5892612495828540,1784507342850810393,0,325.34,100,75261,1
5892612495828540,1784507342850810393,1,83.48,0,74057,1
5892612780439551,1784507343135421524,0,392.92,100,75261,1
5892612780439551,1784507343135421524,1,83.81,0,74057,1
5892613065000152,1784507343420011335,0,362.88,100,75261,1
5892613065000152,1784507343420011335,1,83.48,0,74057,1
5892613350724151,1784507343705706144,0,377.14,100,75261,1
5892613350724151,1784507343705706144,1,83.48,0,74057,1
5892613635693528,1784507343990675571,0,352.60,100,75261,1
5892613635693528,1784507343990675571,1,83.48,0,74057,1
5892613928162183,1784507344283143976,0,208.32,97,75261,1
5892613928162183,1784507344283143976,1,83.57,0,74057,1
5892614215581563,1784507344570563426,0,137.49,37,75261,1
5892614215581563,1784507344570563426,1,83.57,0,74057,1
5892614501470250,1784507344856452133,0,290.80,59,75261,1
5892614501470250,1784507344856452133,1,83.81,0,74057,1
5892614792852507,1784507345147834640,0,368.60,100,75261,1
5892614792852507,1784507345147834640,1,83.48,0,74057,1
5892615083177785,1784507345438159668,0,368.65,100,75261,1
5892615083177785,1784507345438159668,1,83.48,0,74057,1
5892615377995104,1784507345732977147,0,317.13,96,75261,1
5892615377995104,1784507345732977147,1,83.48,0,74057,1
5892615664529314,1784507346019511217,0,348.96,100,75261,1
5892615664529314,1784507346019511217,1,83.48,0,74057,1
5892615949248453,1784507346304230356,0,380.19,100,75261,1
5892615949248453,1784507346304230356,1,83.48,0,74057,1
5892616235066321,1784507346590048224,0,358.37,100,75261,1
5892616235066321,1784507346590048224,1,84.08,0,74057,1
5892616520912918,1784507346875894811,0,354.99,100,75261,1
5892616520912918,1784507346875894811,1,83.81,0,74057,1
