monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5895924890357775,1784510655245339928,0,87.72,0,75259,1
5895924890357775,1784510655245339928,1,83.29,0,74057,1
5895925176766906,1784510655531748759,0,265.06,0,75259,1
5895925176766906,1784510655531748759,1,83.21,0,74057,1
5895925456137716,1784510655811119209,0,365.23,100,75259,1
5895925456137716,1784510655811119209,1,83.21,0,74057,1
5895925735681195,1784510656090662688,0,354.36,100,75259,1
5895925735681195,1784510656090662688,1,83.21,0,74057,1
5895926017420522,1784510656372402835,0,242.32,100,75259,1
5895926017420522,1784510656372402835,1,83.48,0,74057,1
5895926297198618,1784510656652180381,0,395.23,100,75259,1
5895926297198618,1784510656652180381,1,83.21,0,74057,1
5895926576642907,1784510656931624390,0,350.44,100,75259,1
5895926576642907,1784510656931624390,1,83.21,0,74057,1
5895926856431493,1784510657211413366,0,332.24,100,75259,1
5895926856431493,1784510657211413366,1,83.21,0,74057,1
5895927134938272,1784510657489919765,0,361.91,100,75259,1
5895927134938272,1784510657489919765,1,83.21,0,74057,1
5895927414070604,1784510657769052117,0,385.23,100,75259,1
5895927414070604,1784510657769052117,1,83.21,0,74057,1
5895927694200717,1784510658049183500,0,308.05,93,75259,1
5895927694200717,1784510658049183500,1,83.21,0,74057,1
5895927980686767,1784510658335669170,0,346.56,100,75259,1
5895927980686767,1784510658335669170,1,83.21,0,74057,1
5895928259750920,1784510658614732393,0,359.79,100,75259,1
5895928259750920,1784510658614732393,1,83.21,0,74057,1
5895928538755614,1784510658893737107,0,351.64,100,75259,1
5895928538755614,1784510658893737107,1,83.12,0,74057,1
5895928821701669,1784510659176683682,0,329.59,100,75259,1
5895928821701669,1784510659176683682,1,83.21,0,74057,1
5895929102770943,1784510659457752436,0,335.01,100,75259,1
5895929102770943,1784510659457752436,1,83.12,0,74057,1
5895929381512479,1784510659736494022,0,371.59,100,75259,1
5895929381512479,1784510659736494022,1,83.12,0,74057,1
5895929662038688,1784510660017020491,0,352.79,100,75259,1
5895929662038688,1784510660017020491,1,83.12,0,74057,1
5895929943271699,1784510660298255512,0,330.44,100,75259,1
5895929943271699,1784510660298255512,1,83.21,0,74057,1
5895930224198624,1784510660579180477,0,330.44,100,75259,1
5895930224198624,1784510660579180477,1,83.12,0,74057,1
5895930504940041,1784510660859921904,0,354.99,94,75259,1
5895930504940041,1784510660859921904,1,83.21,0,74057,1
5895930783297211,1784510661138279084,0,350.80,100,75259,1
