monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5895538513795217,1784510268868777760,0,93.77,0,75259,1
5895538513795217,1784510268868777760,1,83.29,0,74057,1
5895538859730591,1784510269214712554,0,398.21,0,75259,1
5895538859730591,1784510269214712554,1,83.21,0,74057,1
5895539151350513,1784510269506333456,0,135.56,88,75259,1
5895539151350513,1784510269506333456,1,83.29,0,74057,1
5895539475767780,1784510269830749813,0,129.78,26,75259,1
5895539475767780,1784510269830749813,1,83.21,0,74057,1
5895539765044347,1784510270120026140,0,401.86,82,75259,1
5895539765044347,1784510270120026140,1,83.21,0,74057,1
5895540067708850,1784510270422691083,0,140.67,32,75259,1
5895540067708850,1784510270422691083,1,83.29,0,74057,1
5895540354858117,1784510270709839940,0,158.60,30,75259,1
5895540354858117,1784510270709839940,1,83.21,0,74057,1
5895540640800256,1784510270995782259,0,409.42,70,75259,1
5895540640800256,1784510270995782259,1,83.29,0,74057,1
5895540928440789,1784510271283422942,0,148.24,32,75259,1
5895540928440789,1784510271283422942,1,83.29,0,74057,1
5895541229421209,1784510271584403072,0,407.44,32,75259,1
5895541229421209,1784510271584403072,1,83.21,0,74057,1
5895541518482497,1784510271873464390,0,143.73,100,75259,1
5895541518482497,1784510271873464390,1,83.21,0,74057,1
5895541843814165,1784510272198795938,0,147.37,33,75259,1
5895541843814165,1784510272198795938,1,86.01,0,74057,1
5895542137964092,1784510272492946775,0,94.60,2,75259,1
5895542137964092,1784510272492946775,1,83.29,0,74057,1
5895542429683624,1784510272784665737,0,94.37,0,75259,1
5895542429683624,1784510272784665737,1,83.29,5,74057,1
5895542714074079,1784510273069055782,0,93.77,0,75259,1
5895542714074079,1784510273069055782,1,129.32,33,74057,1
5895543012600393,1784510273367582406,0,93.68,0,75259,1
5895543012600393,1784510273367582406,1,84.49,33,74057,1
5895543301842910,1784510273656824793,0,93.40,0,75259,1
5895543301842910,1784510273656824793,1,92.38,2,74057,1
5895543585077226,1784510273940059089,0,93.40,0,75259,1
5895543585077226,1784510273940059089,1,83.29,0,74057,1
5895543873356942,1784510274228338925,0,93.40,0,75259,1
5895543873356942,1784510274228338925,1,129.65,27,74057,1
5895544206388753,1784510274561370706,0,93.40,0,75259,1
5895544206388753,1784510274561370706,1,83.89,19,74057,1
5895544491173664,1784510274846155267,0,93.17,0,75259,1
5895544491173664,1784510274846155267,1,122.36,31,74057,1
5895544778373091,1784510275133355264,0,92.75,0,75259,1
5895544778373091,1784510275133355264,1,89.07,31,74057,1
5895545068447469,1784510275423429312,0,92.84,0,75259,1
5895545068447469,1784510275423429312,1,126.93,31,74057,1
5895545352839654,1784510275707821907,0,92.48,0,75259,1
5895545352839654,1784510275707821907,1,105.39,31,74057,1
5895545640533586,1784510275995515209,0,92.48,0,75259,1
5895545640533586,1784510275995515209,1,123.56,31,74057,1
5895545930772582,1784510276285754585,0,92.57,0,75259,1
5895545930772582,1784510276285754585,1,132.37,30,74057,1
5895546213102437,1784510276568084280,0,92.48,0,75259,1
5895546213102437,1784510276568084280,1,123.29,31,74057,1
