monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5892751676198314,1784507482031182217,0,88.00,0,75261,1
5892751676198314,1784507482031182217,1,83.89,0,74057,1
5892751963922687,1784507482318904550,0,374.09,71,75261,1
5892751963922687,1784507482318904550,1,83.81,0,74057,1
5892752256644599,1784507482611626452,0,349.88,100,75261,1
5892752256644599,1784507482611626452,1,83.81,0,74057,1
5892752546688729,1784507482901670882,0,355.92,100,75261,1
5892752546688729,1784507482901670882,1,83.81,0,74057,1
5892752832404703,1784507483187386646,0,383.50,96,75261,1
5892752832404703,1784507483187386646,1,83.89,0,74057,1
5892753118161897,1784507483473144110,0,358.37,100,75261,1
5892753118161897,1784507483473144110,1,83.81,0,74057,1
5892753405569164,1784507483760551067,0,336.22,100,75261,1
5892753405569164,1784507483760551067,1,83.81,0,74057,1
5892753692954611,1784507484047936444,0,331.38,100,75261,1
5892753692954611,1784507484047936444,1,83.81,0,74057,1
5892753979910353,1784507484334892226,0,363.21,100,75261,1
5892753979910353,1784507484334892226,1,83.81,0,74057,1
5892754268099471,1784507484623081504,0,378.87,100,75261,1
5892754268099471,1784507484623081504,1,83.81,0,74057,1
5892754553312661,1784507484908294534,0,349.88,100,75261,1
5892754553312661,1784507484908294534,1,83.81,0,74057,1
5892754839409811,1784507485194391714,0,350.44,100,75261,1
5892754839409811,1784507485194391714,1,83.48,0,74057,1
5892755122484233,1784507485477466376,0,368.98,100,75261,1
5892755122484233,1784507485477466376,1,83.81,0,74057,1
5892755412856649,1784507485767838482,0,327.47,100,75261,1
5892755412856649,1784507485767838482,1,83.48,0,74057,1
5892755701055348,1784507486056037301,0,353.16,100,75261,1
5892755701055348,1784507486056037301,1,83.81,0,74057,1
5892755987959220,1784507486342941123,0,331.11,100,75261,1
5892755987959220,1784507486342941123,1,83.81,0,74057,1
5892756272716274,1784507486627698157,0,337.73,100,75261,1
5892756272716274,1784507486627698157,1,83.81,0,74057,1
5892756559598806,1784507486914581099,0,399.46,100,75261,1
5892756559598806,1784507486914581099,1,83.72,0,74057,1
5892756843287352,1784507487198269255,0,353.16,100,75261,1
5892756843287352,1784507487198269255,1,83.72,0,74057,1
5892757161817417,1784507487516799300,0,103.10,100,75261,1
5892757161817417,1784507487516799300,1,83.81,0,74057,1
5892757450909346,1784507487805891539,0,340.47,100,75261,1
5892757450909346,1784507487805891539,1,83.48,0,74057,1
5892757738154195,1784507488093136068,0,354.40,100,75261,1
5892757738154195,1784507488093136068,1,83.81,0,74057,1
5892758022602402,1784507488377584565,0,341.39,100,75261,1
5892758022602402,1784507488377584565,1,83.81,0,74057,1
5892758317959117,1784507488672941000,0,356.75,100,75261,1
5892758317959117,1784507488672941000,1,83.48,0,74057,1
5892758603449093,1784507488958430976,0,337.47,100,75261,1
5892758603449093,1784507488958430976,1,83.48,0,74057,1
5892758889407355,1784507489244389258,0,139.62,78,75261,1
5892758889407355,1784507489244389258,1,83.57,0,74057,1
