activity,bandwidth_mbps,catch_up_end_ns,catch_up_s,catch_up_start_ns,concurrency,context_size,idle_ns,initial_copy_s,initial_end_ns,initial_start_ns,job_class,logical_kv_bytes,logical_kv_chunks,match_id,method,order,pause_start_ns,processed_tokens,repeat,request_wait_s,route_switch_s,scenario_id,service_pause_s,session_id,success,switch_end_ns,switch_start_ns
none,250.0,,0.0,,4,2048,5547943693748728,67.735107615,5547943693613990,5547875958506375,coding,629391360,51,5155dc1c08ce8701,kv_transfer,0,5547943693614160,0,1,0.000134568,9.4159e-05,m-5155dc1c08ce8701,0.000229237,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5547943693843397,5547943693749238
none,250.0,,0.0,,4,2048,5547945074269645,69.114733364,5547945074084077,5547875959350713,coding,716193792,57,5155dc1c08ce8701,kv_transfer,1,5547945074084267,0,1,0.000185378,0.000107459,m-5155dc1c08ce8701,0.000293337,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5547945074377604,5547945074270145
none,250.0,,0.0,,4,2048,5547943998735876,68.038350287,5547943998680616,5547875960330329,coding,170704896,14,5155dc1c08ce8701,kv_transfer,2,5547943998680796,0,1,5.508e-05,3.7139e-05,m-5155dc1c08ce8701,9.2679e-05,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5547943998773475,5547943998736336
none,250.0,,0.0,,4,2048,5547944643843612,68.682356499,5547944643729654,5547875961373155,coding,542982144,44,5155dc1c08ce8701,kv_transfer,3,5547944643729824,0,1,0.000113788,8.1499e-05,m-5155dc1c08ce8701,0.000195647,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5547944643925471,5547944643843972
none,1000.0,,0.0,,4,8192,5548031598292836,25.248629611,5548031598182157,5548006349552546,coding,542982144,44,1bfc7e6031f2fd52,kv_transfer,0,5548031598182417,0,1,0.000110419,8.1369e-05,m-1bfc7e6031f2fd52,0.000192138,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5548031598374555,5548031598293186
none,1000.0,,0.0,,4,8192,5548031307995109,24.957714172,5548031307862811,5548006350148639,coding,602210304,48,1bfc7e6031f2fd52,kv_transfer,1,5548031307863011,0,1,0.000132098,0.000102689,m-1bfc7e6031f2fd52,0.000235227,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5548031308098238,5548031307995549
none,1000.0,,0.0,,4,8192,5548031698283114,25.346498384,5548031698139866,5548006351641482,coding,1059028992,85,1bfc7e6031f2fd52,kv_transfer,2,5548031698140026,0,1,0.000143088,0.000116369,m-1bfc7e6031f2fd52,0.000259677,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5548031698399703,5548031698283334
none,1000.0,,0.0,,4,8192,5548030303503728,23.950421773,5548030303193062,5548006352771289,coding,671219712,54,1bfc7e6031f2fd52,kv_transfer,3,5548030303193222,0,1,0.000310506,0.000128179,m-1bfc7e6031f2fd52,0.000439365,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5548030303632587,5548030303504408
one_turn,1000.0,5548073344355263,7.572582619,5548065771772644,2,16384,5548065771772424,13.601131193,5548065771628925,5548052170497732,coding,1258536960,101,40ff43191e7bd9d0,kv_transfer,0,5548065771629075,36,2,0.000143349,8.9099e-05,m-40ff43191e7bd9d0,7.572815617,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5548073344444692,5548073344355593
one_turn,1000.0,5548066878331781,0.790341089,5548066087990692,2,16384,5548066087990422,13.916334842,5548066087774064,5548052171439222,coding,1947402240,155,40ff43191e7bd9d0,kv_transfer,1,5548066087774164,231,2,0.000216258,0.000184438,m-40ff43191e7bd9d0,0.790742225,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5548066878516389,5548066878331951
one_turn,1000.0,5548080994228385,1.253587181,5548079740641204,2,16384,5548079740641014,12.861798418,5548079740454306,5548066878655888,coding,1560526848,125,40ff43191e7bd9d0,kv_transfer,2,5548079740454666,40,2,0.000186348,0.000239818,m-40ff43191e7bd9d0,1.254013627,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5548080994468293,5548080994228475
one_turn,1000.0,5548082091687917,1.09758969,5548080994098227,2,16384,5548080994097837,7.64330257,5548080987853981,5548073344551411,coding,1420836864,113,40ff43191e7bd9d0,kv_transfer,3,5548080987854191,270,2,0.006243646,9.8839e-05,m-40ff43191e7bd9d0,1.103932705,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5548082091786896,5548082091688057
one_turn,250.0,5548130083297290,0.686674418,5548129396622872,4,2048,5548129396622622,7.874440913,5548129396489573,5548121522048660,coding,0,0,4654c173a714dbff,replay,0,5548129396489673,31474,2,0.000132949,0.000137648,m-4654c173a714dbff,0.686945495,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,True,5548130083435168,5548130083297520
one_turn,250.0,5548130482401026,1.117319105,5548129365081921,4,2048,5548129365081601,7.840930864,5548129364928893,5548121523998029,coding,0,0,4654c173a714dbff,replay,1,5548129364929143,27343,2,0.000152458,0.000108449,m-4654c173a714dbff,1.117580432,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5548130482509575,5548130482401126
one_turn,250.0,5548132101191965,1.309552834,5548130791639131,4,2048,5548130791638921,9.265295137,5548130791535673,5548121526240536,coding,0,0,4654c173a714dbff,replay,2,5548130791535973,22129,2,0.000102948,9.6969e-05,m-4654c173a714dbff,1.309753361,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5548132101289334,5548132101192365
one_turn,250.0,5548130539658837,1.102997104,5548129436661733,4,2048,5548129436661573,7.907165621,5548129436559064,5548121529393443,coding,0,0,4654c173a714dbff,replay,3,5548129436559174,25641,2,0.000102399,0.000109449,m-4654c173a714dbff,1.103209192,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5548130539768366,5548130539658917
one_turn,10000.0,5548202902116883,1.1750865,5548201727030383,2,16384,5548201727030203,2.168256286,5548201726881834,5548199558625548,coding,1258536960,101,011c0fbad2bb9e1f,kv_transfer,0,5548201726882034,36,2,0.000148169,0.000113539,m-011c0fbad2bb9e1f,1.175348498,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5548202902230532,5548202902116993
one_turn,10000.0,5548205175429624,2.849422658,5548202326006966,2,16384,5548202326006196,2.766325489,5548202325771859,5548199559446370,coding,2115993600,169,011c0fbad2bb9e1f,kv_transfer,1,5548202325771959,73,2,0.000234237,0.000203938,m-011c0fbad2bb9e1f,2.849861693,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5548205175633652,5548205175429714
one_turn,10000.0,5548206036893666,1.481692678,5548204555200988,2,16384,5548204555200768,1.652515631,5548204554962181,5548202902446550,coding,1947402240,155,011c0fbad2bb9e1f,kv_transfer,2,5548204554962321,231,2,0.000238447,0.000342567,m-011c0fbad2bb9e1f,1.482274042,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5548206037236363,5548206036893796
one_turn,10000.0,5548208671245753,1.161502203,5548207509743550,2,16384,5548207509743250,2.333686482,5548207509459173,5548205175772691,coding,1420836864,113,011c0fbad2bb9e1f,kv_transfer,3,5548207509459603,270,2,0.000283647,0.000119049,m-011c0fbad2bb9e1f,1.161905339,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5548208671364942,5548208671245893
one_turn,10000.0,5548296344179868,1.244364889,5548295099814979,4,16384,5548295099814819,12.242734556,5548295099687260,5548282856952704,coding,0,0,33e78bfa7e8fce13,replay,0,5548295099687370,31789,1,0.000127449,0.000256207,m-33e78bfa7e8fce13,1.244748815,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5548296344436185,5548296344179978
one_turn,10000.0,5548296106494359,0.647168227,5548295459326132,4,16384,5548295459325932,12.600792744,5548295459119304,5548282858326560,coding,0,0,33e78bfa7e8fce13,replay,1,5548295459119384,38038,1,0.000206548,0.000155198,m-33e78bfa7e8fce13,0.647530303,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,True,5548296106649687,5548296106494489
one_turn,10000.0,5548296469578655,1.135833618,5548295333745037,4,16384,5548295333744837,12.473450658,5548295333558739,5548282860108081,coding,0,0,33e78bfa7e8fce13,replay,2,5548295333558849,25641,1,0.000185988,9.8169e-05,m-33e78bfa7e8fce13,1.136118085,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5548296469676934,5548296469578765
one_turn,10000.0,5548297038128133,1.98241352,5548295055714613,4,16384,5548295055714333,12.192446884,5548295055523675,5548282863076791,coding,0,0,33e78bfa7e8fce13,replay,3,5548295055523775,43123,1,0.000190558,0.000145298,m-33e78bfa7e8fce13,1.982749756,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5548297038273531,5548297038128233
one_turn,1000.0,5548337288469283,7.059801274,5548330228668009,2,8192,5548330228667849,13.385355165,5548330228539990,5548316843184825,coding,1560526848,125,67e393de9435c87f,kv_transfer,0,5548330228540140,40,2,0.000127709,0.000114699,m-67e393de9435c87f,7.060043952,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5548337288584092,5548337288469393
one_turn,1000.0,5548330984312988,0.805112571,5548330179200417,2,8192,5548330179200227,13.334943441,5548330178971719,5548316844028278,coding,1540227072,123,67e393de9435c87f,kv_transfer,1,5548330178971819,138,2,0.000228408,0.000117939,m-67e393de9435c87f,0.805459208,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,True,5548330984431027,5548330984313088
one_turn,1000.0,5548344115854113,1.222891018,5548342892963095,2,8192,5548342892962865,11.90828249,5548342892831896,5548330984549406,coding,1420836864,113,67e393de9435c87f,kv_transfer,2,5548342892832116,270,2,0.000130749,0.000105819,m-67e393de9435c87f,1.223127926,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5548344115960042,5548344115854223
one_turn,1000.0,5548345825142377,1.864429249,5548343960713128,2,8192,5548343960712948,6.671909358,5548343960599009,5548337288689651,coding,1084047360,87,67e393de9435c87f,kv_transfer,3,5548343960599129,74,2,0.000113819,0.000100029,m-67e393de9435c87f,1.864643407,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5548345825242536,5548345825142507
one_turn,10000.0,5548367671025982,1.113008614,5548366558017368,1,2048,5548366558017158,1.501766545,5548366174223086,5548364672456541,coding,0,0,ce228d2ff0b25d25,replay,0,5548366174223266,6981,0,0.383793892,5.6989e-05,m-ce228d2ff0b25d25,1.496859815,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5548367671083081,5548367671026092
one_turn,10000.0,5548371356395183,1.045225069,5548370311170114,1,2048,5548370311169924,2.639845305,5548370311046875,5548367671201570,coding,0,0,ce228d2ff0b25d25,replay,1,5548370311046995,25641,0,0.000122929,0.000105258,m-ce228d2ff0b25d25,1.045453546,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5548371356500541,5548371356395283
one_turn,10000.0,5548374927944843,1.027464696,5548373900480147,1,2048,5548373900479227,2.542467779,5548373899079549,5548371356611770,coding,0,0,ce228d2ff0b25d25,replay,2,5548373899079679,27343,0,0.001399548,0.000194628,m-ce228d2ff0b25d25,1.029060002,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5548374928139681,5548374927945053
one_turn,10000.0,5548383395827184,1.800967144,5548381594860040,1,2048,5548381594859750,6.666395951,5548381594693191,5548374928297240,coding,0,0,ce228d2ff0b25d25,replay,3,5548381594693281,43123,0,0.000166469,0.000235928,m-ce228d2ff0b25d25,1.801369931,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5548383396063212,5548383395827284
none,1000.0,,0.0,,2,16384,5548460875631918,13.517080292,5548460875469120,5548447358388828,coding,863502336,69,fee35c5d2a99d052,kv_transfer,0,5548460875469220,0,1,0.000162698,0.000113379,m-fee35c5d2a99d052,0.000276567,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5548460875745787,5548460875632408
none,1000.0,,0.0,,2,16384,5548477078208975,29.718491294,5548477078091356,5548447359600062,coding,716193792,57,fee35c5d2a99d052,kv_transfer,1,5548477078091746,0,1,0.000117229,8.8519e-05,m-fee35c5d2a99d052,0.000206028,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5548477078297774,5548477078209255
none,1000.0,,0.0,,2,16384,5548469592341039,8.716269706,5548469592184041,5548460875914335,coding,978518016,78,fee35c5d2a99d052,kv_transfer,2,5548469592184181,0,1,0.000156858,0.000116559,m-fee35c5d2a99d052,0.000273717,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5548469592457898,5548469592341339
none,1000.0,,0.0,,2,16384,5548477613236937,8.020460712,5548477613086548,5548469592625836,coding,894173184,72,fee35c5d2a99d052,kv_transfer,3,5548477613086668,0,1,0.000150269,0.000112639,m-fee35c5d2a99d052,0.000263318,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5548477613349986,5548477613237347
one_turn,10000.0,5548498538946949,0.688370164,5548497850576785,2,2048,5548497850576405,2.335090471,5548497850408276,5548495515317805,coding,1540227072,123,fa4263a768ad5c58,kv_transfer,0,5548497850408726,138,0,0.000167679,0.000301317,m-fa4263a768ad5c58,0.68883964,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,True,5548498539248366,5548498538947049
one_turn,10000.0,5548501123750132,1.483085292,5548499640664840,2,2048,5548499640664600,4.124141096,5548499640409512,5548495516268416,coding,1084047360,87,fa4263a768ad5c58,kv_transfer,1,5548499640409982,74,0,0.000254618,0.000106289,m-fa4263a768ad5c58,1.483446549,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5548501123856531,5548501123750242
one_turn,10000.0,5548501878251596,1.799959903,5548500078291693,2,2048,5548500078291383,1.53872895,5548500078126105,5548498539397155,coding,1560526848,125,fa4263a768ad5c58,kv_transfer,2,5548500078126535,40,0,0.000164848,0.000140699,m-fa4263a768ad5c58,1.80026588,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5548501878392415,5548501878251716
one_turn,10000.0,5548503512154136,1.067416671,5548502444737465,2,2048,5548502444737295,1.320591938,5548502444579737,5548501123987799,coding,1338114048,107,fa4263a768ad5c58,kv_transfer,3,5548502444579867,119,0,0.000157428,0.000117259,m-fa4263a768ad5c58,1.067691898,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5548503512271765,5548503512154506
one_turn,1000.0,5548537477318885,3.297121473,5548534180197412,2,8192,5548534180197222,8.603064233,5548534179994644,5548525576930411,coding,0,0,7a6cc1f9b8e1825d,replay,0,5548534179995014,43123,2,0.000202208,0.000322277,m-7a6cc1f9b8e1825d,3.297646278,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5548537477641292,5548537477319015
one_turn,1000.0,5548534083488558,1.187655451,5548532895833107,2,8192,5548532895832657,7.317809767,5548532895655219,5548525577845452,coding,0,0,7a6cc1f9b8e1825d,replay,1,5548532895655339,31789,2,0.000177318,0.000143399,m-7a6cc1f9b8e1825d,1.187976818,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5548534083632157,5548534083488758
one_turn,1000.0,5548540916191874,3.523508127,5548537392683747,2,8192,5548537392683557,3.308761443,5548537392532689,5548534083771246,coding,0,0,7a6cc1f9b8e1825d,replay,2,5548537392532809,24539,2,0.000150748,0.000358227,m-7a6cc1f9b8e1825d,3.524017402,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5548540916550211,5548540916191984
one_turn,1000.0,5548541296784116,0.672305066,5548540624479050,2,8192,5548540624478850,3.145342562,5548540624316061,5548537478973499,coding,0,0,7a6cc1f9b8e1825d,replay,3,5548540624316151,31474,2,0.000162699,0.000133129,m-7a6cc1f9b8e1825d,0.672601194,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,True,5548541296917345,5548541296784216
one_turn,10000.0,5548591887174058,1.096044215,5548590791129843,1,16384,5548590791129473,2.314476275,5548590790969784,5548588476493509,coding,1258536960,101,6deef92243f10213,kv_transfer,0,5548590790969904,36,2,0.000159569,0.000120259,m-6deef92243f10213,1.096324513,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5548591887294417,5548591887174158
one_turn,10000.0,5548595281046188,1.736214691,5548593544831497,1,16384,5548593544831027,1.657153184,5548593544632669,5548591887479485,coding,2115993600,169,6deef92243f10213,kv_transfer,1,5548593544632779,73,2,0.000198248,0.000161988,m-6deef92243f10213,1.736575517,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5548595281208296,5548595281046308
one_turn,10000.0,5548597637131037,0.689855682,5548596947275355,1,16384,5548596947275195,1.665702203,5548596947086197,5548595281383994,coding,1947402240,155,6deef92243f10213,kv_transfer,2,5548596947086307,231,2,0.000188888,0.000199028,m-6deef92243f10213,0.690243898,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5548597637330205,5548597637131177
one_turn,10000.0,5548601157621581,1.167230827,5548599990390754,1,16384,5548599990390344,2.352760821,5548599990233335,5548597637472514,coding,1420836864,113,6deef92243f10213,kv_transfer,3,5548599990233695,270,2,0.000156649,0.000129019,m-6deef92243f10213,1.167517015,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5548601157750710,5548601157621691
none,250.0,,0.0,,4,8192,5548653179864997,11.691061507,5548653179689189,5548641488627682,coding,0,0,cd5ccdc14271216f,replay,0,5548653179689409,21546,0,0.000175588,0.000118769,m-cd5ccdc14271216f,0.000295317,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5548653179984726,5548653179865957
none,250.0,,0.0,,4,8192,5548652945801904,11.456659167,5548652945613326,5548641488954159,coding,0,0,cd5ccdc14271216f,replay,1,5548652945613446,14571,0,0.000188458,9.3309e-05,m-cd5ccdc14271216f,0.000282337,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5548652945895783,5548652945802474
none,250.0,,0.0,,4,8192,5548652185595429,10.695012726,5548652185466580,5548641490453854,coding,0,0,cd5ccdc14271216f,replay,2,5548652185467140,12805,0,0.000128289,8.1579e-05,m-cd5ccdc14271216f,0.000210438,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5548652185677578,5548652185595999
none,250.0,,0.0,,4,8192,5548651956683757,10.465407481,5548651956515689,5548641491108208,coding,0,0,cd5ccdc14271216f,replay,3,5548651956516129,13656,0,0.000167628,0.000355037,m-cd5ccdc14271216f,0.000524065,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,True,5548651957040194,5548651956685157
one_turn,250.0,5548804741436708,1.501509705,5548803239927003,4,2048,5548803239926803,67.194851037,5548803239784505,5548736044933468,coding,1084047360,87,ac3e52f7089e850b,kv_transfer,0,5548803239784885,74,1,0.000141918,0.000189528,m-ac3e52f7089e850b,1.501841461,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5548804741626346,5548804741436818
one_turn,250.0,5548803572510474,1.753544426,5548801818966048,4,2048,5548801818965778,65.773332508,5548801818801760,5548736045469252,coding,1258536960,101,ac3e52f7089e850b,kv_transfer,1,5548801818801930,36,1,0.000163848,0.000131068,m-ac3e52f7089e850b,1.753839692,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5548803572641622,5548803572510554
one_turn,250.0,5548803879296621,1.305956465,5548802573340156,4,2048,5548802573339676,66.526617526,5548802573229137,5548736046611611,coding,334282752,27,ac3e52f7089e850b,kv_transfer,2,5548802573229497,180,1,0.000110179,0.000101649,m-ac3e52f7089e850b,1.306169163,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,True,5548803879398660,5548803879297011
