monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5558094473710725,1784172824828694608,0,89.66,0,75261,1
5558094473710725,1784172824828694608,1,83.05,0,74059,1
5558094751876542,1784172825106858485,0,89.93,0,75261,1
5558094751876542,1784172825106858485,1,83.05,0,74059,1
5558095034821983,1784172825389804186,0,362.83,0,75261,1
5558095034821983,1784172825389804186,1,83.05,0,74059,1
5558095314783413,1784172825669765296,0,390.99,100,75261,1
5558095314783413,1784172825669765296,1,83.38,0,74059,1
5558095591280497,1784172825946262550,0,131.31,40,75261,1
5558095591280497,1784172825946262550,1,83.05,0,74059,1
5558095867589433,1784172826222571306,0,135.56,32,75261,1
5558095867589433,1784172826222571306,1,82.97,0,74059,1
5558096174239730,1784172826529222163,0,90.35,18,75261,1
5558096174239730,1784172826529222163,1,83.05,0,74059,1
5558096491874240,1784172826846855713,0,90.02,0,75261,1
5558096491874240,1784172826846855713,1,83.05,0,74059,1
5558096779419536,1784172827134401399,0,370.39,30,75261,1
5558096779419536,1784172827134401399,1,83.29,0,74059,1
5558097054130807,1784172827409112930,0,402.45,100,75261,1
5558097054130807,1784172827409112930,1,83.29,0,74059,1
5558097328984467,1784172827683966390,0,407.29,100,75261,1
5558097328984467,1784172827683966390,1,82.97,0,74059,1
5558097607561271,1784172827962543114,0,364.03,94,75261,1
5558097607561271,1784172827962543114,1,82.97,0,74059,1
5558097894284264,1784172828249266187,0,354.63,100,75261,1
5558097894284264,1784172828249266187,1,82.97,0,74059,1
5558098175036796,1784172828530018849,0,126.93,65,75261,1
5558098175036796,1784172828530018849,1,83.38,0,74059,1
5558098449815237,1784172828804797290,0,136.89,35,75261,1
5558098449815237,1784172828804797290,1,83.05,0,74059,1
5558098726129253,1784172829081111316,0,136.01,35,75261,1
5558098726129253,1784172829081111316,1,83.05,0,74059,1
5558099008335741,1784172829363317804,0,145.25,35,75261,1
5558099008335741,1784172829363317804,1,83.38,0,74059,1
5558099292804576,1784172829647786599,0,141.60,35,75261,1
5558099292804576,1784172829647786599,1,83.38,0,74059,1
5558099575718437,1784172829930700470,0,134.49,35,75261,1
