monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5550144195215049,1784164874550198802,0,90.53,0,75261,1
5550144195215049,1784164874550198802,1,84.58,0,74057,1
5550144477556693,1784164874832538506,0,372.18,23,75261,1
5550144477556693,1784164874832538506,1,84.49,0,74057,1
5550144755696606,1784164875110678109,0,394.30,100,75261,1
5550144755696606,1784164875110678109,1,84.49,0,74057,1
5550145036015699,1784164875390997222,0,408.99,100,75261,1
5550145036015699,1784164875390997222,1,84.49,0,74057,1
5550145314871055,1784164875669852708,0,318.65,97,75261,1
5550145314871055,1784164875669852708,1,84.49,0,74057,1
5550145594104598,1784164875949086091,0,341.04,100,75261,1
5550145594104598,1784164875949086091,1,84.49,0,74057,1
5550145873270062,1784164876228251825,0,370.07,100,75261,1
5550145873270062,1784164876228251825,1,84.49,0,74057,1
5550146153740433,1784164876508722436,0,381.91,100,75261,1
5550146153740433,1784164876508722436,1,84.17,0,74057,1
5550146434219425,1784164876789203878,0,363.38,100,75261,1
5550146434219425,1784164876789203878,1,84.08,0,74057,1
5550146715245591,1784164877070227874,0,142.98,56,75261,1
5550146715245591,1784164877070227874,1,84.17,0,74057,1
5550146993953349,1784164877348935922,0,108.22,43,75261,1
5550146993953349,1784164877348935922,1,84.25,0,74057,1
5550147276135495,1784164877631117358,0,141.87,34,75261,1
5550147276135495,1784164877631117358,1,83.98,0,74057,1
5550147553910311,1784164877908892534,0,142.38,38,75261,1
5550147553910311,1784164877908892534,1,84.25,0,74057,1
5550147830787995,1784164878185770218,0,145.10,38,75261,1
5550147830787995,1784164878185770218,1,84.17,0,74057,1
5550148125095611,1784164878480077394,0,102.06,38,75261,1
5550148125095611,1784164878480077394,1,84.25,0,74057,1
5550148410195040,1784164878765176903,0,250.48,41,75261,1
5550148410195040,1784164878765176903,1,84.17,0,74057,1
5550148685681327,1784164879040663200,0,388.27,100,75261,1
5550148685681327,1784164879040663200,1,84.17,0,74057,1
5550148965400786,1784164879320384029,0,422.62,100,75261,1
5550148965400786,1784164879320384029,1,84.17,0,74057,1
5550149245426391,1784164879600408304,0,423.33,96,75261,1
5550149245426391,1784164879600408304,1,84.17,0,74057,1
5550149524725284,1784164879879707177,0,362.24,100,75261,1
5550149524725284,1784164879879707177,1,83.89,0,74057,1
5550149800590207,1784164880155572070,0,406.70,100,75261,1
5550149800590207,1784164880155572070,1,83.89,0,74057,1
5550150081400846,1784164880436382739,0,364.03,100,75261,1
5550150081400846,1784164880436382739,1,84.17,0,74057,1
