monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5577063144983057,1784191793499965800,0,89.85,0,75261,1
5577063144983057,1784191793499965800,1,83.14,0,74057,1
5577063491455057,1784191793846436660,0,368.65,7,75261,1
5577063491455057,1784191793846436660,1,83.05,0,74057,1
5577063770759272,1784191794125741205,0,366.53,100,75261,1
5577063770759272,1784191794125741205,1,82.78,0,74057,1
5577064051946985,1784191794406930338,0,358.37,99,75261,1
5577064051946985,1784191794406930338,1,83.05,0,74057,1
5577064334227596,1784191794689209539,0,373.82,97,75261,1
5577064334227596,1784191794689209539,1,83.05,0,74057,1
5577064612504393,1784191794967486296,0,380.19,100,75261,1
5577064612504393,1784191794967486296,1,83.38,0,74057,1
5577064890829309,1784191795245811142,0,370.45,100,75261,1
5577064890829309,1784191795245811142,1,83.05,0,74057,1
5577065170103695,1784191795525085498,0,342.32,100,75261,1
5577065170103695,1784191795525085498,1,82.78,0,74057,1
5577065445268158,1784191795800250341,0,375.94,100,75261,1
5577065445268158,1784191795800250341,1,83.05,0,74057,1
5577065722322379,1784191796077304202,0,326.87,100,75261,1
5577065722322379,1784191796077304202,1,82.78,0,74057,1
5577066007262869,1784191796362244902,0,354.13,94,75261,1
5577066007262869,1784191796362244902,1,83.05,0,74057,1
5577066285859102,1784191796640840965,0,357.12,100,75261,1
5577066285859102,1784191796640840965,1,82.78,0,74057,1
5577066563568035,1784191796918550128,0,358.04,100,75261,1
5577066563568035,1784191796918550128,1,82.78,0,74057,1
5577066906374217,1784191797261356370,0,140.22,86,75261,1
5577066906374217,1784191797261356370,1,82.87,0,74057,1
5577067184817222,1784191797539799055,0,146.93,40,75261,1
5577067184817222,1784191797539799055,1,82.87,0,74057,1
5577067465746729,1784191797820728632,0,147.80,40,75261,1
5577067465746729,1784191797820728632,1,83.14,0,74057,1
5577067743591530,1784191798098573383,0,142.95,34,75261,1
5577067743591530,1784191798098573383,1,82.87,0,74057,1
5577068022281783,1784191798377263866,0,363.49,89,75261,1
5577068022281783,1784191798377263866,1,82.78,0,74057,1
5577068301949523,1784191798656931626,0,379.26,100,75261,1
5577068301949523,1784191798656931626,1,83.05,0,74057,1
5577068582337646,1784191798937319799,0,236.20,100,75261,1
5577068582337646,1784191798937319799,1,82.78,0,74057,1
5577068860998669,1784191799215980551,0,360.16,96,75261,1
5577068860998669,1784191799215980551,1,82.78,0,74057,1
5577069140026327,1784191799495008130,0,371.70,100,75261,1
5577069140026327,1784191799495008130,1,82.70,0,74057,1
5577069414526417,1784191799769508240,0,398.36,100,75261,1
5577069414526417,1784191799769508240,1,82.78,0,74057,1
5577069693432147,1784191800048414300,0,363.21,100,75261,1
5577069693432147,1784191800048414300,1,82.78,0,74057,1
5577069973928838,1784191800328912521,0,131.11,80,75261,1
5577069973928838,1784191800328912521,1,82.54,0,74057,1
5577070256035331,1784191800611017364,0,143.88,33,75261,1
5577070256035331,1784191800611017364,1,82.54,0,74057,1
5577070533111802,1784191800888094165,0,130.79,31,75261,1
5577070533111802,1784191800888094165,1,82.21,0,74057,1
5577070812921031,1784191801167903044,0,140.82,38,75261,1
5577070812921031,1784191801167903044,1,82.21,0,74057,1
5577071089981102,1784191801444963475,0,141.42,38,75261,1
5577071089981102,1784191801444963475,1,82.54,0,74057,1
5577071370381385,1784191801725363698,0,141.42,38,75261,1
5577071370381385,1784191801725363698,1,82.54,0,74057,1
5577071652175351,1784191802007157364,0,354.72,29,75261,1
5577071652175351,1784191802007157364,1,82.46,0,74057,1
5577071964077119,1784191802319059002,0,399.23,99,75261,1
5577071964077119,1784191802319059002,1,82.46,0,74057,1
5577072243610192,1784191802598592595,0,404.57,100,75261,1
5577072243610192,1784191802598592595,1,82.46,0,74057,1
5577072523619479,1784191802878601412,0,359.24,97,75261,1
5577072523619479,1784191802878601412,1,82.46,0,74057,1
5577072803869253,1784191803158851136,0,371.97,100,75261,1
5577072803869253,1784191803158851136,1,82.46,0,74057,1
5577073081994912,1784191803436977075,0,336.80,100,75261,1
5577073081994912,1784191803436977075,1,82.46,0,74057,1
5577073361890720,1784191803716872643,0,361.31,100,75261,1
5577073361890720,1784191803716872643,1,82.46,0,74057,1
5577073639877780,1784191803994859993,0,347.76,100,75261,1
5577073639877780,1784191803994859993,1,82.46,0,74057,1
5577073921246712,1784191804276228575,0,407.71,100,75261,1
5577073921246712,1784191804276228575,1,82.12,0,74057,1
5577074202197348,1784191804557179661,0,139.90,45,75261,1
5577074202197348,1784191804557179661,1,82.21,0,74057,1
5577074480869190,1784191804835851233,0,142.35,37,75261,1
5577074480869190,1784191804835851233,1,82.21,0,74057,1
5577074761086274,1784191805116068167,0,100.48,35,75261,1
5577074761086274,1784191805116068167,1,82.54,0,74057,1
5577075040523368,1784191805395505311,0,419.85,100,75261,1
5577075040523368,1784191805395505311,1,82.12,0,74057,1
5577075314667783,1784191805669649646,0,394.71,100,75261,1
5577075314667783,1784191805669649646,1,82.46,0,74057,1
5577075592794821,1784191805947777054,0,370.77,99,75261,1
5577075592794821,1784191805947777054,1,82.46,0,74057,1
5577075872874117,1784191806227856030,0,350.16,98,75261,1
