monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5558458774794113,1784173189129778166,0,89.75,0,75261,1
5558458774794113,1784173189129778166,1,81.44,0,74059,1
5558459072622320,1784173189427604373,0,89.75,0,75261,1
5558459072622320,1784173189427604373,1,81.53,0,74059,1
5558459352808254,1784173189707790437,0,397.62,50,75261,1
5558459352808254,1784173189707790437,1,81.44,0,74059,1
5558459633760619,1784173189988742532,0,406.70,100,75261,1
5558459633760619,1784173189988742532,1,81.44,0,74059,1
5558459913475188,1784173190268457311,0,407.80,100,75261,1
5558459913475188,1784173190268457311,1,81.44,0,74059,1
5558460192482313,1784173190547464756,0,383.38,96,75261,1
5558460192482313,1784173190547464756,1,81.44,0,74059,1
5558460471419889,1784173190826401962,0,374.03,100,75261,1
5558460471419889,1784173190826401962,1,81.77,0,74059,1
5558460753182187,1784173191108164340,0,385.50,100,75261,1
5558460753182187,1784173191108164340,1,81.77,0,74059,1
5558461029332530,1784173191384314423,0,378.87,100,75261,1
5558461029332530,1784173191384314423,1,81.44,0,74059,1
5558461325681415,1784173191680664458,0,360.99,100,75261,1
5558461325681415,1784173191680664458,1,81.77,0,74059,1
5558461600662895,1784173191955644758,0,356.15,100,75261,1
5558461600662895,1784173191955644758,1,81.77,0,74059,1
5558461876085279,1784173192231068132,0,343.16,100,75261,1
5558461876085279,1784173192231068132,1,81.77,0,74059,1
5558462155151556,1784173192510133319,0,335.01,94,75261,1
5558462155151556,1784173192510133319,1,81.77,0,74059,1
5558462431339793,1784173192786321806,0,357.40,100,75261,1
5558462431339793,1784173192786321806,1,81.44,0,74059,1
5558462707737877,1784173193062719620,0,338.32,100,75261,1
5558462707737877,1784173193062719620,1,81.77,0,74059,1
5558462983130722,1784173193338112985,0,134.76,84,75261,1
5558462983130722,1784173193338112985,1,81.77,0,74059,1
5558463286852429,1784173193641834582,0,144.17,32,75261,1
5558463286852429,1784173193641834582,1,81.77,0,74059,1
5558463567880575,1784173193922862318,0,148.09,40,75261,1
5558463567880575,1784173193922862318,1,81.44,0,74059,1
5558463871974478,1784173194226955881,0,91.28,11,75261,1
5558463871974478,1784173194226955881,1,81.86,0,74059,1
5558464181861401,1784173194536844844,0,90.95,0,75261,1
5558464181861401,1784173194536844844,1,81.53,0,74059,1
5558464526277470,1784173194881259313,0,359.52,39,75261,1
5558464526277470,1784173194881259313,1,81.53,0,74059,1
5558464801747995,1784173195156729858,0,395.50,100,75261,1
