monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5557129953444806,1784171860308427629,0,90.53,0,75261,1
5557129953444806,1784171860308427629,1,83.29,0,74059,1
5557130235728729,1784171860590711842,0,90.53,0,75261,1
5557130235728729,1784171860590711842,1,83.29,0,74059,1
5557130519059482,1784171860874041365,0,363.76,100,75261,1
5557130519059482,1784171860874041365,1,82.97,0,74059,1
5557130794292258,1784171861149274131,0,389.14,100,75261,1
5557130794292258,1784171861149274131,1,83.29,0,74059,1
5557131076838458,1784171861431822491,0,392.70,100,75261,1
5557131076838458,1784171861431822491,1,83.29,0,74059,1
5557131357753163,1784171861712735016,0,388.27,100,75261,1
5557131357753163,1784171861712735016,1,82.97,0,74059,1
5557131632677851,1784171861987659994,0,361.91,100,75261,1
5557131632677851,1784171861987659994,1,86.94,0,74059,1
5557131915154222,1784171862270136125,0,337.73,100,75261,1
5557131915154222,1784171862270136125,1,83.05,0,74059,1
5557132194311282,1784171862549293655,0,140.08,36,75261,1
5557132194311282,1784171862549293655,1,82.97,0,74059,1
5557132473366153,1784171862828348706,0,124.15,36,75261,1
5557132473366153,1784171862828348706,1,83.05,0,74059,1
5557132753701783,1784171863108683826,0,147.37,35,75261,1
5557132753701783,1784171863108683826,1,83.05,0,74059,1
5557133033344429,1784171863388326472,0,141.72,37,75261,1
5557133033344429,1784171863388326472,1,83.05,0,74059,1
5557133313236393,1784171863668218446,0,138.41,37,75261,1
5557133313236393,1784171863668218446,1,82.97,0,74059,1
5557133614488227,1784171863969469710,0,91.88,12,75261,1
5557133614488227,1784171863969469710,1,83.05,0,74059,1
5557133914322874,1784171864269304567,0,91.55,0,75261,1
5557133914322874,1784171864269304567,1,83.05,0,74059,1
5557134193249877,1784171864548231710,0,380.99,86,75261,1
5557134193249877,1784171864548231710,1,82.97,0,74059,1
5557134471639874,1784171864826622007,0,409.14,100,75261,1
5557134471639874,1784171864826622007,1,82.97,0,74059,1
5557134750231429,1784171865105213262,0,409.74,100,75261,1
5557134750231429,1784171865105213262,1,83.29,0,74059,1
5557135027180259,1784171865382162412,0,366.75,94,75261,1
5557135027180259,1784171865382162412,1,82.97,0,74059,1
5557135305254149,1784171865660236352,0,361.91,100,75261,1
5557135305254149,1784171865660236352,1,82.97,0,74059,1
5557135583154691,1784171865938136544,0,141.45,30,75261,1
5557135583154691,1784171865938136544,1,83.38,0,74059,1
5557135864033226,1784171866219015059,0,140.08,36,75261,1
5557135864033226,1784171866219015059,1,82.97,0,74059,1
5557136144676733,1784171866499658586,0,141.87,35,75261,1
5557136144676733,1784171866499658586,1,83.38,0,74059,1
5557136423773994,1784171866778755877,0,138.28,36,75261,1
5557136423773994,1784171866778755877,1,83.38,0,74059,1
5557136702730196,1784171867057712089,0,147.05,36,75261,1
5557136702730196,1784171867057712089,1,83.05,0,74059,1
5557136985440695,1784171867340422588,0,138.88,36,75261,1
5557136985440695,1784171867340422588,1,83.05,0,74059,1
5557137297272005,1784171867652255338,0,92.15,29,75261,1
5557137297272005,1784171867652255338,1,83.38,0,74059,1
5557137611801502,1784171867966783425,0,91.88,0,75261,1
5557137611801502,1784171867966783425,1,83.05,0,74059,1
5557137893660968,1784171868248642821,0,367.07,36,75261,1
5557137893660968,1784171868248642821,1,83.05,0,74059,1
5557138171726638,1784171868526709431,0,401.59,100,75261,1
5557138171726638,1784171868526709431,1,82.97,0,74059,1
5557138451503523,1784171868806485386,0,424.14,100,75261,1
5557138451503523,1784171868806485386,1,83.29,0,74059,1
5557138730295277,1784171869085277130,0,342.84,94,75261,1
5557138730295277,1784171869085277130,1,83.29,0,74059,1
5557139006077597,1784171869361059450,0,371.59,100,75261,1
5557139006077597,1784171869361059450,1,82.97,0,74059,1
5557139284897591,1784171869639879463,0,375.76,100,75261,1
5557139284897591,1784171869639879463,1,83.29,0,74059,1
5557139571664723,1784171869926648736,0,381.91,100,75261,1
5557139571664723,1784171869926648736,1,82.97,0,74059,1
