monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5573687063861205,1784188417418844108,0,90.63,0,75261,1
5573687063861205,1784188417418844108,1,82.78,0,74057,1
5573687346305982,1784188417701288115,0,90.63,0,75261,1
5573687346305982,1784188417701288115,1,82.78,0,74057,1
5573687628245785,1784188417983228208,0,362.29,18,75261,1
5573687628245785,1784188417983228208,1,82.78,0,74057,1
5573687907207782,1784188418262190245,0,394.30,100,75261,1
5573687907207782,1784188418262190245,1,82.78,0,74057,1
5573688185192171,1784188418540173904,0,409.74,97,75261,1
5573688185192171,1784188418540173904,1,82.70,0,74057,1
5573688463971050,1784188418818953483,0,335.87,100,75261,1
5573688463971050,1784188418818953483,1,82.78,0,74057,1
5573688738663536,1784188419093645279,0,355.55,100,75261,1
5573688738663536,1784188419093645279,1,82.78,0,74057,1
5573689016260919,1784188419371242662,0,341.04,100,75261,1
5573689016260919,1784188419371242662,1,82.97,0,74057,1
5573689289455553,1784188419644437436,0,141.60,62,75261,1
5573689289455553,1784188419644437436,1,82.78,0,74057,1
5573689565811000,1784188419920793213,0,138.88,36,75261,1
5573689565811000,1784188419920793213,1,82.78,0,74057,1
5573689845300821,1784188420200282664,0,142.80,36,75261,1
5573689845300821,1784188420200282664,1,82.87,0,74057,1
5573690120832877,1784188420475814720,0,233.24,29,75261,1
5573690120832877,1784188420475814720,1,82.78,0,74057,1
5573690426235162,1784188420781216665,0,387.95,100,75261,1
5573690426235162,1784188420781216665,1,82.78,0,74057,1
5573690702783877,1784188421057765650,0,416.37,100,75261,1
5573690702783877,1784188421057765650,1,82.78,0,74057,1
5573690983224747,1784188421338206500,0,417.29,100,75261,1
5573690983224747,1784188421338206500,1,82.78,0,74057,1
5573691257125463,1784188421612107225,0,351.64,100,75261,1
5573691257125463,1784188421612107225,1,82.70,0,74057,1
5573691552902967,1784188421907884450,0,412.78,100,75261,1
5573691552902967,1784188421907884450,1,84.49,0,74057,1
5573691834531994,1784188422189513737,0,331.97,100,75261,1
5573691834531994,1784188422189513737,1,82.78,0,74057,1
5573692109788584,1784188422464770857,0,407.62,100,75261,1
5573692109788584,1784188422464770857,1,82.70,0,74057,1
5573692386267939,1784188422741249702,0,336.80,100,75261,1
5573692386267939,1784188422741249702,1,82.70,0,74057,1
5573692663607485,1784188423018589268,0,183.43,100,75261,1
5573692663607485,1784188423018589268,1,82.70,0,74057,1
5573692941701342,1784188423296683105,0,346.80,94,75261,1
5573692941701342,1784188423296683105,1,82.46,0,74057,1
5573693219261936,1784188423574244729,0,270.50,100,75261,1
5573693219261936,1784188423574244729,1,82.78,0,74057,1
5573693498136294,1784188423853118097,0,141.27,90,75261,1
5573693498136294,1784188423853118097,1,82.46,0,74057,1
5573693772869830,1784188424127851803,0,146.45,38,75261,1
5573693772869830,1784188424127851803,1,82.78,0,74057,1
5573694048407686,1784188424403389279,0,94.27,37,75261,1
5573694048407686,1784188424403389279,1,82.78,0,74057,1
5573694322593508,1784188424677575191,0,380.99,100,75261,1
5573694322593508,1784188424677575191,1,82.78,0,74057,1
5573694602962979,1784188424957944972,0,413.65,100,75261,1
5573694602962979,1784188424957944972,1,82.97,0,74057,1
5573694879828770,1784188425234810293,0,406.10,100,75261,1
5573694879828770,1784188425234810293,1,82.97,0,74057,1
5573695153573547,1784188425508555220,0,368.60,98,75261,1
5573695153573547,1784188425508555220,1,82.70,0,74057,1
5573695433649542,1784188425788630995,0,363.76,100,75261,1
5573695433649542,1784188425788630995,1,82.70,0,74057,1
5573695707660446,1784188426062641939,0,354.95,100,75261,1
5573695707660446,1784188426062641939,1,82.70,0,74057,1
5573695986000110,1784188426340998403,0,343.76,100,75261,1
5573695986000110,1784188426340998403,1,82.61,0,74057,1
5573696260866594,1784188426615848087,0,340.44,100,75261,1
5573696260866594,1784188426615848087,1,82.70,0,74057,1
5573696534108247,1784188426889089690,0,397.35,100,75261,1
5573696534108247,1784188426889089690,1,82.70,0,74057,1
5573696816296297,1784188427171277790,0,355.92,94,75261,1
5573696816296297,1784188427171277790,1,82.46,0,74057,1
5573697096808657,1784188427451790100,0,358.00,100,75261,1
5573697096808657,1784188427451790100,1,82.78,0,74057,1
5573697373399171,1784188427728381004,0,365.23,100,75261,1
5573697373399171,1784188427728381004,1,82.70,0,74057,1
5573697653067681,1784188428008051283,0,366.75,100,75261,1
5573697653067681,1784188428008051283,1,82.70,0,74057,1
5573697937081850,1784188428292064073,0,135.97,37,75261,1
5573697937081850,1784188428292064073,1,82.78,0,74057,1
5573698218490999,1784188428573473082,0,150.09,36,75261,1
5573698218490999,1784188428573473082,1,82.87,0,74057,1
5573698494905256,1784188428849887129,0,123.08,26,75261,1
5573698494905256,1784188428849887129,1,82.78,0,74057,1
5573698772477239,1784188429127459102,0,92.48,0,75261,1
5573698772477239,1784188429127459102,1,82.78,0,74057,1
5573699052529474,1784188429407511247,0,92.15,0,75261,1
5573699052529474,1784188429407511247,1,82.46,0,74057,1
5573699334241939,1784188429689223792,0,366.75,69,75261,1
5573699334241939,1784188429689223792,1,82.70,0,74057,1
5573699610551837,1784188429965533730,0,391.58,100,75261,1
5573699610551837,1784188429965533730,1,82.78,0,74057,1
5573699887260250,1784188430242242123,0,428.82,100,75261,1
5573699887260250,1784188430242242123,1,82.97,0,74057,1
5573700166914689,1784188430521896622,0,405.83,96,75261,1
5573700166914689,1784188430521896622,1,82.70,0,74057,1
5573700441284849,1784188430796266872,0,372.18,100,75261,1
5573700441284849,1784188430796266872,1,82.97,0,74057,1
5573700721494192,1784188431076476055,0,397.02,100,75261,1
5573700721494192,1784188431076476055,1,82.70,0,74057,1
5573700994506758,1784188431349488601,0,388.27,100,75261,1
5573700994506758,1784188431349488601,1,83.05,0,74057,1
5573701269909855,1784188431624891718,0,372.51,100,75261,1
5573701269909855,1784188431624891718,1,82.70,0,74057,1
5573701549494596,1784188431904476469,0,381.91,100,75261,1
5573701549494596,1784188431904476469,1,82.70,0,74057,1
5573701826820332,1784188432181802175,0,150.97,100,75261,1
5573701826820332,1784188432181802175,1,82.78,0,74057,1
5573702101775495,1784188432456757978,0,352.60,98,75261,1
5573702101775495,1784188432456757978,1,82.78,0,74057,1
5573702375961747,1784188432730944030,0,140.40,37,75261,1
5573702375961747,1784188432730944030,1,83.05,0,74057,1
5573702656579635,1784188433011561838,0,142.20,36,75261,1
5573702656579635,1784188433011561838,1,82.78,0,74057,1
5573702931799945,1784188433286782128,0,94.00,15,75261,1
5573702931799945,1784188433286782128,1,82.46,0,74057,1
5573703214405431,1784188433569387274,0,92.75,26,75261,1
5573703214405431,1784188433569387274,1,82.54,0,74057,1
5573703493827133,1784188433848809046,0,106.42,0,75261,1
5573703493827133,1784188433848809046,1,82.78,0,74057,1
5573703776185141,1784188434131167094,0,169.21,51,75261,1
5573703776185141,1784188434131167094,1,82.87,0,74057,1
5573704055510704,1784188434410492967,0,180.71,43,75261,1
5573704055510704,1784188434410492967,1,82.87,0,74057,1
5573704330926282,1784188434685908655,0,188.60,50,75261,1
5573704330926282,1784188434685908655,1,82.78,0,74057,1
5573704666873127,1784188435021854920,0,163.71,49,75261,1
5573704666873127,1784188435021854920,1,82.78,0,74057,1
5573704943412332,1784188435298394505,0,145.85,49,75261,1
5573704943412332,1784188435298394505,1,82.78,0,74057,1
5573705229196801,1784188435584179804,0,145.85,33,75261,1
5573705229196801,1784188435584179804,1,82.87,0,74057,1
5573705505932084,1784188435860914507,0,137.95,35,75261,1
5573705505932084,1784188435860914507,1,82.87,0,74057,1
5573705789222342,1784188436144204735,0,143.12,35,75261,1
5573705789222342,1784188436144204735,1,82.87,0,74057,1
5573706068470326,1784188436423452979,0,190.99,33,75261,1
5573706068470326,1784188436423452979,1,82.78,0,74057,1
5573706342466800,1784188436697448713,0,142.20,50,75261,1
5573706342466800,1784188436697448713,1,82.87,0,74057,1
5573706624033097,1784188436979015480,0,140.40,38,75261,1
5573706624033097,1784188436979015480,1,82.78,0,74057,1
5573706905504736,1784188437260486959,0,141.00,38,75261,1
5573706905504736,1784188437260486959,1,82.78,0,74057,1
5573707186439710,1784188437541422093,0,139.15,38,75261,1
5573707186439710,1784188437541422093,1,82.78,0,74057,1
5573707468320374,1784188437823302657,0,144.17,38,75261,1
5573707468320374,1784188437823302657,1,82.78,0,74057,1
5573707743775812,1784188438098757985,0,144.65,38,75261,1
5573707743775812,1784188438098757985,1,83.05,0,74057,1
5573708018353979,1784188438373336142,0,146.45,38,75261,1
5573708018353979,1784188438373336142,1,82.78,0,74057,1
5573708292568951,1784188438647551144,0,141.00,38,75261,1
5573708292568951,1784188438647551144,1,82.78,0,74057,1
5573708567269307,1784188438922251580,0,141.27,38,75261,1
5573708567269307,1784188438922251580,1,82.78,0,74057,1
5573708842523577,1784188439197505750,0,142.80,38,75261,1
5573708842523577,1784188439197505750,1,82.54,0,74057,1
5573709127263848,1784188439482246041,0,147.37,38,75261,1
5573709127263848,1784188439482246041,1,82.87,0,74057,1
5573709405803440,1784188439760785523,0,139.75,37,75261,1
5573709405803440,1784188439760785523,1,82.87,0,74057,1
5573709683867697,1784188440038849650,0,141.87,38,75261,1
5573709683867697,1784188440038849650,1,82.87,0,74057,1
5573709966388014,1784188440321370227,0,143.73,37,75261,1
5573709966388014,1784188440321370227,1,82.87,0,74057,1
5573710248091900,1784188440603074083,0,126.14,41,75261,1
5573710248091900,1784188440603074083,1,82.87,0,74057,1
5573710525532084,1784188440880514277,0,142.20,34,75261,1
5573710525532084,1784188440880514277,1,82.87,0,74057,1
5573710805564489,1784188441160546372,0,144.00,34,75261,1
5573710805564489,1784188441160546372,1,82.78,0,74057,1
5573711086424925,1784188441441407168,0,134.30,53,75261,1
5573711086424925,1784188441441407168,1,82.78,0,74057,1
5573711365504111,1784188441720486384,0,137.03,32,75261,1
5573711365504111,1784188441720486384,1,82.78,0,74057,1
5573711640325656,1784188441995307989,0,124.28,40,75261,1
5573711640325656,1784188441995307989,1,82.78,0,74057,1
5573711917848549,1784188442272831182,0,145.52,32,75261,1
5573711917848549,1784188442272831182,1,82.46,0,74057,1
5573712198363679,1784188442553346052,0,171.34,38,75261,1
5573712198363679,1784188442553346052,1,82.78,0,74057,1
5573712475117301,1784188442830099544,0,130.65,31,75261,1
5573712475117301,1784188442830099544,1,82.78,0,74057,1
5573712749507051,1784188443104489914,0,140.40,32,75261,1
5573712749507051,1784188443104489914,1,82.87,0,74057,1
5573713025397313,1784188443380379146,0,140.08,37,75261,1
5573713025397313,1784188443380379146,1,82.78,0,74057,1
