monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5548199500000000,1784162930106777855,250000000,api,client_to_target,69229,1
5548199500000000,1784162930106803555,250000000,api,target_to_client,298,0
5548199500000000,1784162930106810225,250000000,kv,client_to_target,42408,0
5548199500000000,1784162930106815125,250000000,kv,target_to_client,84615025,1
5548199750000000,1784162930357400059,250000000,kv,client_to_target,4650,0
5548199750000000,1784162930357421409,250000000,kv,target_to_client,312935141,1
5548200000000000,1784162930607732246,250000000,kv,client_to_target,4650,0
5548200000000000,1784162930607764565,250000000,kv,target_to_client,312083438,1
5548200250000000,1784162930857946013,250000000,kv,client_to_target,4650,0
5548200250000000,1784162930857978303,250000000,kv,target_to_client,313590607,1
5548200500000000,1784162931108348609,250000000,kv,client_to_target,13206,0
5548200500000000,1784162931108379999,250000000,kv,target_to_client,249072283,1
5548200750000000,1784162931358519147,250000000,kv,client_to_target,4650,0
5548200750000000,1784162931358543457,250000000,kv,target_to_client,312935353,1
5548201000000000,1784162931609579987,250000000,api,target_to_client,3416,0
5548201000000000,1784162931609613447,250000000,kv,client_to_target,1674,0
5548201000000000,1784162931609620487,250000000,kv,target_to_client,103203193,1
5548201250000000,1784162931861395579,250000000,api,target_to_client,6354,0
5548201500000000,1784162932111736696,250000000,api,client_to_target,26016,1
5548201500000000,1784162932111775675,250000000,api,target_to_client,5969,0
5548201500000000,1784162932111782315,250000000,kv,client_to_target,558,0
5548201500000000,1784162932111786725,250000000,kv,target_to_client,108,1
5548201750000000,1784162932362057842,250000000,api,target_to_client,4645,0
5548201750000000,1784162932362082302,250000000,kv,client_to_target,9300,0
5548201750000000,1784162932362089942,250000000,kv,target_to_client,12584712,1
5548202000000000,1784162932613576047,250000000,api,target_to_client,6289,0
5548202250000000,1784162932863837135,250000000,api,client_to_target,43509,1
5548202250000000,1784162932863859544,250000000,api,target_to_client,4065,0
5548202250000000,1784162932863867984,250000000,kv,client_to_target,15810,0
5548202250000000,1784162932863873604,250000000,kv,target_to_client,3060,1
5548202500000000,1784162933114908084,250000000,api,target_to_client,6325,0
5548202750000000,1784162933365185401,250000000,api,client_to_target,40179,1
5548202750000000,1784162933365195681,250000000,api,target_to_client,4041,0
5548202750000000,1784162933365199451,250000000,kv,client_to_target,29202,0
5548202750000000,1784162933365202261,250000000,kv,target_to_client,10556312,1
5548203000000000,1784162933615478658,250000000,kv,client_to_target,4836,0
5548203000000000,1784162933615521318,250000000,kv,target_to_client,319161786,1
5548203250000000,1784162933866067322,250000000,kv,client_to_target,4464,0
5548203250000000,1784162933866104192,250000000,kv,target_to_client,312017866,1
5548203500000000,1784162934116686526,250000000,kv,client_to_target,4650,0
5548203500000000,1784162934116707876,250000000,kv,target_to_client,313262662,1
5548203750000000,1784162934367731956,250000000,api,target_to_client,4646,0
5548203750000000,1784162934367750316,250000000,kv,client_to_target,372,0
5548203750000000,1784162934367755106,250000000,kv,target_to_client,23527814,1
5548204000000000,1784162934618300670,250000000,api,target_to_client,6327,0
5548204250000000,1784162934869493858,250000000,api,target_to_client,6245,0
5548204500000000,1784162935119630677,250000000,api,client_to_target,40327,1
5548204500000000,1784162935119790915,250000000,api,target_to_client,4339,0
5548204500000000,1784162935119796275,250000000,kv,client_to_target,14508,0
5548204500000000,1784162935119799725,250000000,kv,target_to_client,2808,1
5548204750000000,1784162935370145402,250000000,api,target_to_client,6315,0
5548205000000000,1784162935620463368,250000000,api,client_to_target,29397,1
5548205000000000,1784162935620504198,250000000,api,target_to_client,4466,0
5548205000000000,1784162935620518718,250000000,kv,client_to_target,21762,0
5548205000000000,1784162935620523798,250000000,kv,target_to_client,35590154,1
5548205250000000,1784162935870783865,250000000,kv,client_to_target,4650,0
5548205250000000,1784162935870821445,250000000,kv,target_to_client,315818884,1
5548205500000000,1784162936121049912,250000000,kv,client_to_target,4650,0
5548205500000000,1784162936121086582,250000000,kv,target_to_client,312869764,1
5548205750000000,1784162936371928364,250000000,api,target_to_client,4344,0
5548205750000000,1784162936371950593,250000000,kv,client_to_target,744,0
5548205750000000,1784162936371958683,250000000,kv,target_to_client,51921146,1
5548206000000000,1784162936622423029,250000000,api,target_to_client,3173,0
5548206250000000,1784162936872737696,250000000,api,target_to_client,3186,0
5548206500000000,1784162937122963073,250000000,api,target_to_client,3157,0
5548206750000000,1784162937373352289,250000000,api,target_to_client,3177,0
5548207000000000,1784162937624294290,250000000,api,target_to_client,3414,0
5548207250000000,1784162937874546487,250000000,api,target_to_client,2614,0
5548207500000000,1784162938125547077,250000000,api,client_to_target,29545,1
5548207500000000,1784162938125567717,250000000,api,target_to_client,2593,0
5548207500000000,1784162938125575917,250000000,kv,client_to_target,10602,0
5548207500000000,1784162938125581727,250000000,kv,target_to_client,2052,1
5548207750000000,1784162938376330430,250000000,api,target_to_client,3199,0
5548208000000000,1784162938626876274,250000000,api,target_to_client,2914,0
5548208250000000,1784162938877260000,250000000,api,target_to_client,3128,0
5548208500000000,1784162939127500098,250000000,api,client_to_target,26035,1
