monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5561426500000000,1784176157124011216,250000000,api,client_to_target,61506,1
5561426500000000,1784176157124032056,250000000,api,target_to_client,298,0
5561428750000000,1784176159377411849,250000000,api,target_to_client,491,0
5561429750000000,1784176160380042028,250000000,api,target_to_client,241,0
5561431000000000,1784176161632424386,250000000,api,target_to_client,2683,0
5561431250000000,1784176161883522862,250000000,api,target_to_client,6346,0
5561431500000000,1784176162134210701,250000000,api,target_to_client,6163,0
5561431750000000,1784176162384863961,250000000,api,target_to_client,2444,0
5561434750000000,1784176165389463565,250000000,api,client_to_target,61802,1
5561434750000000,1784176165389485684,250000000,api,target_to_client,2251,0
5561435000000000,1784176165639702750,250000000,api,target_to_client,6375,0
5561435250000000,1784176165891339111,250000000,api,target_to_client,6350,0
5561435500000000,1784176166142876312,250000000,api,target_to_client,6323,0
5561435750000000,1784176166393007229,250000000,api,target_to_client,5205,0
5561436000000000,1784176166643380363,250000000,api,target_to_client,756,0
5561439000000000,1784176169648463670,250000000,api,client_to_target,48314,1
5561439000000000,1784176169648493289,250000000,api,target_to_client,298,0
5561440750000000,1784176171401383467,250000000,api,target_to_client,491,0
5561442000000000,1784176172654430806,250000000,api,target_to_client,4647,0
5561442250000000,1784176172906461741,250000000,api,target_to_client,6353,0
5561442500000000,1784176173156587958,250000000,api,target_to_client,6361,0
5561442750000000,1784176173406911543,250000000,api,target_to_client,6274,0
5561443000000000,1784176173657586135,250000000,api,target_to_client,3184,0
5561443250000000,1784176173907758991,250000000,api,target_to_client,3184,0
5561443500000000,1784176174159555629,250000000,api,target_to_client,3415,0
5561443750000000,1784176174409827895,250000000,api,target_to_client,2614,0
5561444750000000,1784176175411787057,250000000,api,client_to_target,26067,1
5561444750000000,1784176175411801907,250000000,api,target_to_client,640,0
5561445000000000,1784176175662357210,250000000,api,target_to_client,3182,0
5561445250000000,1784176175913636274,250000000,api,target_to_client,3186,0
5561445500000000,1784176176164433143,250000000,api,target_to_client,3167,0
5561445750000000,1784176176415460720,250000000,api,target_to_client,2634,0
5561446000000000,1784176176665750026,250000000,api,client_to_target,22543,1
5561446000000000,1784176176665785405,250000000,api,target_to_client,2836,0
5561446250000000,1784176176916516546,250000000,api,target_to_client,3168,0
5561446500000000,1784176177167217476,250000000,api,target_to_client,3185,0
5561446750000000,1784176177417809298,250000000,api,target_to_client,2916,0
5561447000000000,1784176177669077022,250000000,api,target_to_client,3180,0
5561447250000000,1784176177919349618,250000000,api,target_to_client,3187,0
5561447500000000,1784176178171409253,250000000,api,target_to_client,3140,0
5561447750000000,1784176178422341611,250000000,api,target_to_client,2149,0
5561449750000000,1784176180425833631,250000000,api,client_to_target,32174,1
5561449750000000,1784176180425866231,250000000,api,target_to_client,1859,0
5561449750000000,1784176180425871251,250000000,kv,client_to_target,11718,0
5561449750000000,1784176180425874811,250000000,kv,target_to_client,2268,1
5561450000000000,1784176180676706030,250000000,api,target_to_client,3193,0
5561450250000000,1784176180927498179,250000000,api,target_to_client,3167,0
5561450500000000,1784176181178507767,250000000,api,target_to_client,3063,0
5561450750000000,1784176181429448255,250000000,api,client_to_target,29564,1
5561450750000000,1784176181429462864,250000000,api,target_to_client,3355,0
5561450750000000,1784176181429467554,250000000,kv,client_to_target,10602,0
5561450750000000,1784176181429470964,250000000,kv,target_to_client,2052,1
5561451000000000,1784176181680321353,250000000,api,target_to_client,3179,0
5561451250000000,1784176181930641088,250000000,api,target_to_client,3186,0
5561451500000000,1784176182182006651,250000000,api,target_to_client,3157,0
5561451750000000,1784176182433638062,250000000,api,target_to_client,3172,0
5561452000000000,1784176182684278973,250000000,api,target_to_client,3198,0
5561452250000000,1784176182934570938,250000000,api,target_to_client,3163,0
5561452500000000,1784176183185181580,250000000,api,target_to_client,3155,0
5561452750000000,1784176183435610874,250000000,api,client_to_target,22511,1
5561452750000000,1784176183435659683,250000000,api,target_to_client,3265,0
5561452750000000,1784176183435667343,250000000,kv,client_to_target,8184,0
5561452750000000,1784176183435672633,250000000,kv,target_to_client,1584,1
5561453000000000,1784176183687239724,250000000,api,target_to_client,3198,0
5561453250000000,1784176183938052713,250000000,api,target_to_client,3168,0
5561453500000000,1784176184189058880,250000000,api,target_to_client,3194,0
5561453750000000,1784176184439649922,250000000,api,target_to_client,3166,0
5561454000000000,1784176184691209363,250000000,api,target_to_client,3117,0
5561454250000000,1784176184941508089,250000000,api,client_to_target,26035,1
5561454250000000,1784176184941521468,250000000,api,target_to_client,3297,0
5561454250000000,1784176184941526228,250000000,kv,client_to_target,9486,0
5561454250000000,1784176184941529668,250000000,kv,target_to_client,1836,1
5561454500000000,1784176185193128829,250000000,api,target_to_client,2954,0
5561454750000000,1784176185443718951,250000000,api,target_to_client,3182,0
5561455000000000,1784176185694254953,250000000,api,target_to_client,3116,0
