monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5554209204314885,1784168939559298228,0,92.06,0,75261,1
5554209204314885,1784168939559298228,1,83.66,0,74059,1
5554209485197851,1784168939840180084,0,92.06,0,75261,1
5554209485197851,1784168939840180084,1,83.57,0,74059,1
5554209827262932,1784168940182245355,0,397.35,31,75261,1
5554209827262932,1784168940182245355,1,83.57,0,74059,1
5554210107176678,1784168940462158641,0,390.99,100,75261,1
5554210107176678,1784168940462158641,1,83.89,0,74059,1
5554210387492049,1784168940742474222,0,386.94,94,75261,1
5554210387492049,1784168940742474222,1,83.57,0,74059,1
5554210668497244,1784168941023479137,0,396.01,100,75261,1
5554210668497244,1784168941023479137,1,83.57,0,74059,1
5554210946442340,1784168941301424213,0,397.12,100,75261,1
5554210946442340,1784168941301424213,1,83.48,0,74059,1
5554211223572974,1784168941578554837,0,367.35,100,75261,1
5554211223572974,1784168941578554837,1,83.29,0,74059,1
5554211507747826,1784168941862729689,0,397.35,100,75261,1
5554211507747826,1784168941862729689,1,83.57,0,74059,1
5554211786905379,1784168942141887242,0,393.89,100,75261,1
5554211786905379,1784168942141887242,1,83.57,0,74059,1
5554212064915874,1784168942419900347,0,366.37,96,75261,1
5554212064915874,1784168942419900347,1,83.57,0,74059,1
5554212347120836,1784168942702103069,0,147.82,32,75261,1
5554212347120836,1784168942702103069,1,83.57,0,74059,1
5554212626490167,1784168942981473660,0,148.90,38,75261,1
5554212626490167,1784168942981473660,1,83.38,0,74059,1
5554212932292759,1784168943287274842,0,94.60,14,75261,1
5554212932292759,1784168943287274842,1,83.38,0,74059,1
5554213217550380,1784168943572532093,0,94.00,15,75261,1
5554213217550380,1784168943572532093,1,83.38,0,74059,1
5554213498435396,1784168943853417259,0,409.31,100,75261,1
5554213498435396,1784168943853417259,1,83.57,0,74059,1
5554213777415261,1784168944132397074,0,379.40,100,75261,1
5554213777415261,1784168944132397074,1,83.57,0,74059,1
5554214055759852,1784168944410741965,0,364.95,99,75261,1
5554214055759852,1784168944410741965,1,83.38,0,74059,1
5554214336426260,1784168944691408133,0,384.90,98,75261,1
5554214336426260,1784168944691408133,1,83.57,0,74059,1
5554214658820223,1784168945013802066,0,340.44,100,75261,1
5554214658820223,1784168945013802066,1,83.57,0,74059,1
5554214935976376,1784168945290958259,0,368.49,100,75261,1
5554214935976376,1784168945290958259,1,83.57,0,74059,1
5554215213905472,1784168945568887705,0,367.56,100,75261,1
5554215213905472,1784168945568887705,1,83.57,0,74059,1
5554215494253333,1784168945849235596,0,425.66,100,75261,1
5554215494253333,1784168945849235596,1,83.57,0,74059,1
5554215775274128,1784168946130256651,0,343.08,100,75261,1
5554215775274128,1784168946130256651,1,83.48,0,74059,1
5554216054122334,1784168946409104197,0,376.42,100,75261,1
5554216054122334,1784168946409104197,1,83.57,0,74059,1
5554216331569165,1784168946686551018,0,371.32,100,75261,1
