monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5572662655135627,1784187393010120529,0,86.10,0,75261,1
5572662655135627,1784187393010120529,1,82.46,0,74059,1
5572662994761104,1784187393349743217,0,86.19,0,75261,1
5572662994761104,1784187393349743217,1,82.54,0,74059,1
5572663280165653,1784187393635149156,0,86.10,0,75261,1
5572663280165653,1784187393635149156,1,82.46,0,74059,1
5572663565073578,1784187393920057041,0,85.86,0,75261,1
5572663565073578,1784187393920057041,1,82.54,0,74059,1
5572663844384468,1784187394199366351,0,339.60,69,75261,1
5572663844384468,1784187394199366351,1,82.46,0,74059,1
5572664118576497,1784187394473558410,0,346.20,100,75261,1
5572664118576497,1784187394473558410,1,82.70,0,74059,1
5572664392426470,1784187394747408383,0,198.89,100,75261,1
5572664392426470,1784187394747408383,1,82.46,0,74059,1
5572664672376452,1784187395027358335,0,360.49,97,75261,1
5572664672376452,1784187395027358335,1,82.46,0,74059,1
5572664947080366,1784187395302062519,0,331.98,100,75261,1
5572664947080366,1784187395302062519,1,82.70,0,74059,1
5572665228825737,1784187395583807850,0,371.97,100,75261,1
5572665228825737,1784187395583807850,1,82.46,0,74059,1
5572665562877900,1784187395917860713,0,133.43,96,75261,1
5572665562877900,1784187395917860713,1,82.46,0,74059,1
5572665845798868,1784187396200781231,0,135.97,36,75261,1
5572665845798868,1784187396200781231,1,82.46,0,74059,1
5572666121957494,1784187396476940027,0,134.77,36,75261,1
5572666121957494,1784187396476940027,1,82.46,0,74059,1
5572666399909040,1784187396754891553,0,132.78,36,75261,1
5572666399909040,1784187396754891553,1,82.46,0,74059,1
5572666685778613,1784187397040761476,0,142.95,36,75261,1
5572666685778613,1784187397040761476,1,82.87,0,74059,1
5572666962703190,1784187397317685053,0,137.35,36,75261,1
5572666962703190,1784187397317685053,1,82.46,0,74059,1
5572667277137161,1784187397632118944,0,87.39,4,75261,1
5572667277137161,1784187397632118944,1,82.54,0,74059,1
5572667591257066,1784187397946238809,0,87.03,0,75261,1
5572667591257066,1784187397946238809,1,82.46,0,74059,1
5572667904339213,1784187398259320666,0,87.12,0,75261,1
5572667904339213,1784187398259320666,1,82.54,0,74059,1
5572668213768242,1784187398568749715,0,87.12,0,75261,1
5572668213768242,1784187398568749715,1,82.54,0,74059,1
5572668509135805,1784187398864117978,0,371.32,3,75261,1
5572668509135805,1784187398864117978,1,82.37,0,74059,1
5572668792603396,1784187399147586629,0,133.57,100,75261,1
5572668792603396,1784187399147586629,1,82.21,0,74059,1
5572669067824324,1784187399422806497,0,128.86,32,75261,1
5572669067824324,1784187399422806497,1,82.46,0,74059,1
5572669449132487,1784187399804114950,0,87.39,15,75261,1
5572669449132487,1784187399804114950,1,82.54,0,74059,1
5572669759200098,1784187400114181541,0,87.03,0,75261,1
5572669759200098,1784187400114181541,1,82.46,0,74059,1
5572670073526221,1784187400428508464,0,87.12,0,75261,1
5572670073526221,1784187400428508464,1,82.21,0,74059,1
5572670386224942,1784187400741206675,0,87.12,0,75261,1
5572670386224942,1784187400741206675,1,82.12,0,74059,1
5572670667300641,1784187401022282334,0,347.67,0,75261,1
5572670667300641,1784187401022282334,1,82.46,0,74059,1
5572671001855878,1784187401356837751,0,381.65,73,75261,1
5572671001855878,1784187401356837751,1,82.46,0,74059,1
5572671278437349,1784187401633419512,0,375.22,100,75261,1
5572671278437349,1784187401633419512,1,82.37,0,74059,1
5572671559777125,1784187401914761258,0,177.98,100,75261,1
5572671559777125,1784187401914761258,1,86.10,0,74059,1
5572671839028556,1784187402194010819,0,349.55,100,75261,1
5572671839028556,1784187402194010819,1,82.46,0,74059,1
5572672114219194,1784187402469201567,0,355.55,100,75261,1
5572672114219194,1784187402469201567,1,82.37,0,74059,1
5572672388616001,1784187402743598494,0,375.94,100,75261,1
5572672388616001,1784187402743598494,1,82.46,0,74059,1
5572672661477625,1784187403016460098,0,358.00,100,75261,1
5572672661477625,1784187403016460098,1,82.37,0,74059,1
5572672937988068,1784187403292970461,0,125.93,91,75261,1
5572672937988068,1784187403292970461,1,82.46,0,74059,1
5572673215525218,1784187403570508531,0,135.04,31,75261,1
5572673215525218,1784187403570508531,1,82.54,0,74059,1
5572673491048612,1784187403846031205,0,133.29,40,75261,1
5572673491048612,1784187403846031205,1,82.78,0,74059,1
5572673793880218,1784187404148862061,0,89.25,26,75261,1
5572673793880218,1784187404148862061,1,82.54,0,74059,1
5572674109641324,1784187404464622907,0,88.82,0,75261,1
5572674109641324,1784187404464622907,1,82.46,0,74059,1
5572674422130647,1784187404777112210,0,88.32,0,75261,1
5572674422130647,1784187404777112210,1,82.21,0,74059,1
5572674735536240,1784187405090517813,0,88.23,0,75261,1
5572674735536240,1784187405090517813,1,82.46,0,74059,1
5572675021188846,1784187405376170459,0,100.48,5,75261,1
5572675021188846,1784187405376170459,1,82.46,0,74059,1
5572675299561657,1784187405654543460,0,385.63,100,75261,1
5572675299561657,1784187405654543460,1,82.46,0,74059,1
5572675576981578,1784187405931963081,0,362.83,100,75261,1
5572675576981578,1784187405931963081,1,82.37,0,74059,1
5572675853095815,1784187406208077578,0,363.81,100,75261,1
5572675853095815,1784187406208077578,1,82.46,0,74059,1
5572676134305143,1784187406489286826,0,377.74,96,75261,1
5572676134305143,1784187406489286826,1,82.46,0,74059,1
5572676411970032,1784187406766951545,0,325.94,100,75261,1
5572676411970032,1784187406766951545,1,82.46,0,74059,1
5572676693495256,1784187407048476759,0,357.12,100,75261,1
5572676693495256,1784187407048476759,1,82.46,0,74059,1
5572676970301715,1784187407325283228,0,330.78,100,75261,1
5572676970301715,1784187407325283228,1,82.37,0,74059,1
5572677246379262,1784187407601360775,0,351.68,100,75261,1
5572677246379262,1784187407601360775,1,82.46,0,74059,1
5572677520951187,1784187407875932900,0,135.56,97,75261,1
5572677520951187,1784187407875932900,1,82.54,0,74059,1
5572677796882896,1784187408151865399,0,142.02,33,75261,1
5572677796882896,1784187408151865399,1,82.46,0,74059,1
5572678133629097,1784187408488611340,0,90.12,22,75261,1
