monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5563993000000000,1784178723736093773,250000000,api,client_to_target,138805,1
5563993000000000,1784178723736118412,250000000,api,target_to_client,596,0
5563993000000000,1784178723736122192,250000000,kv,client_to_target,19158,0
5563993000000000,1784178723736125212,250000000,kv,target_to_client,6395516,1
5563993250000000,1784178723986357809,250000000,kv,client_to_target,4650,0
5563993250000000,1784178723986383379,250000000,kv,target_to_client,309754544,1
5563993500000000,1784178724237328938,250000000,kv,client_to_target,4278,0
5563993500000000,1784178724237354018,250000000,kv,target_to_client,299828081,1
5563993750000000,1784178724487647014,250000000,api,target_to_client,491,0
5563993750000000,1784178724487677284,250000000,kv,client_to_target,54684,0
5563993750000000,1784178724487680854,250000000,kv,target_to_client,13429239,1
5563994000000000,1784178724737917201,250000000,kv,client_to_target,5952,0
5563994000000000,1784178724737955281,250000000,kv,target_to_client,315753388,1
5563994250000000,1784178724988758421,250000000,kv,client_to_target,4278,0
5563994250000000,1784178724988792291,250000000,kv,target_to_client,288228332,1
5563994500000000,1784178725239067358,250000000,kv,client_to_target,2418,0
5563994500000000,1784178725239084507,250000000,kv,target_to_client,170787214,1
5563994750000000,1784178725489349324,250000000,kv,client_to_target,2790,0
5563994750000000,1784178725489379704,250000000,kv,target_to_client,187040178,1
5563995000000000,1784178725739793509,250000000,kv,client_to_target,19344,0
5563995000000000,1784178725739816158,250000000,kv,target_to_client,230821589,1
5563995250000000,1784178725990023626,250000000,kv,client_to_target,4464,0
5563995250000000,1784178725990041335,250000000,kv,target_to_client,313459393,1
5563995500000000,1784178726240152774,250000000,kv,client_to_target,4650,0
5563995500000000,1784178726240170904,250000000,kv,target_to_client,311690116,1
5563995750000000,1784178726490209993,250000000,kv,client_to_target,3348,0
5563995750000000,1784178726490235542,250000000,kv,target_to_client,219775942,1
5563996000000000,1784178726741283940,250000000,kv,client_to_target,14880,0
5563996000000000,1784178726741308070,250000000,kv,target_to_client,281741826,1
5563996250000000,1784178726991971142,250000000,kv,client_to_target,4650,0
5563996250000000,1784178726991996622,250000000,kv,target_to_client,312607726,1
5563996500000000,1784178727243646054,250000000,api,target_to_client,5606,0
5563996500000000,1784178727243664854,250000000,kv,client_to_target,1674,0
5563996500000000,1784178727243669324,250000000,kv,target_to_client,121848344,1
5563996750000000,1784178727493889671,250000000,api,target_to_client,12709,0
5563997000000000,1784178727744518593,250000000,api,target_to_client,12096,0
5563997250000000,1784178727994669601,250000000,api,target_to_client,7803,0
5563997500000000,1784178728245701140,250000000,api,target_to_client,6329,0
5563997750000000,1784178728496603949,250000000,api,target_to_client,6377,0
5563998000000000,1784178728747143123,250000000,api,target_to_client,6377,0
5563998250000000,1784178728998055932,250000000,api,target_to_client,6340,0
5563998500000000,1784178729248485317,250000000,api,target_to_client,5279,0
5563998750000000,1784178729499025661,250000000,api,target_to_client,2152,0
5564010000000000,1784178740765543499,250000000,api,client_to_target,69668,1
5564010000000000,1784178740765560249,250000000,api,target_to_client,1280,0
5564010000000000,1784178740765564999,250000000,kv,client_to_target,25668,0
