monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5551563630826121,1784166293985808364,0,90.95,0,75261,1
5551563630826121,1784166293985808364,1,85.09,0,74057,1
5551563914708235,1784166294269690778,0,91.28,0,75261,1
5551563914708235,1784166294269690778,1,85.09,0,74057,1
5551564372355458,1784166294727337411,0,368.60,19,75261,1
5551564372355458,1784166294727337411,1,85.09,0,74057,1
5551564655989674,1784166295010973547,0,409.74,100,75261,1
5551564655989674,1784166295010973547,1,85.09,0,74057,1
5551564937900868,1784166295292882941,0,358.59,97,75261,1
5551564937900868,1784166295292882941,1,85.09,0,74057,1
5551565241273904,1784166295596255817,0,360.94,100,75261,1
5551565241273904,1784166295596255817,1,85.09,0,74057,1
5551565522536304,1784166295877518177,0,368.87,100,75261,1
5551565522536304,1784166295877518177,1,85.09,0,74057,1
5551565842422533,1784166296197406426,0,143.39,100,75261,1
5551565842422533,1784166296197406426,1,84.90,0,74057,1
5551566125233118,1784166296480215601,0,143.58,36,75261,1
5551566125233118,1784166296480215601,1,85.18,0,74057,1
5551566441442084,1784166296796423547,0,93.07,36,75261,1
5551566441442084,1784166296796423547,1,84.90,0,74057,1
5551566723665404,1784166297078647437,0,367.07,51,75261,1
5551566723665404,1784166297078647437,1,84.82,0,74057,1
5551567014976123,1784166297369957986,0,397.62,100,75261,1
5551567014976123,1784166297369957986,1,84.90,0,74057,1
5551567296283963,1784166297651265796,0,415.67,100,75261,1
5551567296283963,1784166297651265796,1,84.82,0,74057,1
5551567577454264,1784166297932436417,0,371.59,97,75261,1
5551567577454264,1784166297932436417,1,84.82,0,74057,1
5551567856218839,1784166298211201722,0,370.71,100,75261,1
5551567856218839,1784166298211201722,1,84.82,0,74057,1
5551568137079594,1784166298492062617,0,144.65,52,75261,1
5551568137079594,1784166298492062617,1,84.90,0,74057,1
5551568414109107,1784166298769092270,0,140.67,35,75261,1
5551568414109107,1784166298769092270,1,84.90,0,74057,1
5551568697868212,1784166299052850085,0,147.05,36,75261,1
5551568697868212,1784166299052850085,1,84.90,0,74057,1
5551568976726276,1784166299331708489,0,143.12,35,75261,1
5551568976726276,1784166299331708489,1,84.58,0,74057,1
5551569262339082,1784166299617321335,0,144.93,35,75261,1
5551569262339082,1784166299617321335,1,84.58,0,74057,1
5551569543208777,1784166299898191020,0,139.48,35,75261,1
5551569543208777,1784166299898191020,1,84.58,0,74057,1
5551569845312446,1784166300200294309,0,94.51,17,75261,1
5551569845312446,1784166300200294309,1,84.58,0,74057,1
5551570132619205,1784166300487601088,0,410.01,12,75261,1
5551570132619205,1784166300487601088,1,84.49,0,74057,1
5551570415354130,1784166300770336353,0,403.98,100,75261,1
5551570415354130,1784166300770336353,1,84.49,0,74057,1
5551570696883347,1784166301051865240,0,369.79,100,75261,1
5551570696883347,1784166301051865240,1,84.49,0,74057,1
5551570975692343,1784166301330674126,0,316.80,99,75261,1
5551570975692343,1784166301330674126,1,84.49,0,74057,1
