monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5560406000000000,1784175136680189765,250000000,api,client_to_target,125485,1
5560406000000000,1784175136680218704,250000000,api,target_to_client,596,0
5560408000000000,1784175138683227964,250000000,api,target_to_client,491,0
5560409250000000,1784175139934723353,250000000,api,target_to_client,241,0
5560411250000000,1784175141938038170,250000000,api,target_to_client,241,0
5560412500000000,1784175143190510479,250000000,api,target_to_client,734,0
5560413500000000,1784175144192619603,250000000,api,target_to_client,978,0
5560414750000000,1784175145444473958,250000000,api,target_to_client,726,0
5560415750000000,1784175146446276745,250000000,api,target_to_client,6121,0
5560416000000000,1784175146696949557,250000000,api,target_to_client,12642,0
5560416250000000,1784175146948031984,250000000,api,target_to_client,10348,0
5560416500000000,1784175147199078642,250000000,api,target_to_client,4371,0
5560416750000000,1784175147450139840,250000000,api,target_to_client,3166,0
5560417000000000,1784175147700336487,250000000,api,target_to_client,3194,0
5560417250000000,1784175147951306856,250000000,api,target_to_client,3174,0
5560417500000000,1784175148201608411,250000000,api,target_to_client,3160,0
5560417750000000,1784175148452414772,250000000,api,target_to_client,2615,0
5560423750000000,1784175154463552460,250000000,api,client_to_target,143,1
5560424000000000,1784175154714302411,250000000,api,client_to_target,59831,1
5560424000000000,1784175154714323700,250000000,api,target_to_client,298,0
5560424250000000,1784175154966403328,250000000,api,client_to_target,43560,1
5560424250000000,1784175154966433667,250000000,api,target_to_client,5286,0
5560424500000000,1784175155217526215,250000000,api,target_to_client,8346,0
5560424750000000,1784175155468138537,250000000,api,client_to_target,22543,1
5560424750000000,1784175155468151827,250000000,api,target_to_client,10137,0
5560425000000000,1784175155719251355,250000000,api,target_to_client,11692,0
5560425250000000,1784175155969609180,250000000,api,target_to_client,9913,0
5560425500000000,1784175156220445680,250000000,api,target_to_client,6338,0
5560425750000000,1784175156471486398,250000000,api,target_to_client,5319,0
5560426000000000,1784175156722664965,250000000,api,target_to_client,3116,0
5560435000000000,1784175165738886806,250000000,api,client_to_target,27736,1
5560435000000000,1784175165738909996,250000000,api,target_to_client,1122,0
5560435000000000,1784175165738914356,250000000,kv,client_to_target,10044,0
5560435000000000,1784175165738917196,250000000,kv,target_to_client,1944,1
5560435250000000,1784175165990492488,250000000,api,target_to_client,3203,0
5560435500000000,1784175166241566246,250000000,api,target_to_client,2930,0
5560435750000000,1784175166492255098,250000000,api,target_to_client,3169,0
5560436000000000,1784175166743685662,250000000,api,target_to_client,3175,0
5560436250000000,1784175166994469643,250000000,api,target_to_client,3193,0
5560436500000000,1784175167245541530,250000000,api,target_to_client,3176,0
5560436750000000,1784175167496636878,250000000,api,target_to_client,2907,0
5560437000000000,1784175167747900113,250000000,api,client_to_target,43528,1
5560437000000000,1784175167747921113,250000000,api,target_to_client,2561,0
5560437000000000,1784175167747929023,250000000,kv,client_to_target,15810,0
5560437000000000,1784175167747934453,250000000,kv,target_to_client,3060,1
5560437250000000,1784175167998790283,250000000,api,target_to_client,3187,0
5560437500000000,1784175168250220367,250000000,api,target_to_client,3171,0
5560437750000000,1784175168500330125,250000000,api,target_to_client,3142,0
5560438000000000,1784175168750976557,250000000,api,client_to_target,22511,1
5560438000000000,1784175168750997167,250000000,api,target_to_client,3054,0
5560438000000000,1784175168751002097,250000000,kv,client_to_target,8184,0
5560438000000000,1784175168751005537,250000000,kv,target_to_client,1584,1
5560438250000000,1784175169001864087,250000000,api,target_to_client,3201,0
5560438500000000,1784175169252963694,250000000,api,target_to_client,3168,0
5560438750000000,1784175169504133481,250000000,api,target_to_client,3192,0
5560439000000000,1784175169756158738,250000000,api,target_to_client,3175,0
5560439250000000,1784175170006855190,250000000,api,target_to_client,3087,0
5560439500000000,1784175170258134705,250000000,api,client_to_target,32174,1
5560439500000000,1784175170258164905,250000000,api,target_to_client,3079,0
5560439500000000,1784175170258172365,250000000,kv,client_to_target,11718,0
5560439500000000,1784175170258177655,250000000,kv,target_to_client,2268,1
5560439750000000,1784175170509844507,250000000,api,target_to_client,3193,0
5560440000000000,1784175170761067453,250000000,api,target_to_client,3167,0
5560440250000000,1784175171012390198,250000000,api,target_to_client,3063,0
5560440500000000,1784175171262875872,250000000,api,target_to_client,756,0
