monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5553079750000000,1784167810385061775,250000000,api,client_to_target,79174,1
5553079750000000,1784167810385099015,250000000,api,target_to_client,298,0
5553084000000000,1784167814642331368,250000000,api,target_to_client,491,0
5553085250000000,1784167815894293474,250000000,api,target_to_client,241,0
5553086750000000,1784167817397027687,250000000,api,target_to_client,3669,0
5553087000000000,1784167817647600244,250000000,api,target_to_client,6570,0
5553087250000000,1784167817898639857,250000000,api,target_to_client,5509,0
5553089500000000,1784167820152728385,250000000,api,client_to_target,57977,1
5553089500000000,1784167820152764225,250000000,api,target_to_client,298,0
5553092000000000,1784167822657187946,250000000,api,target_to_client,491,0
5553092750000000,1784167823408118941,250000000,api,target_to_client,241,0
5553093750000000,1784167824410352757,250000000,api,target_to_client,6610,0
5553094000000000,1784167824660652659,250000000,api,target_to_client,6302,0
5553094250000000,1784167824912722913,250000000,api,target_to_client,5316,0
5553094500000000,1784167825164025655,250000000,api,target_to_client,2152,0
5553095750000000,1784167826417021549,250000000,api,client_to_target,43380,1
5553095750000000,1784167826417078708,250000000,api,target_to_client,149,0
5553095750000000,1784167826417086758,250000000,kv,client_to_target,186,0
5553095750000000,1784167826417092648,250000000,kv,target_to_client,36,1
5553096000000000,1784167826667563548,250000000,api,target_to_client,3429,0
5553096250000000,1784167826918533783,250000000,api,target_to_client,3420,0
5553096500000000,1784167827168871955,250000000,api,target_to_client,3142,0
5553096750000000,1784167827419344525,250000000,api,client_to_target,35730,1
5553096750000000,1784167827419365315,250000000,api,target_to_client,3300,0
5553096750000000,1784167827419373105,250000000,kv,client_to_target,186,0
5553096750000000,1784167827419378485,250000000,kv,target_to_client,36,1
5553097000000000,1784167827669636977,250000000,api,target_to_client,3194,0
5553097250000000,1784167827920787510,250000000,api,target_to_client,3181,0
5553097500000000,1784167828171440118,250000000,api,client_to_target,32026,1
5553097500000000,1784167828171459948,250000000,api,target_to_client,3599,0
5553097750000000,1784167828422307864,250000000,api,target_to_client,3086,0
5553097750000000,1784167828422321784,250000000,kv,client_to_target,186,0
5553097750000000,1784167828422325534,250000000,kv,target_to_client,36,1
5553098000000000,1784167828673993372,250000000,api,target_to_client,3173,0
5553098250000000,1784167828925290494,250000000,api,target_to_client,3436,0
5553098500000000,1784167829175556686,250000000,api,target_to_client,3170,0
5553098750000000,1784167829425843678,250000000,api,target_to_client,3402,0
5553099000000000,1784167829676713114,250000000,api,target_to_client,3193,0
5553099250000000,1784167829926891397,250000000,api,target_to_client,3174,0
5553099500000000,1784167830177309078,250000000,api,target_to_client,3336,0
5553099750000000,1784167830427614010,250000000,api,client_to_target,25887,1
5553099750000000,1784167830427629769,250000000,api,target_to_client,3313,0
5553099750000000,1784167830427634549,250000000,kv,client_to_target,186,0
5553099750000000,1784167830427637869,250000000,kv,target_to_client,36,1
5553100000000000,1784167830678390527,250000000,api,target_to_client,3191,0
5553100250000000,1784167830928958236,250000000,api,target_to_client,3422,0
5553100500000000,1784167831180564514,250000000,api,target_to_client,3357,0
