monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5554488802997136,1784169219157980309,0,90.02,0,75261,1
5554488802997136,1784169219157980309,1,83.14,0,74059,1
5554489087211521,1784169219442193404,0,90.02,0,75261,1
5554489087211521,1784169219442193404,1,83.05,0,74059,1
5554489368591991,1784169219723574224,0,397.35,0,75261,1
5554489368591991,1784169219723574224,1,82.97,0,74059,1
5554489651323039,1784169220006304942,0,395.83,93,75261,1
5554489651323039,1784169220006304942,1,82.97,0,74059,1
5554489947957758,1784169220302939651,0,373.11,100,75261,1
5554489947957758,1784169220302939651,1,83.29,0,74059,1
5554490227039470,1784169220582021123,0,369.19,95,75261,1
5554490227039470,1784169220582021123,1,82.97,0,74059,1
5554490506950214,1784169220861932627,0,364.35,100,75261,1
5554490506950214,1784169220861932627,1,82.70,0,74059,1
5554490817229186,1784169221172211389,0,139.48,92,75261,1
5554490817229186,1784169221172211389,1,83.05,0,74059,1
5554491097993882,1784169221452975715,0,137.35,36,75261,1
5554491097993882,1784169221452975715,1,82.78,0,74059,1
5554491378359402,1784169221733341435,0,143.25,36,75261,1
5554491378359402,1784169221733341435,1,82.70,0,74059,1
5554491655849098,1784169222010831131,0,144.00,36,75261,1
5554491655849098,1784169222010831131,1,84.25,0,74059,1
5554491936703374,1784169222291685387,0,144.32,36,75261,1
5554491936703374,1784169222291685387,1,82.78,0,74059,1
5554492216360730,1784169222571342773,0,144.78,36,75261,1
5554492216360730,1784169222571342773,1,83.14,0,74059,1
5554492498455834,1784169222853437977,0,143.25,36,75261,1
5554492498455834,1784169222853437977,1,82.70,0,74059,1
5554492800562762,1784169223155544205,0,91.45,25,75261,1
5554492800562762,1784169223155544205,1,82.70,0,74059,1
5554493087724329,1784169223442706452,0,164.64,13,75261,1
5554493087724329,1784169223442706452,1,83.05,0,74059,1
5554493365533922,1784169223720515785,0,399.14,100,75261,1
5554493365533922,1784169223720515785,1,82.97,0,74059,1
5554493643950300,1784169223998932883,0,388.54,100,75261,1
5554493643950300,1784169223998932883,1,82.70,0,74059,1
5554493926594669,1784169224281576852,0,364.95,99,75261,1
5554493926594669,1784169224281576852,1,82.70,0,74059,1
5554494204848538,1784169224559830621,0,378.27,96,75261,1
5554494204848538,1784169224559830621,1,82.78,0,74059,1
5554494482858620,1784169224837840153,0,356.75,100,75261,1
5554494482858620,1784169224837840153,1,82.97,0,74059,1
5554494762027331,1784169225117008824,0,363.38,100,75261,1
5554494762027331,1784169225117008824,1,82.97,0,74059,1
5554495074248835,1784169225429230858,0,166.26,100,75261,1
5554495074248835,1784169225429230858,1,82.97,0,74059,1
5554495347136415,1784169225702118018,0,140.86,35,75261,1
5554495347136415,1784169225702118018,1,82.78,0,74059,1
5554495684570655,1784169226039552788,0,93.07,19,75261,1
5554495684570655,1784169226039552788,1,83.14,0,74059,1
5554495967293453,1784169226322274966,0,92.15,0,75261,1
5554495967293453,1784169226322274966,1,82.78,0,74059,1
5554496296993955,1784169226651976328,0,390.66,33,75261,1
