monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5557740750000000,1784172471545036681,250000000,api,client_to_target,100286,1
5557740750000000,1784172471545086570,250000000,api,target_to_client,596,0
5557740750000000,1784172471545095910,250000000,kv,client_to_target,23250,0
5557740750000000,1784172471545103010,250000000,kv,target_to_client,5675412,1
5557741000000000,1784172471795760732,250000000,kv,client_to_target,372,0
5557741000000000,1784172471795787662,250000000,kv,target_to_client,31291252,1
5557741250000000,1784172472045961309,250000000,kv,client_to_target,558,0
5557741250000000,1784172472046006228,250000000,kv,target_to_client,31326369,1
5557741500000000,1784172472296337334,250000000,kv,client_to_target,372,0
5557741500000000,1784172472296363003,250000000,kv,target_to_client,31195208,1
5557741750000000,1784172472547307673,250000000,kv,client_to_target,558,0
5557741750000000,1784172472547331133,250000000,kv,target_to_client,31195191,1
5557742000000000,1784172472797451920,250000000,kv,client_to_target,372,0
5557742000000000,1784172472797476340,250000000,kv,target_to_client,31260956,1
5557742250000000,1784172473048395499,250000000,kv,client_to_target,558,0
5557742250000000,1784172473048418219,250000000,kv,target_to_client,31326316,1
5557742500000000,1784172473299133361,250000000,kv,client_to_target,372,0
5557742500000000,1784172473299153991,250000000,kv,target_to_client,31129672,1
5557742750000000,1784172473550318128,250000000,kv,client_to_target,558,0
5557742750000000,1784172473550339588,250000000,kv,target_to_client,31326316,1
5557743000000000,1784172473800382066,250000000,kv,client_to_target,372,0
5557743000000000,1784172473800403166,250000000,kv,target_to_client,31326068,1
5557743250000000,1784172474050636031,250000000,kv,client_to_target,558,0
5557743250000000,1784172474050658491,250000000,kv,target_to_client,31129708,1
5557743500000000,1784172474301660229,250000000,kv,client_to_target,372,0
5557743500000000,1784172474301683068,250000000,kv,target_to_client,31326280,1
5557743750000000,1784172474552397028,250000000,kv,client_to_target,558,0
5557743750000000,1784172474552419688,250000000,kv,target_to_client,31195350,1
5557744000000000,1784172474802521584,250000000,kv,client_to_target,372,0
5557744000000000,1784172474802543313,250000000,kv,target_to_client,31326280,1
5557744250000000,1784172475053611230,250000000,kv,client_to_target,558,0
5557744250000000,1784172475053631800,250000000,kv,target_to_client,31260727,1
5557744500000000,1784172475303692256,250000000,kv,client_to_target,372,0
5557744500000000,1784172475303712446,250000000,kv,target_to_client,31195261,1
5557744750000000,1784172475553819051,250000000,kv,client_to_target,558,0
5557744750000000,1784172475553839121,250000000,kv,target_to_client,31260674,1
5557745000000000,1784172475803930237,250000000,kv,client_to_target,372,0
5557745000000000,1784172475803955796,250000000,kv,target_to_client,31195208,1
5557745250000000,1784172476054842175,250000000,kv,client_to_target,558,0
5557745250000000,1784172476054863875,250000000,kv,target_to_client,31326422,1
5557745500000000,1784172476305124319,250000000,kv,client_to_target,372,0
5557745500000000,1784172476305145108,250000000,kv,target_to_client,31260744,1
5557745750000000,1784172476556065466,250000000,kv,client_to_target,558,0
5557745750000000,1784172476556090146,250000000,kv,target_to_client,31260780,1
5557746000000000,1784172476807024744,250000000,kv,client_to_target,372,0
5557746000000000,1784172476807047144,250000000,kv,target_to_client,31129566,1
5557746250000000,1784172477057770604,250000000,kv,client_to_target,558,0
5557746250000000,1784172477057793734,250000000,kv,target_to_client,31326422,1
5557746500000000,1784172477308490684,250000000,kv,client_to_target,372,0
5557746500000000,1784172477308512334,250000000,kv,target_to_client,31260479,1
5557746750000000,1784172477558642099,250000000,kv,client_to_target,558,0
5557746750000000,1784172477558659689,250000000,kv,target_to_client,31260939,1
5557747000000000,1784172477809749155,250000000,api,target_to_client,491,0
5557747000000000,1784172477809781205,250000000,kv,client_to_target,28272,0
5557747000000000,1784172477809789485,250000000,kv,target_to_client,16913972,1
5557747250000000,1784172478059979330,250000000,kv,client_to_target,9114,0
5557747250000000,1784172478060008829,250000000,kv,target_to_client,31131364,1
5557747500000000,1784172478310581821,250000000,kv,client_to_target,372,0
5557747500000000,1784172478310604030,250000000,kv,target_to_client,31260744,1
5557747750000000,1784172478561632757,250000000,kv,client_to_target,558,0
5557747750000000,1784172478561652547,250000000,kv,target_to_client,31129708,1
5557748000000000,1784172478812603985,250000000,kv,client_to_target,372,0
5557748000000000,1784172478812623695,250000000,kv,target_to_client,31260744,1
5557748250000000,1784172479062767630,250000000,kv,client_to_target,558,0
5557748250000000,1784172479062787930,250000000,kv,target_to_client,31326316,1
5557748500000000,1784172479313825037,250000000,kv,client_to_target,372,0
5557748500000000,1784172479313847377,250000000,kv,target_to_client,31260744,1
5557748750000000,1784172479564370678,250000000,kv,client_to_target,558,0
5557748750000000,1784172479564396178,250000000,kv,target_to_client,31260727,1
5557749000000000,1784172479814690032,250000000,kv,client_to_target,372,0
5557749000000000,1784172479814711942,250000000,kv,target_to_client,31195261,1
5557749250000000,1784172480065605976,250000000,kv,client_to_target,558,0
5557749250000000,1784172480065629565,250000000,kv,target_to_client,31260780,1
