connection_id,route,start_ns,end_ns,client_to_target_bytes,target_to_client_bytes
406216b5c91ca203,kv,5571274917983575,5571274919255230,0,0
40ae4332a51d510a,api,5571274918361051,5571274919322930,0,0
37080a5b626e6029,api,5571294096346100,5571298583727030,24901,21065
994f945cf096c335,api,5571294096746496,5571298890676997,22395,24744
65c01365243ace77,api,5571306178324515,5571310326099153,27620,8389
a1feef1ee9d22f85,api,5571306927797753,5571310658091345,25919,12077
0b8a9dbac28ece8b,api,5571318347320256,5571320468433519,24869,27425
8a9e4d1195ba702a,api,5571320471510863,5571322586883223,22363,27425
2cacba6ff3766f0e,api,5571322588367846,5571323498880348,27588,11828
41180d9477e905e2,api,5571323500563108,5571324405595065,25887,11828
