monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5550958928390068,1784165689283373851,0,90.44,0,75261,1
5550958928390068,1784165689283373851,1,83.38,0,74057,1
5550959807184589,1784165690162167142,0,90.02,0,75261,1
5550959807184589,1784165690162167142,1,83.38,0,74057,1
5550960096369663,1784165690451351536,0,393.38,94,75261,1
5550960096369663,1784165690451351536,1,83.57,0,74057,1
5550960376688086,1784165690731669949,0,416.70,100,75261,1
5550960376688086,1784165690731669949,1,83.29,0,74057,1
5550961407673433,1784165691762655466,0,368.60,100,75261,1
5550961407673433,1784165691762655466,1,83.29,0,74057,1
5550961689411282,1784165692044393235,0,364.35,100,75261,1
5550961689411282,1784165692044393235,1,83.29,0,74057,1
5550961972671035,1784165692327652878,0,354.03,100,75261,1
5550961972671035,1784165692327652878,1,83.29,0,74057,1
5550962257132727,1784165692612114590,0,364.58,100,75261,1
5550962257132727,1784165692612114590,1,83.29,0,74057,1
5550962538127133,1784165692893109356,0,145.85,53,75261,1
5550962538127133,1784165692893109356,1,83.38,0,74057,1
5550962822883062,1784165693177865245,0,146.12,38,75261,1
5550962822883062,1784165693177865245,1,83.38,0,74057,1
5550963130501692,1784165693485483155,0,95.37,22,75261,1
5550963130501692,1784165693485483155,1,83.38,0,74057,1
5550963418914694,1784165693773896557,0,395.83,5,75261,1
5550963418914694,1784165693773896557,1,83.57,0,74057,1
5550964214790815,1784165694569772948,0,297.18,100,75261,1
5550964214790815,1784165694569772948,1,83.38,0,74057,1
5550964493894570,1784165694848876533,0,336.80,100,75261,1
5550964493894570,1784165694848876533,1,83.48,0,74057,1
5550964773373711,1784165695128355574,0,365.55,100,75261,1
5550964773373711,1784165695128355574,1,83.29,0,74057,1
5550965113874192,1784165695468856025,0,361.26,100,75261,1
5550965113874192,1784165695468856025,1,83.57,0,74057,1
5550965393865918,1784165695748848121,0,393.57,100,75261,1
5550965393865918,1784165695748848121,1,83.48,0,74057,1
5550966185330373,1784165696540312506,0,344.95,100,75261,1
5550966185330373,1784165696540312506,1,83.21,0,74057,1
5550966471660106,1784165696826641989,0,354.95,100,75261,1
5550966471660106,1784165696826641989,1,83.29,0,74057,1
5550966758326636,1784165697113308469,0,141.45,88,75261,1
5550966758326636,1784165697113308469,1,83.57,0,74057,1
5550967038271603,1784165697393253946,0,151.29,38,75261,1
5550967038271603,1784165697393253946,1,83.66,0,74057,1
5550967330834943,1784165697685817126,0,145.52,40,75261,1
5550967330834943,1784165697685817126,1,83.38,0,74057,1
5550967612942718,1784165697967925021,0,149.17,40,75261,1
5550967612942718,1784165697967925021,1,83.38,0,74057,1
5550967897645478,1784165698252627331,0,93.68,28,75261,1
5550967897645478,1784165698252627331,1,83.38,0,74057,1
5550968174366547,1784165698529348620,0,410.67,7,75261,1
5550968174366547,1784165698529348620,1,83.57,0,74057,1
5550968452653920,1784165698807635793,0,407.62,100,75261,1
5550968452653920,1784165698807635793,1,83.29,0,74057,1
5550968733937894,1784165699088919767,0,362.46,100,75261,1
5550968733937894,1784165699088919767,1,83.57,0,74057,1
5550969016447415,1784165699371429268,0,380.39,97,75261,1
5550969016447415,1784165699371429268,1,83.57,0,74057,1
