monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5567844000000000,1784182574795178386,250000000,api,client_to_target,29397,1
5567844000000000,1784182574795224075,250000000,api,target_to_client,149,0
5567844000000000,1784182574795233755,250000000,kv,client_to_target,12834,0
5567844000000000,1784182574795241885,250000000,kv,target_to_client,2484,1
5567844250000000,1784182575045645350,250000000,kv,client_to_target,8928,0
5567844250000000,1784182575045670170,250000000,kv,target_to_client,30606987,1
5567844500000000,1784182575296120134,250000000,kv,client_to_target,372,0
5567844500000000,1784182575296149124,250000000,kv,target_to_client,31260638,1
5567844750000000,1784182575546601918,250000000,kv,client_to_target,558,0
5567844750000000,1784182575546633548,250000000,kv,target_to_client,31326475,1
5567845000000000,1784182575796885115,250000000,kv,client_to_target,372,0
5567845000000000,1784182575796929344,250000000,kv,target_to_client,31260744,1
5567845250000000,1784182576047608056,250000000,kv,client_to_target,558,0
5567845250000000,1784182576047632596,250000000,kv,target_to_client,31194873,1
5567845500000000,1784182576297759664,250000000,kv,client_to_target,372,0
5567845500000000,1784182576297781224,250000000,kv,target_to_client,31260797,1
5567845750000000,1784182576548601494,250000000,kv,client_to_target,558,0
5567845750000000,1784182576548620564,250000000,kv,target_to_client,31326369,1
5567846000000000,1784182576798656513,250000000,kv,client_to_target,372,0
5567846000000000,1784182576798679033,250000000,kv,target_to_client,31129672,1
5567846250000000,1784182577048714513,250000000,kv,client_to_target,558,0
5567846250000000,1784182577048735232,250000000,kv,target_to_client,31326263,1
5567846500000000,1784182577298811871,250000000,kv,client_to_target,372,0
5567846500000000,1784182577298823011,250000000,kv,target_to_client,31195208,1
5567846750000000,1784182577548906840,250000000,kv,client_to_target,558,0
5567846750000000,1784182577548919820,250000000,kv,target_to_client,31260780,1
5567847000000000,1784182577798963699,250000000,kv,client_to_target,372,0
5567847000000000,1784182577798973699,250000000,kv,target_to_client,31260797,1
5567847250000000,1784182578049915288,250000000,kv,client_to_target,558,0
5567847250000000,1784182578049924798,250000000,kv,target_to_client,31326475,1
5567847500000000,1784182578300568400,250000000,kv,client_to_target,372,0
5567847500000000,1784182578300577900,250000000,kv,target_to_client,31194996,1
5567847750000000,1784182578551040384,250000000,kv,client_to_target,558,0
5567847750000000,1784182578551049664,250000000,kv,target_to_client,31260833,1
5567848000000000,1784182578801531728,250000000,kv,client_to_target,372,0
5567848000000000,1784182578801540568,250000000,kv,target_to_client,31195155,1
5567848250000000,1784182579052179060,250000000,kv,client_to_target,558,0
5567848250000000,1784182579052188870,250000000,kv,target_to_client,31326528,1
5567848500000000,1784182579302471437,250000000,kv,client_to_target,372,0
5567848500000000,1784182579302482337,250000000,kv,target_to_client,31195208,1
5567848750000000,1784182579552616905,250000000,kv,client_to_target,558,0
5567848750000000,1784182579552625805,250000000,kv,target_to_client,31195032,1
5567849000000000,1784182579802949551,250000000,kv,client_to_target,372,0
5567849000000000,1784182579802958621,250000000,kv,target_to_client,31326333,1
5567849250000000,1784182580053999248,250000000,kv,client_to_target,558,0
5567849250000000,1784182580054008698,250000000,kv,target_to_client,31195403,1
5567849500000000,1784182580304708150,250000000,kv,client_to_target,372,0
5567849500000000,1784182580304718860,250000000,kv,target_to_client,31326280,1
5567849750000000,1784182580554942817,250000000,kv,client_to_target,372,0
5567849750000000,1784182580554964746,250000000,kv,target_to_client,29245618,1
5567850000000000,1784182580805294263,250000000,api,target_to_client,3183,0
5567850250000000,1784182581055571449,250000000,api,target_to_client,3165,0
5567850500000000,1784182581305949344,250000000,api,target_to_client,3175,0
5567850750000000,1784182581556857383,250000000,api,target_to_client,3402,0
5567851000000000,1784182581807626224,250000000,api,target_to_client,3193,0
5567851250000000,1784182582059736259,250000000,api,target_to_client,3111,0
5567851500000000,1784182582310184233,250000000,api,target_to_client,1687,0
5567853500000000,1784182584313426064,250000000,api,client_to_target,29545,1
5567853500000000,1784182584313452304,250000000,api,target_to_client,2348,0
5567853500000000,1784182584313456243,250000000,kv,client_to_target,10602,0
5567853500000000,1784182584313458843,250000000,kv,target_to_client,2052,1
5567853750000000,1784182584563876728,250000000,api,target_to_client,3444,0
5567854000000000,1784182584815749516,250000000,api,target_to_client,3160,0
5567854250000000,1784182585066847663,250000000,api,target_to_client,3114,0
5567854500000000,1784182585317222588,250000000,api,target_to_client,1687,0
5567856500000000,1784182587320775885,250000000,api,client_to_target,24850,1
5567856500000000,1784182587320786855,250000000,api,target_to_client,149,0
5567856500000000,1784182587320790785,250000000,kv,client_to_target,18042,0
5567856500000000,1784182587320793595,250000000,kv,target_to_client,3541959,1
5567856750000000,1784182587571245149,250000000,kv,client_to_target,372,0
5567856750000000,1784182587571256389,250000000,kv,target_to_client,31260956,1
5567857000000000,1784182587822282846,250000000,kv,client_to_target,558,0
5567857000000000,1784182587822295066,250000000,kv,target_to_client,31260939,1
5567857250000000,1784182588072878189,250000000,kv,client_to_target,372,0
5567857250000000,1784182588072888499,250000000,kv,target_to_client,31195208,1
5567857500000000,1784182588323571091,250000000,kv,client_to_target,558,0
5567857500000000,1784182588323591711,250000000,kv,target_to_client,31391852,1
5567857750000000,1784182588574403281,250000000,kv,client_to_target,372,0
5567857750000000,1784182588574417281,250000000,kv,target_to_client,31195208,1
5567858000000000,1784182588824947144,250000000,kv,client_to_target,558,0
5567858000000000,1784182588824961784,250000000,kv,target_to_client,31195244,1
5567858250000000,1784182589075256490,250000000,kv,client_to_target,372,0
5567858250000000,1784182589075271380,250000000,kv,target_to_client,31260744,1
5567858500000000,1784182589325627486,250000000,kv,client_to_target,558,0
5567858500000000,1784182589325642926,250000000,kv,target_to_client,31260515,1
5567858750000000,1784182589575809783,250000000,kv,client_to_target,372,0
5567858750000000,1784182589575823093,250000000,kv,target_to_client,31195261,1
5567859000000000,1784182589826326367,250000000,kv,client_to_target,558,0
5567859000000000,1784182589826348567,250000000,kv,target_to_client,31326528,1
5567859250000000,1784182590076928540,250000000,kv,client_to_target,372,0
5567859250000000,1784182590076940680,250000000,kv,target_to_client,31260744,1
5567859500000000,1784182590327188107,250000000,kv,client_to_target,558,0
5567859500000000,1784182590327197587,250000000,kv,target_to_client,31260568,1
