monotonic_ns,wall_ns,interval_ns,route,direction,bytes,billed
5556410000000000,1784171140644779030,250000000,api,client_to_target,132334,1
5556410000000000,1784171140644800160,250000000,api,target_to_client,596,0
5556410000000000,1784171140644804910,250000000,kv,client_to_target,21576,0
5556410000000000,1784171140644808480,250000000,kv,target_to_client,19006913,1
5556410250000000,1784171140894929463,250000000,kv,client_to_target,2232,0
5556410250000000,1784171140894950863,250000000,kv,target_to_client,157158463,1
5556410500000000,1784171141145133116,250000000,kv,client_to_target,3906,0
5556410500000000,1784171141145147366,250000000,kv,target_to_client,254214741,1
5556410750000000,1784171141395281839,250000000,kv,client_to_target,2790,0
5556410750000000,1784171141395299249,250000000,kv,target_to_client,198771387,1
5556411000000000,1784171141645804929,250000000,api,target_to_client,491,0
5556411000000000,1784171141645828969,250000000,kv,client_to_target,21390,0
5556411000000000,1784171141645837868,250000000,kv,target_to_client,87052332,1
5556411250000000,1784171141896353788,250000000,kv,client_to_target,31806,0
5556411250000000,1784171141896369048,250000000,kv,target_to_client,163583976,1
5556411500000000,1784171142146614240,250000000,kv,client_to_target,4464,0
5556411500000000,1784171142146627960,250000000,kv,target_to_client,314049253,1
5556411750000000,1784171142396765693,250000000,kv,client_to_target,4092,0
5556411750000000,1784171142396793413,250000000,kv,target_to_client,277349303,1
5556412000000000,1784171142646926086,250000000,kv,client_to_target,19716,0
5556412000000000,1784171142646938336,250000000,kv,target_to_client,239521406,1
5556412250000000,1784171142897153099,250000000,kv,client_to_target,4464,0
5556412250000000,1784171142897173108,250000000,kv,target_to_client,312476194,1
5556412500000000,1784171143147320002,250000000,kv,client_to_target,4650,0
5556412500000000,1784171143147332162,250000000,kv,target_to_client,313459906,1
5556412750000000,1784171143397560624,250000000,kv,client_to_target,13764,0
5556412750000000,1784171143397577904,250000000,kv,target_to_client,237472148,1
5556413000000000,1784171143647757017,250000000,kv,client_to_target,4836,0
5556413000000000,1784171143647774606,250000000,kv,target_to_client,321258690,1
5556413250000000,1784171143897958389,250000000,kv,client_to_target,4464,0
5556413250000000,1784171143898004559,250000000,kv,target_to_client,312607514,1
5556413500000000,1784171144149322870,250000000,api,target_to_client,10530,0
5556413500000000,1784171144149352290,250000000,kv,client_to_target,372,0
5556413500000000,1784171144149361140,250000000,kv,target_to_client,18874546,1
5556413750000000,1784171144399642412,250000000,api,target_to_client,12620,0
5556414000000000,1784171144649979113,250000000,api,target_to_client,10538,0
5556414250000000,1784171144900807669,250000000,api,target_to_client,3681,0
5556414500000000,1784171145151762125,250000000,api,target_to_client,3184,0
5556414750000000,1784171145402749349,250000000,api,target_to_client,3153,0
5556415000000000,1784171145654282229,250000000,api,target_to_client,2383,0
5556418500000000,1784171149161091446,250000000,api,client_to_target,43509,1
5556418750000000,1784171149411379378,250000000,api,target_to_client,2344,0
5556418750000000,1784171149411428917,250000000,kv,client_to_target,15810,0
5556418750000000,1784171149411433497,250000000,kv,target_to_client,3060,1
5556419000000000,1784171149661946647,250000000,api,target_to_client,3178,0
5556419250000000,1784171149912887932,250000000,api,target_to_client,2942,0
5556419500000000,1784171150163909887,250000000,api,target_to_client,3166,0
5556419750000000,1784171150415708113,250000000,api,target_to_client,3190,0
5556420000000000,1784171150666168273,250000000,api,client_to_target,59872,1
5556420000000000,1784171150666191563,250000000,api,target_to_client,2747,0
5556420000000000,1784171150666200423,250000000,kv,client_to_target,22134,0
5556420000000000,1784171150666207593,250000000,kv,target_to_client,331911,1
5556420250000000,1784171150916872841,250000000,api,client_to_target,29545,1
5556420250000000,1784171150916907031,250000000,api,target_to_client,5970,0
5556420250000000,1784171150916916661,250000000,kv,client_to_target,10602,0
5556420250000000,1784171150916923490,250000000,kv,target_to_client,12257337,1
5556420500000000,1784171151167744987,250000000,api,target_to_client,11503,0
5556420750000000,1784171151418848550,250000000,api,target_to_client,8785,0
5556421000000000,1784171151669892425,250000000,api,target_to_client,9449,0
5556421250000000,1784171151920472094,250000000,api,target_to_client,7175,0
5556425000000000,1784171155676421554,250000000,api,client_to_target,29564,1
5556425000000000,1784171155676445624,250000000,api,target_to_client,1122,0
5556425000000000,1784171155676453184,250000000,kv,client_to_target,10602,0
5556425000000000,1784171155676458444,250000000,kv,target_to_client,2052,1
5556425250000000,1784171155926865424,250000000,api,target_to_client,3183,0
5556425500000000,1784171156177626402,250000000,api,client_to_target,32174,1
5556425500000000,1784171156177655591,250000000,api,target_to_client,3337,0
5556425750000000,1784171156428087732,250000000,api,target_to_client,2846,0
5556425750000000,1784171156428112861,250000000,kv,client_to_target,11718,0
5556425750000000,1784171156428121741,250000000,kv,target_to_client,2268,1
5556426000000000,1784171156679018607,250000000,api,target_to_client,3176,0
5556426250000000,1784171156930033922,250000000,api,target_to_client,3189,0
5556426500000000,1784171157181048096,250000000,api,target_to_client,3170,0
5556426750000000,1784171157432920472,250000000,api,target_to_client,3175,0
5556427000000000,1784171157683258363,250000000,api,client_to_target,27736,1
5556427000000000,1784171157683282983,250000000,api,target_to_client,3004,0
5556427000000000,1784171157683292243,250000000,kv,client_to_target,10044,0
5556427000000000,1784171157683298833,250000000,kv,target_to_client,1944,1
5556427250000000,1784171157933774703,250000000,api,target_to_client,3189,0
5556427500000000,1784171158184405451,250000000,api,target_to_client,3422,0
5556427750000000,1784171158434786572,250000000,api,target_to_client,3179,0
5556428000000000,1784171158685279092,250000000,api,target_to_client,3172,0
5556428250000000,1784171158936408235,250000000,api,target_to_client,3188,0
5556428500000000,1784171159187286191,250000000,api,target_to_client,3425,0
5556428750000000,1784171159439193977,250000000,api,target_to_client,3151,0
5556429000000000,1784171159689594997,250000000,api,client_to_target,43528,1
5556429000000000,1784171159689619657,250000000,api,target_to_client,2802,0
5556429000000000,1784171159689628757,250000000,kv,client_to_target,15810,0
5556429000000000,1784171159689635507,250000000,kv,target_to_client,3060,1
5556429250000000,1784171159939968028,250000000,api,target_to_client,2951,0
5556429500000000,1784171160191829484,250000000,api,target_to_client,3192,0
5556429750000000,1784171160442629791,250000000,api,target_to_client,3407,0
5556430000000000,1784171160693451777,250000000,api,target_to_client,3184,0
5556430250000000,1784171160944086186,250000000,api,target_to_client,3116,0
