scenario_id,workload,seed,sessions,target_fraction,source_instances,max_source_width,solver,feasible,initial_source_power_w,minimum_awake_source_power_w,requested_shed_w,selected_shed_w,validated_shed_w,expected_source_power_at_deadline_w,unmet_shed_w,shortfall_w,migration_work_s,moves,replay_moves,kv_moves,solve_s,planner_memory_bytes,makespan_s,packing_repairs,service_debt_replica_s,required_recovery_s,failure,binding_resources,resource_uses,execution_contract,input_provenance,result_provenance,evidence_status
coding:800:0:0.1,coding,0,800,0.1,15,110,greedy,True,1644.7072252570674,1073.9267134687966,57.07805117882708,70.85994152536068,70.85994152536114,1573.8472837317063,0,0.0,19.13735845488717,11,11,0,0.08122524991631508,137636,9.15817832262193,0,0.0,0.0,,,"[{""name"":""route:source-egress"",""used"":250261.0,""capacity"":143750000000.0,""utilization"":1.7409460869565217e-06},{""name"":""route:wan"",""used"":250261.0,""capacity"":143750000000.0,""utilization"":1.7409460869565217e-06},{""name"":""route:destination-ingress"",""used"":250261.0,""capacity"":143750000000.0,""utilization"":1.7409460869565217e-06},{""name"":""service:sink-a100:0"",""used"":0.037075093704258925,""capacity"":1.454295,""utilization"":0.025493516586565262},{""name"":""kv:sink-a100"",""used"":7676.000000000001,""capacity"":902955,""utilization"":0.008500977346600883},{""name"":""migration:sink-a100:replay"",""used"":19.13735845488717,""capacity"":1725.0,""utilization"":0.011094120843412852},{""name"":""migration:sink-a100:kv_transfer"",""used"":0.0,""capacity"":1725.0,""utilization"":0.0}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
coding:800:0:0.1,coding,0,800,0.1,15,110,greedy_bundle,True,1644.7072252570674,1073.9267134687966,57.07805117882708,57.30272096344379,57.30272096344402,1587.4045042936234,0,0.0,14.199644697962391,8,8,0,1.1562091251835227,137636,9.15812154342193,0,0.0,0.0,,,"[{""name"":""route:source-egress"",""used"":179287.0,""capacity"":143750000000.0,""utilization"":1.2472139130434783e-06},{""name"":""route:wan"",""used"":179287.0,""capacity"":143750000000.0,""utilization"":1.2472139130434783e-06},{""name"":""route:destination-ingress"",""used"":179287.0,""capacity"":143750000000.0,""utilization"":1.2472139130434783e-06},{""name"":""service:sink-a100:0"",""used"":0.02980806454918607,""capacity"":1.454295,""utilization"":0.02049657363133757},{""name"":""kv:sink-a100"",""used"":5499.0,""capacity"":902955,""utilization"":0.006090004485273352},{""name"":""migration:sink-a100:replay"",""used"":14.199644697962391,""capacity"":1725.0,""utilization"":0.0082316780857753},{""name"":""migration:sink-a100:kv_transfer"",""used"":0.0,""capacity"":1725.0,""utilization"":0.0}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
coding:800:0:0.1,coding,0,800,0.1,15,110,greedy_prefix,True,1644.7072252570674,1073.9267134687966,57.07805117882708,57.17847657627226,57.17847657627226,1587.5287486807952,0,0.0,13.705404961599026,8,7,1,0.6636165836825967,137636,5.0346360285517475,0,0.0,0.0,,,"[{""name"":""route:source-egress"",""used"":1510068666.0,""capacity"":143750000000.0,""utilization"":0.010504825502608695},{""name"":""route:wan"",""used"":1510068666.0,""capacity"":143750000000.0,""utilization"":0.010504825502608695},{""name"":""route:destination-ingress"",""used"":1510068666.0,""capacity"":143750000000.0,""utilization"":0.010504825502608695},{""name"":""service:sink-a100:0"",""used"":0.034682518745354475,""capacity"":1.454295,""utilization"":0.02384833802313456},{""name"":""kv:sink-a100"",""used"":5586.0,""capacity"":902955,""utilization"":0.0061863548017343055},{""name"":""migration:sink-a100:replay"",""used"":8.952244834545786,""capacity"":1725.0,""utilization"":0.005189707150461325},{""name"":""migration:sink-a100:kv_transfer"",""used"":4.75316012705324,""capacity"":1725.0,""utilization"":0.0027554551461178205}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
coding:800:0:0.1,coding,0,800,0.1,15,110,greedy_coupled,True,1644.7072252570674,1073.9267134687966,57.07805117882708,58.75212031933688,58.75212031933711,1585.9551049377303,0,0.0,13.758934376948625,8,7,1,0.3322580000385642,137636,5.034637318951749,0,0.0,0.0,,,"[{""name"":""route:source-egress"",""used"":1510070278.9999998,""capacity"":143750000000.0,""utilization"":0.01050483672347826},{""name"":""route:wan"",""used"":1510070278.9999998,""capacity"":143750000000.0,""utilization"":0.01050483672347826},{""name"":""route:destination-ingress"",""used"":1510070278.9999998,""capacity"":143750000000.0,""utilization"":0.01050483672347826},{""name"":""service:sink-a100:0"",""used"":0.03556602628995119,""capacity"":1.454295,""utilization"":0.024455854066713557},{""name"":""kv:sink-a100"",""used"":5635.0,""capacity"":902955,""utilization"":0.006240621071924957},{""name"":""migration:sink-a100:replay"",""used"":9.005774249895385,""capacity"":1725.0,""utilization"":0.005220738695591527},{""name"":""migration:sink-a100:kv_transfer"",""used"":4.75316012705324,""capacity"":1725.0,""utilization"":0.0027554551461178205}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
coding:800:0:0.5,coding,0,800,0.5,15,110,greedy,True,1644.7072252570674,1073.9267134687966,285.3902558941354,313.65197171098544,313.6519717109861,1331.0552535460813,0,0.0,227.93078801756735,116,116,0,0.09915337525308132,137636,32.624177502485594,0,0.0,0.0,,,"[{""name"":""route:source-egress"",""used"":2989873.0,""capacity"":143750000000.0,""utilization"":2.0799116521739132e-05},{""name"":""route:wan"",""used"":2989873.0,""capacity"":143750000000.0,""utilization"":2.0799116521739132e-05},{""name"":""route:destination-ingress"",""used"":2989873.0,""capacity"":143750000000.0,""utilization"":2.0799116521739132e-05},{""name"":""service:sink-a100:0"",""used"":0.23923404987358188,""capacity"":1.454295,""utilization"":0.1645017344304848},{""name"":""kv:sink-a100"",""used"":91702.99999999999,""capacity"":902955,""utilization"":0.1015587709243539},{""name"":""migration:sink-a100:replay"",""used"":227.93078801756735,""capacity"":1725.0,""utilization"":0.1321337901551115},{""name"":""migration:sink-a100:kv_transfer"",""used"":0.0,""capacity"":1725.0,""utilization"":0.0}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
coding:800:0:0.5,coding,0,800,0.5,15,110,greedy_bundle,True,1644.7072252570674,1073.9267134687966,285.3902558941354,285.413850785917,285.41385078591657,1359.2933744711509,0,0.0,176.67420992977216,93,93,0,11.53516083303839,137636,27.101096277569976,0,0.0,0.0,,,"[{""name"":""route:source-egress"",""used"":2371010.0,""capacity"":143750000000.0,""utilization"":1.6493982608695652e-05},{""name"":""route:wan"",""used"":2371010.0,""capacity"":143750000000.0,""utilization"":1.6493982608695652e-05},{""name"":""route:destination-ingress"",""used"":2371010.0,""capacity"":143750000000.0,""utilization"":1.6493982608695652e-05},{""name"":""service:sink-a100:0"",""used"":0.20357991419534485,""capacity"":1.454295,""utilization"":0.13998529472723545},{""name"":""kv:sink-a100"",""used"":72720.99999999999,""capacity"":902955,""utilization"":0.08053668233743651},{""name"":""migration:sink-a100:replay"",""used"":176.67420992977216,""capacity"":1725.0,""utilization"":0.10241983184334617},{""name"":""migration:sink-a100:kv_transfer"",""used"":0.0,""capacity"":1725.0,""utilization"":0.0}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
coding:800:0:0.5,coding,0,800,0.5,15,110,greedy_prefix,True,1644.7072252570674,1073.9267134687966,285.3902558941354,285.6547159052677,285.6547159052675,1359.0525093518,0,0.0,162.78643393831103,83,80,3,0.7847324581816792,137636,28.766224440191056,0,0.0,0.0,,,"[{""name"":""route:source-egress"",""used"":4368276877.0,""capacity"":143750000000.0,""utilization"":0.030388013057391305},{""name"":""route:wan"",""used"":4368276877.0,""capacity"":143750000000.0,""utilization"":0.030388013057391305},{""name"":""route:destination-ingress"",""used"":4368276877.0,""capacity"":143750000000.0,""utilization"":0.030388013057391305},{""name"":""service:sink-a100:0"",""used"":0.32541971387293145,""capacity"":1.454295,""utilization"":0.22376458275173294},{""name"":""kv:sink-a100"",""used"":67120.99999999999,""capacity"":902955,""utilization"":0.07433482288707631},{""name"":""migration:sink-a100:replay"",""used"":148.7197622021328,""capacity"":1725.0,""utilization"":0.08621435489978714},{""name"":""migration:sink-a100:kv_transfer"",""used"":14.066671736178224,""capacity"":1725.0,""utilization"":0.008154592310827956}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
coding:800:0:0.5,coding,0,800,0.5,15,110,greedy_coupled,True,1644.7072252570674,1073.9267134687966,285.3902558941354,298.3530491429251,298.3530491429242,1346.3541761141432,0,0.0,334.4222614625559,239,235,4,0.46045312471687794,137636,39.27935554703881,0,0.0,0.0,,,"[{""name"":""route:source-egress"",""used"":5641073279.0,""capacity"":143750000000.0,""utilization"":0.03924224889739131},{""name"":""route:wan"",""used"":5641073279.0,""capacity"":143750000000.0,""utilization"":0.03924224889739131},{""name"":""route:destination-ingress"",""used"":5641073279.0,""capacity"":143750000000.0,""utilization"":0.03924224889739131},{""name"":""service:sink-a100:0"",""used"":0.3014675546002065,""capacity"":1.454295,""utilization"":0.2072946373330078},{""name"":""kv:sink-a100"",""used"":127722.99999999997,""capacity"":902955,""utilization"":0.14145001688899222},{""name"":""migration:sink-a100:replay"",""used"":316.13003236016016,""capacity"":1725.0,""utilization"":0.18326378687545516},{""name"":""migration:sink-a100:kv_transfer"",""used"":18.292229102395755,""capacity"":1725.0,""utilization"":0.01060419078399754}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
coding:800:0:0.9,coding,0,800,0.9,15,110,greedy,False,1644.7072252570674,1073.9267134687966,513.7024606094437,556.1581298153174,0,1241.3581223708732,110.35335772324947,0.0,1717.865061541293,675,675,0,7.283798707649112,137636,114.5243374360862,125,0.0,0.0,destination_service_queue,,"[{""name"":""route:source-egress"",""used"":22654542.999999996,""capacity"":143750000000.0,""utilization"":0.0001575968208695652},{""name"":""route:wan"",""used"":22654542.999999996,""capacity"":143750000000.0,""utilization"":0.0001575968208695652},{""name"":""route:destination-ingress"",""used"":22654542.999999996,""capacity"":143750000000.0,""utilization"":0.0001575968208695652},{""name"":""service:sink-a100:0"",""used"":0.9901301223559882,""capacity"":1.454295,""utilization"":0.6808316898263339},{""name"":""kv:sink-a100"",""used"":694749.9999999999,""capacity"":902955,""utilization"":0.7694181880603129},{""name"":""migration:sink-a100:replay"",""used"":1717.865061541293,""capacity"":1725.0,""utilization"":0.9958638037920539},{""name"":""migration:sink-a100:kv_transfer"",""used"":0.0,""capacity"":1725.0,""utilization"":0.0}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
coding:800:0:0.9,coding,0,800,0.9,15,110,greedy_bundle,False,1644.7072252570674,1073.9267134687966,513.7024606094437,513.7376989109277,0,1184.3601799377168,53.355415290093106,0.0,1104.4132917823679,471,471,0,47.170372208580375,137636,128.0855892718456,0,0.0,0.0,destination_service_queue,,"[{""name"":""route:source-egress"",""used"":14445901.0,""capacity"":143750000000.0,""utilization"":0.00010049322434782608},{""name"":""route:wan"",""used"":14445901.0,""capacity"":143750000000.0,""utilization"":0.00010049322434782608},{""name"":""route:destination-ingress"",""used"":14445901.0,""capacity"":143750000000.0,""utilization"":0.00010049322434782608},{""name"":""service:sink-a100:0"",""used"":0.8366886557739213,""capacity"":1.454295,""utilization"":0.575322514189983},{""name"":""kv:sink-a100"",""used"":443024.0,""capacity"":902955,""utilization"":0.49063796091721074},{""name"":""migration:sink-a100:replay"",""used"":1104.4132917823679,""capacity"":1725.0,""utilization"":0.6402395894390539},{""name"":""migration:sink-a100:kv_transfer"",""used"":0.0,""capacity"":1725.0,""utilization"":0.0}]",eager_parallel_all_sessions,measured|fitted|assumed,simulated,sensitivity
