connection_id,route,key_hash,start_ns,end_ns,client_to_target_bytes,target_to_client_bytes,client_rtt_us,client_rttvar_us,client_snd_cwnd,client_total_retrans,target_rtt_us,target_rttvar_us,target_snd_cwnd,target_total_retrans
8bd68571204e21f7,kv/east,,2132234824478,2132235965640,0,0,19,9,10,0,28,19,10,0
b0b8b079a8811167,kv/germany,,2132235287643,2132236191782,0,0,14,7,10,0,19,8,10,0
6303d125fd1768b7,api/germany,,2284159159357,2286079403909,1541,15265,,,,,,,,
4c4562abec4bd086,api/east,,2284158461653,2286315798803,1541,15265,,,,,,,,
440b6e85cd9aca10,api/germany,,2284865888478,2286721740812,1541,14070,,,,,,,,
08814a29e8805027,api/east,,2284865355302,2286950335519,1541,15280,,,,,,,,
6ff8716b3650296d,api/germany,,2285573355427,2287447560230,1541,15287,,,,,,,,
a30c2b108f0d87d7,api/east,,2285572373848,2287645956868,1541,15281,,,,,,,,
d42a2afde20a170d,api/germany,,2286279953574,2288171109160,1541,15282,,,,,,,,
1394c2c02ea49c22,api/east,,2286279614380,2288328344779,1541,15282,,,,,,,,
41ad75ab24a738ac,api/germany,,2286986671064,2288861827730,1541,14034,,,,,,,,
172ff4e77093c31a,api/east,,2286986369450,2289050687551,1541,14034,,,,,,,,
986c002c95bd8de1,api/germany,,2289159933462,2289257925960,74,54556,,,,,,,,
714f49ecc0866f9a,api/germany,,2287693615012,2289542472774,1541,15274,,,,,,,,
c94892c85b1f3c95,api/east,,2289159698042,2289560349904,74,54561,,,,,,,,
786cdce7af85334b,api/east,,2287693369333,2289761376759,1541,15282,,,,,,,,
789876a94b52c75b,api/germany,,2288400734663,2290278132866,1541,15275,,,,,,,,
da3573771fe83058,api/germany,,2290258257513,2290356125759,74,54561,,,,,,,,
d56cbac8d173f232,api/east,,2288400394798,2290457438320,1541,14022,,,,,,,,
d59f081a58d13508,api/east,,2290560752320,2290960233414,74,54579,,,,,,,,
1be8465b481395ba,api/germany,,2289108454164,2291008363594,1541,15275,,,,,,,,
1cede1f333cc9654,api/east,,2289108353116,2291166750055,1541,14032,,,,,,,,
5df92951b26b5f4f,api/germany,,2291356439779,2291453773878,74,54591,,,,,,,,
ecd469924050a160,api/germany,,2289814858232,2291704630679,1541,15275,,,,,,,,
d0836c040e956641,api/east,,2289814404364,2291872124244,1541,15275,,,,,,,,
8abc400db385ebda,api/east,,2291960262642,2292361731715,74,54593,,,,,,,,
e314fdfe0dca38d9,api/germany,,2290521815043,2292394463888,1541,14045,,,,,,,,
edee83eb0c143bfc,api/germany,,2292454086656,2292551882366,74,54782,,,,,,,,
7fbd1baabf3cc927,api/east,,2290521338052,2292580555495,1541,15256,,,,,,,,
98323d7b9685e0a7,api/germany,,2291229571333,2293089704094,1543,14022,,,,,,,,
f94ea5da61d5509e,api/east,,2291228467651,2293283104171,1543,14030,,,,,,,,
b3228f8d442dc134,api/germany,,2293552423210,2293650157726,74,54765,,,,,,,,
22efe73ed5f390d9,api/east,,2293361961909,2293760823355,74,54774,,,,,,,,
5242e6001b2bd037,api/germany,,2291935933759,2293795422046,1543,14049,,,,,,,,
ef3a53f1841e2595,api/east,,2291935465354,2293987546238,1543,15275,,,,,,,,
005b09226ce354fc,api/germany,,2292642856020,2294489675103,1543,14022,,,,,,,,
9bcb494a6f6bc5b9,api/east,,2292642364652,2294691417830,1543,14032,,,,,,,,
efe3d9fd4fc63a15,api/east,,2294761119553,2295161049846,74,54771,,,,,,,,
7c373e76b7866002,api/germany,,2293349929990,2295198544316,1543,14022,,,,,,,,
3ac0b16d921cca8d,api/east,,2293349538459,2295401854798,1543,14025,,,,,,,,
257bee952bd95a36,api/germany,,2294057194812,2304798313087,1543,15021,,,,,,,,
319329c50a88f8c5,api/east,,2294056695308,2304834882838,1543,15018,,,,,,,,
b02bc99312d4df7c,api/germany,,2295182104663,2304854920619,33373,3563,,,,,,,,
fb93e1fa05a31a6c,api/germany,,2295183629978,2304882943971,33374,3323,,,,,,,,
1837c4998400a7ba,api/east,,2295185947587,2304922353518,33375,3323,,,,,,,,
d0b1c84b9cd45fd2,api/germany,,2295183297677,2304971422423,33373,3563,,,,,,,,
83582c6eb1b0c57f,api/east,,2295186497195,2305008986136,33374,3563,,,,,,,,
f15215a787897a8b,api/germany,,2295184699626,2305028823943,33374,3563,,,,,,,,
60f78bfe8aa32b82,api/east,,2295185714031,2305065086391,33374,3563,,,,,,,,
26a03081b760a255,api/germany,,2295184187014,2305084796749,33374,3563,,,,,,,,
a8f557c0eb79b930,api/east,,2295187507236,2305093357755,33373,3323,,,,,,,,
f9e476f21627250a,api/germany,,2295184918625,2305141746289,33375,3563,,,,,,,,
5d0b19fe5f7c77cf,api/east,,2295187603636,2305150131205,33374,3323,,,,,,,,
fae7d1f679066b7e,api/east,,2295187961194,2305235605599,33374,3563,,,,,,,,
dab0af6b8b357f1d,api/germany,,2294764555422,2305529171341,1543,13800,,,,,,,,
c5ba33d29770503c,api/east,,2294763769354,2305569651711,1543,13798,,,,,,,,
46032f618f1854b4,api/germany,,2297592404137,2306384860527,1543,15290,,,,,,,,
54d347dec200e494,api/germany,,2298299441728,2306385388023,1543,14043,,,,,,,,
add58f0c1a5d4e7c,api/germany,,2295471584038,2306386085446,1543,14032,,,,,,,,
a6803045b471df3a,api/germany,,2296887895454,2306386426202,1543,14032,,,,,,,,
f5406cc70c9dab99,api/germany,,2296178248138,2306386465866,1543,14061,,,,,,,,
440019eacfd28915,api/germany,,2299006469696,2306387349076,1543,15278,,,,,,,,
76727d6b18eda930,api/east,,2298298874473,2306478420047,1543,15274,,,,,,,,
9c6e7c3395f20ee9,api/east,,2299005889437,2306479246611,1543,14030,,,,,,,,
ea7849c6ebb777a7,api/east,,2295471378514,2306479565136,1543,14030,,,,,,,,
956532b29dfd4804,api/east,,2296884725648,2306480318954,1543,14040,,,,,,,,
73dae0d1fcc7aed2,api/east,,2297592112953,2306481785254,1543,15256,,,,,,,,
645735a1c8ebe2f3,api/east,,2296177717240,2306485216334,1543,14051,,,,,,,,
d22bb7d8a038c754,api/germany,,2304798922336,2306816978905,1543,15275,,,,,,,,
495b8e9543330523,api/east,,2304835503738,2307037479682,1543,14032,,,,,,,,
bd47298a975c079c,api/germany,,2305529724404,2307535883763,1543,14034,,,,,,,,
993e5458e8fdd92f,api/east,,2305570279664,2307778329641,1543,15290,,,,,,,,
04d52f9a954507fd,api/germany,,2306386122936,2308379766711,1543,15290,,,,,,,,
fd16e59a10aff244,api/germany,,2306385786427,2308380563229,1543,14034,,,,,,,,
f10778d98984bdf1,api/germany,,2306387549210,2308408235129,1543,14032,,,,,,,,
1df1934be76ae0e6,api/germany,,2306387263887,2308408570877,1543,14043,,,,,,,,
2b6cb1f23e857f1d,api/germany,,2306386910797,2308408828157,1543,14032,,,,,,,,
7e0a6c56b0c3fb71,api/germany,,2306386651753,2308408934055,1543,15290,,,,,,,,
5deacc401a8b9767,api/east,,2306485436185,2308672148125,1543,13803,,,,,,,,
1bccaed2c61f7df0,api/east,,2306480186196,2308672332569,1543,13797,,,,,,,,
1a88d7facff9f4a3,api/east,,2306480431685,2308672437295,1543,13791,,,,,,,,
75bbf0111ed49cb4,api/east,,2306480101328,2308672652787,1543,15038,,,,,,,,
99bc454cec495f44,api/east,,2306482096415,2308673027147,1543,13800,,,,,,,,
51c3b7b86d314cd4,api/east,,2306478994129,2308679178830,1543,13799,,,,,,,,
e4fc7c1d92c19f3f,api/germany,,2306818415298,2308720334883,1543,14022,,,,,,,,
d2a995fb20d51a8e,api/germany,,2307536168274,2309437599617,1543,14032,,,,,,,,
97b0b0af62de74ee,api/germany,,2308380897193,2310260355893,1543,14032,,,,,,,,
18f2c11eb4b9a141,api/germany,,2308380321577,2310260773714,1543,15278,,,,,,,,
e6df815a45838a7a,api/germany,,2308409320417,2310260897194,1543,15056,,,,,,,,
2228117ba1a17446,api/germany,,2317664994484,2317762925327,74,54780,,,,,,,,
5692c5d88853a961,api/east,,2317664877365,2318066147330,74,54783,,,,,,,,
2249e1150cb74444,api/germany,,2318763338673,2318862260318,74,54780,,,,,,,,
1d507413129a170f,api/east,,2319066495013,2319467199978,74,54783,,,,,,,,
7d78b586d3440306,api/germany,,2319862625634,2319960123398,74,54780,,,,,,,,
8ab10a2e33b4da06,api/east,,2320467647768,2320868038095,74,54796,,,,,,,,
18b6a76331aa06ad,api/germany,,2320960515244,2321057743695,74,54780,,,,,,,,
3562aba5e303d568,api/germany,,2322058052324,2322155483902,74,54780,,,,,,,,
098831ed8d45c3a6,api/east,,2321868852674,2322295912795,74,54796,,,,,,,,
ccd7e94c3591fabc,api/east,,2323296284127,2323710121138,74,54796,,,,,,,,
47e2b5f71a6b3a86,api/germany,,2323742086090,2333220912752,33374,3563,,,,,,,,
58ecea2e36bcf5a6,api/germany,,2323742490285,2333248968835,33375,3323,,,,,,,,
