monotonic_ns,wall_ns,interval_ns,connection_id,route,direction,bytes,billed
4099250000000,1786155650992840987,250000000,ddfd7db0538ed6fb,api/germany,client_to_target,1541,1
4099500000000,1786155651243729186,250000000,6e60d40e0fd45394,api/east,client_to_target,1541,1
4099500000000,1786155651243758801,250000000,6e60d40e0fd45394,api/east,target_to_client,149,0
4099500000000,1786155651243768019,250000000,ddfd7db0538ed6fb,api/germany,target_to_client,665,0
4099750000000,1786155651494208401,250000000,5454731672e4ada8,api/germany,client_to_target,1541,1
4099750000000,1786155651494229821,250000000,5454731672e4ada8,api/germany,target_to_client,427,0
4099750000000,1786155651494236554,250000000,6e60d40e0fd45394,api/east,target_to_client,1467,0
4099750000000,1786155651494241914,250000000,974fbd4cff456d21,api/east,client_to_target,1541,1
4099750000000,1786155651494246893,250000000,ddfd7db0538ed6fb,api/germany,target_to_client,2143,0
4100000000000,1786155651744671587,250000000,5454731672e4ada8,api/germany,target_to_client,1430,0
4100000000000,1786155651744697495,250000000,6e60d40e0fd45394,api/east,target_to_client,2143,0
4100000000000,1786155651744706021,250000000,974fbd4cff456d21,api/east,target_to_client,663,0
4100000000000,1786155651744713405,250000000,ddfd7db0538ed6fb,api/germany,target_to_client,1903,0
4100250000000,1786155651995610551,250000000,5454731672e4ada8,api/germany,target_to_client,2142,0
4100250000000,1786155651995634325,250000000,67d040d83034ba6d,api/germany,client_to_target,1541,1
4100250000000,1786155651995643142,250000000,67d040d83034ba6d,api/germany,target_to_client,663,0
4100250000000,1786155651995650035,250000000,6e60d40e0fd45394,api/east,target_to_client,2144,0
4100250000000,1786155651995656617,250000000,974fbd4cff456d21,api/east,target_to_client,2147,0
4100250000000,1786155651995662969,250000000,a84fa0a714450860,api/east,client_to_target,1541,1
4100250000000,1786155651995669160,250000000,a84fa0a714450860,api/east,target_to_client,149,0
4100250000000,1786155651995675763,250000000,ddfd7db0538ed6fb,api/germany,target_to_client,2146,0
4100500000000,1786155652246502958,250000000,5454731672e4ada8,api/germany,target_to_client,1907,0
4100500000000,1786155652246521333,250000000,67d040d83034ba6d,api/germany,target_to_client,1908,0
4100500000000,1786155652246527063,250000000,6e60d40e0fd45394,api/east,target_to_client,2147,0
4100500000000,1786155652246531792,250000000,974fbd4cff456d21,api/east,target_to_client,2143,0
4100500000000,1786155652246536140,250000000,a84fa0a714450860,api/east,target_to_client,1471,0
4100500000000,1786155652246540428,250000000,d39a622524439ab5,api/germany,client_to_target,1541,1
4100500000000,1786155652246544977,250000000,d39a622524439ab5,api/germany,target_to_client,149,0
4100500000000,1786155652246549465,250000000,ddfd7db0538ed6fb,api/germany,target_to_client,1907,0
4100750000000,1786155652497216571,250000000,05037648ee750ffd,api/east,client_to_target,1541,1
4100750000000,1786155652497245275,250000000,05037648ee750ffd,api/east,target_to_client,427,0
4100750000000,1786155652497253581,250000000,5454731672e4ada8,api/germany,target_to_client,2144,0
4100750000000,1786155652497260584,250000000,67d040d83034ba6d,api/germany,target_to_client,2147,0
4100750000000,1786155652497266836,250000000,6e60d40e0fd45394,api/east,target_to_client,2155,0
