deadline_s,headline,mode,policy,rho,row_id,seed,sessions,tier,workload,git_sha,planner_seed,source_replicas,destination_replicas,destination_pools,migration_headroom,absorbed_fraction,initial_source_power_w,idle_source_power_w,removable_power_w,credit_target_w,max_shed_probes,planned_shed_w,moves,replay_moves,kv_moves,solve_s,feasible,failure_reason,binding_resource,binding_utilization,executed_shed_w,executed_shed_fraction,landed_sessions,migration_makespan_s,within_contract,within_envelope,destination_offered_rps,destination_rho,committed_kv_fraction,east_replay,east_kv_transfer,germany_replay,germany_kv_transfer
30.0,True,normal,greedy,0.3,20,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,17017358030418436098,595,1190,150,0.20571707466974065,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,3677.682195729746,8,3923.501132071935,1145,1127,18,10.931715308019193,True,,migration:pool/east/node-0,0.99187401828167,3923.5011320719495,0.06670795701016227,1145,24.447215021913994,True,True,1.7559072556828919,0.3511814511365784,0.01572052401746725,866,0,261,18
30.0,True,normal,kv_only,0.38,52,1002,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,1962481147449895111,592,1184,148,0.12583944256937413,0.49416055743062587,116824.78142117317,58084.81144559924,58739.969975573935,2281.7340121322886,8,2288.5999877511786,633,0,633,3.192867629986722,True,,migration:pool/germany/node-33,0.8986261732497631,2288.5999877511786,0.03896154507233926,633,22.559489679043054,True,True,2.0137365580812854,0.4027473116162571,1.0,0,222,0,411
60.0,True,normal,queue_haul,0.44,84,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,9685659544525394968,594,1188,150,0.06582317276063532,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,3676.7403615202556,8,3836.812439412897,1158,1029,129,4.724935605976498,True,,migration:pool/germany/node-0,0.9926563236471317,3836.812439412897,0.0652675073522992,1158,53.011953610273494,True,True,2.3939635044380556,0.4787927008876111,0.11139896373056994,428,0,601,129
60.0,True,normal,isolated_fastest,0.44,116,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,9588261305985753737,595,1190,150,0.06571707466974075,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,3677.682195729746,8,3799.576172180983,1148,966,182,3.507760191016132,True,,migration:pool/germany/node-65,0.9654066540227482,3799.576172180983,0.06460096618267981,1148,53.09753941425116,True,True,2.4005673658919253,0.48011347317838504,0.15853658536585366,636,0,330,182
60.0,True,normal,replay_only,0.48,148,1002,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,13992774376588384535,592,1184,148,0.02583944256937415,0.49416055743062587,116824.78142117317,58084.81144559924,58739.969975573935,1825.3872097058309,8,1850.378254979776,518,518,0,3.234642106021056,True,,migration:pool/germany/node-0,0.8275903574968635,1850.378254979776,0.0315011780862201,518,45.517643105327494,True,True,2.4568682790406426,0.49137365580812853,0.0,222,0,296,0
120.0,True,normal,isolated_fastest,0.2,180,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,7061906598306258147,594,1188,150,0.3058231727606353,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,11030.221084560766,8,12048.207605517528,3068,2859,209,33.12234212900512,True,,migration:pool/east/node-65,0.9977211841341915,12048.207605517528,0.20495046106435932,3068,114.73810961843203,True,True,2.834001999060722,0.5668003998121444,0.06812255541069101,1698,0,1161,209
120.0,True,normal,replay_only,0.2,212,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,340479183375594831,595,1190,150,0.30571707466974074,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,29421.45756583797,8,36701.08606568581,7829,7829,0,6.7225647819868755,True,,migration:pool/east/node-65,0.9980674399427563,36701.086065685944,0.6239973913817001,7829,114.77792903641695,True,True,2.834001999060722,0.5668003998121444,0.0,3632,0,4197,0
180.0,True,normal,greedy,0.3,244,1002,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,10707431250720499046,592,1184,148,0.2058394425693741,0.49416055743062587,116824.78142117317,58084.81144559924,58739.969975573935,29206.195355293294,8,36828.27486622328,7846,7815,31,7.517362466023769,True,,migration:pool/germany/node-33,0.9978033802154608,36828.27486622342,0.6269712919761087,7846,174.2357564084706,True,True,3.3197849293005612,0.6639569858601122,0.003951057863879684,3641,0,4174,31
180.0,True,normal,kv_only,0.38,276,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,9354865485698545085,594,1188,150,0.12582317276063526,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,14706.961446081023,8,19872.215531828275,4381,0,4381,5.20838078999077,True,,migration:pool/east/node-33,0.9989267681722837,19872.215531828377,0.3380436218374411,4381,174.84341102177513,True,True,3.2638580880650907,0.6527716176130182,1.0,0,1551,0,2830
240.0,True,normal,queue_haul,0.38,308,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,7851238564533977457,595,1190,150,0.1257170746697407,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,29421.45756583797,8,32426.31706084522,6976,3954,3022,9.28183272399474,True,,migration:pool/east/node-74,0.9969828189151276,32426.31706084535,0.5513171251082224,6976,234.29113588805498,True,True,3.7452197662057127,0.7490439532411426,0.4331995412844037,2989,0,965,3022
