deadline_s,policy,mode,rho,seed,destination_offered_rps,envelope_rps,within_envelope
30.0,queue_haul,normal,0.2,1001,1.3980779532844985,5.0,True
30.0,isolated_fastest,normal,0.2,1003,1.3980779532844982,5.0,True
30.0,replay_only,normal,0.3,1002,1.7559072556828919,5.0,True
60.0,greedy,normal,0.38,1001,2.3091763295796426,5.0,True
60.0,kv_only,normal,0.38,1003,2.1701243254430524,5.0,True
120.0,queue_haul,normal,0.44,1002,2.7214751513190056,5.0,True
120.0,isolated_fastest,normal,0.48,1001,2.5746709624737005,5.0,True
120.0,replay_only,normal,0.48,1003,2.5421706976016063,5.0,True
180.0,isolated_fastest,normal,0.2,1002,3.8007627427516413,5.0,True
180.0,replay_only,normal,0.3,1001,3.3197849293005612,5.0,True
240.0,greedy,normal,0.3,1003,3.959553068507786,5.0,True
240.0,kv_only,normal,0.38,1002,3.0800167900933353,5.0,True
300.0,queue_haul,normal,0.44,1001,3.603971561243476,5.0,True
300.0,isolated_fastest,normal,0.44,1003,3.603971561243476,5.0,True
300.0,replay_only,normal,0.48,1002,2.7610212586054654,5.0,True
375.0,isolated_fastest,normal,0.2,1001,4.980779532844991,5.0,True
375.0,replay_only,normal,0.2,1003,4.980779532844991,5.0,True
450.0,greedy,normal,0.3,1002,4.912096742438558,5.0,True
450.0,kv_only,normal,0.38,1001,4.132079952345217,5.0,True
600.0,queue_haul,normal,0.38,1003,4.9708870681947035,5.0,True
600.0,isolated_fastest,normal,0.44,1002,4.878245066339483,5.0,True
600.0,replay_only,normal,0.48,1001,3.139287627528354,5.0,True
750.0,greedy,normal,0.48,1003,3.8039715612434755,5.0,True
750.0,replay_only,normal,0.2,1002,4.980779532844991,5.0,True
900.0,greedy,normal,0.3,1001,4.912096742438558,5.0,True
900.0,kv_only,normal,0.3,1003,4.931570014029761,5.0,True
1800.0,queue_haul,normal,0.38,1002,4.970887068194697,5.0,True
1800.0,isolated_fastest,normal,0.44,1001,4.929677393950843,5.0,True
1800.0,replay_only,normal,0.44,1003,4.929677393950847,5.0,True
2700.0,greedy,normal,0.48,1002,4.9672622834166456,5.0,True
2700.0,replay_only,normal,0.2,1001,4.980779532844991,5.0,True
30.0,queue_haul,normal,0.2,1002,1.3980779532844982,5.0,True
30.0,isolated_fastest,normal,0.3,1001,1.7559072556828919,5.0,True
30.0,replay_only,normal,0.3,1003,1.7559072556828919,5.0,True
60.0,greedy,normal,0.38,1002,2.3091763295796426,5.0,True
60.0,kv_only,normal,0.44,1001,2.417322171754183,5.0,True
120.0,queue_haul,normal,0.44,1003,2.7214751513190056,5.0,True
120.0,isolated_fastest,normal,0.48,1002,2.5746709624737005,5.0,True
180.0,queue_haul,normal,0.2,1001,3.9758278514883125,5.0,True
180.0,isolated_fastest,normal,0.2,1003,3.8030974104235042,5.0,True
180.0,replay_only,normal,0.3,1002,3.3197849293005612,5.0,True
240.0,greedy,normal,0.38,1001,3.6482988627493826,5.0,True
240.0,kv_only,normal,0.38,1003,3.0800167900933353,5.0,True
300.0,queue_haul,normal,0.44,1002,3.603971561243476,5.0,True
300.0,isolated_fastest,normal,0.48,1001,2.9214751513190054,5.0,True
300.0,replay_only,normal,0.48,1003,2.7610212586054654,5.0,True
375.0,isolated_fastest,normal,0.2,1002,4.980779532844991,5.0,True
375.0,replay_only,normal,0.3,1001,4.400282231072767,5.0,True
450.0,greedy,normal,0.3,1003,4.91209674243856,5.0,True
450.0,kv_only,normal,0.38,1002,4.132079952345217,5.0,True
600.0,queue_haul,normal,0.44,1001,4.878245066339483,5.0,True
600.0,isolated_fastest,normal,0.44,1003,4.9278106919307625,5.0,True
600.0,replay_only,normal,0.48,1002,3.139287627528353,5.0,True
750.0,isolated_fastest,normal,0.2,1001,4.980779532844991,5.0,True
750.0,replay_only,normal,0.2,1003,4.980779532844991,5.0,True
900.0,greedy,normal,0.3,1002,4.912096742438558,5.0,True
900.0,kv_only,normal,0.38,1001,4.970887068194697,5.0,True
1800.0,queue_haul,normal,0.38,1003,4.9708870681947035,5.0,True
1800.0,isolated_fastest,normal,0.44,1002,4.929677393950837,5.0,True
1800.0,replay_only,normal,0.48,1001,4.632079952345217,5.0,True
2700.0,greedy,normal,0.48,1003,4.9672622834166456,5.0,True
2700.0,replay_only,normal,0.2,1002,4.980779532844991,5.0,True
30.0,queue_haul,normal,0.2,1003,1.3980779532844982,5.0,True
30.0,isolated_fastest,normal,0.3,1002,1.7559072556828919,5.0,True
30.0,replay_only,normal,0.38,1001,2.056387767361767,5.0,True
60.0,greedy,normal,0.38,1003,2.3091763295796426,5.0,True
60.0,kv_only,normal,0.44,1002,2.417322171754183,5.0,True
120.0,queue_haul,normal,0.48,1001,2.5746709624737005,5.0,True
120.0,isolated_fastest,normal,0.48,1003,2.5746709624737005,5.0,True
180.0,queue_haul,normal,0.2,1002,3.9758278514883125,5.0,True
180.0,isolated_fastest,normal,0.3,1001,3.3197849293005612,5.0,True
180.0,replay_only,normal,0.3,1003,3.319784929300562,5.0,True
240.0,greedy,normal,0.38,1002,3.6482988627493826,5.0,True
240.0,kv_only,normal,0.44,1001,3.3231772489947806,5.0,True
300.0,queue_haul,normal,0.44,1003,3.603971561243476,5.0,True
300.0,isolated_fastest,normal,0.48,1002,2.9214751513190054,5.0,True
375.0,queue_haul,normal,0.2,1001,4.980779532844991,5.0,True
375.0,isolated_fastest,normal,0.2,1003,4.980779532844991,5.0,True
375.0,replay_only,normal,0.3,1002,4.400282231072767,5.0,True
450.0,greedy,normal,0.38,1001,4.672328603231319,5.0,True
450.0,kv_only,normal,0.38,1003,4.132079952345217,5.0,True
600.0,queue_haul,normal,0.44,1002,4.878245066339483,5.0,True
600.0,isolated_fastest,normal,0.48,1001,3.523177248994781,5.0,True
600.0,replay_only,normal,0.48,1003,3.139287627528353,5.0,True
750.0,isolated_fastest,normal,0.2,1002,4.980779532844991,5.0,True
750.0,replay_only,normal,0.3,1001,4.912096742438558,5.0,True
900.0,greedy,normal,0.3,1003,4.931570014029761,5.0,True
900.0,kv_only,normal,0.38,1002,4.970887068194697,5.0,True
1800.0,queue_haul,normal,0.44,1001,4.929677393950843,5.0,True
1800.0,isolated_fastest,normal,0.44,1003,4.929677393950847,5.0,True
1800.0,replay_only,normal,0.48,1002,4.632079952345217,5.0,True
2700.0,isolated_fastest,normal,0.2,1001,4.980779532844991,5.0,True
2700.0,replay_only,normal,0.2,1003,4.980779532844991,5.0,True
30.0,queue_haul,normal,0.3,1001,1.7658382981421052,5.0,True
30.0,isolated_fastest,normal,0.3,1003,1.7559072556828919,5.0,True
30.0,replay_only,normal,0.38,1002,2.056387767361767,5.0,True
60.0,greedy,normal,0.44,1001,2.4406808390703105,5.0,True
60.0,kv_only,normal,0.44,1003,2.417322171754183,5.0,True
120.0,queue_haul,normal,0.48,1002,2.5746709624737005,5.0,True
120.0,kv_only,normal,0.2,1001,1.7392876275283535,5.0,True
180.0,queue_haul,normal,0.2,1003,4.013025699631916,5.0,True
180.0,isolated_fastest,normal,0.3,1002,3.3197849293005612,5.0,True
180.0,replay_only,normal,0.38,1001,2.994714371532371,5.0,True
240.0,greedy,normal,0.38,1003,3.6482988627493826,5.0,True
240.0,kv_only,normal,0.44,1002,3.3231772489947806,5.0,True
300.0,queue_haul,normal,0.48,1001,2.9214751513190054,5.0,True
300.0,isolated_fastest,normal,0.48,1003,2.9214751513190054,5.0,True
375.0,queue_haul,normal,0.2,1002,4.980779532844991,5.0,True
375.0,isolated_fastest,normal,0.3,1001,4.513025699631916,5.0,True
375.0,replay_only,normal,0.3,1003,4.91209674243856,5.0,True
450.0,greedy,normal,0.38,1002,4.727741736222448,5.0,True
450.0,kv_only,normal,0.44,1001,4.279296743822154,5.0,True
600.0,queue_haul,normal,0.44,1003,4.9278106919307625,5.0,True
600.0,isolated_fastest,normal,0.48,1002,3.523177248994781,5.0,True
750.0,queue_haul,normal,0.2,1001,4.980779532844991,5.0,True
750.0,isolated_fastest,normal,0.2,1003,4.980779532844991,5.0,True
750.0,replay_only,normal,0.3,1002,4.912096742438558,5.0,True
900.0,greedy,normal,0.38,1001,4.970887068194697,5.0,True
900.0,kv_only,normal,0.38,1003,4.9708870681947035,5.0,True
1800.0,queue_haul,normal,0.44,1002,4.929677393950837,5.0,True
1800.0,isolated_fastest,normal,0.48,1001,4.9672622834166456,5.0,True
1800.0,replay_only,normal,0.48,1003,4.617862882585056,5.0,True
2700.0,isolated_fastest,normal,0.2,1002,4.980779532844991,5.0,True
2700.0,replay_only,normal,0.3,1001,4.912096742438558,5.0,True
30.0,queue_haul,normal,0.3,1002,1.7746020067653878,5.0,True
30.0,isolated_fastest,normal,0.38,1001,2.082678893231615,5.0,True
30.0,replay_only,normal,0.38,1003,2.0516487441083804,5.0,True
60.0,greedy,normal,0.44,1002,2.4406808390703105,5.0,True
60.0,kv_only,normal,0.48,1001,2.4568682790406426,5.0,True
120.0,queue_haul,normal,0.48,1003,2.5746709624737005,5.0,True
120.0,kv_only,normal,0.2,1002,1.7392876275283535,5.0,True
180.0,queue_haul,normal,0.3,1001,3.6574751923290267,5.0,True
180.0,isolated_fastest,normal,0.3,1003,3.319784929300562,5.0,True
180.0,replay_only,normal,0.38,1002,2.994714371532371,5.0,True
240.0,greedy,normal,0.44,1001,3.3231772489947806,5.0,True
240.0,kv_only,normal,0.44,1003,3.3231772489947806,5.0,True
300.0,queue_haul,normal,0.48,1002,2.9214751513190054,5.0,True
300.0,kv_only,normal,0.2,1001,2.9050873478615244,5.0,True
375.0,queue_haul,normal,0.2,1003,4.980779532844991,5.0,True
375.0,isolated_fastest,normal,0.3,1002,4.513025699631916,5.0,True
375.0,replay_only,normal,0.38,1001,4.20316530114602,5.0,True
450.0,greedy,normal,0.38,1003,4.672328603231319,5.0,True
450.0,kv_only,normal,0.44,1002,4.279296743822154,5.0,True
600.0,queue_haul,normal,0.48,1001,3.523177248994781,5.0,True
600.0,isolated_fastest,normal,0.48,1003,3.523177248994781,5.0,True
750.0,queue_haul,normal,0.2,1002,4.980779532844991,5.0,True
750.0,isolated_fastest,normal,0.3,1001,4.912096742438558,5.0,True
750.0,replay_only,normal,0.3,1003,4.931570014029761,5.0,True
900.0,greedy,normal,0.38,1002,4.970887068194697,5.0,True
900.0,kv_only,normal,0.44,1001,4.880998841497931,5.0,True
1800.0,queue_haul,normal,0.44,1003,4.929677393950847,5.0,True
1800.0,isolated_fastest,normal,0.48,1002,4.9672622834166456,5.0,True
2700.0,queue_haul,normal,0.2,1001,4.980779532844991,5.0,True
2700.0,isolated_fastest,normal,0.2,1003,4.980779532844991,5.0,True
2700.0,replay_only,normal,0.3,1002,4.912096742438558,5.0,True
30.0,queue_haul,normal,0.3,1003,1.7658382981421052,5.0,True
30.0,isolated_fastest,normal,0.38,1002,2.0604538927135403,5.0,True
30.0,replay_only,normal,0.44,1001,2.2710853488008036,5.0,True
60.0,greedy,normal,0.44,1003,2.4406808390703105,5.0,True
60.0,kv_only,normal,0.48,1002,2.4568682790406426,5.0,True
120.0,greedy,normal,0.2,1001,2.834001999060722,5.0,True
120.0,kv_only,normal,0.2,1003,1.7392876275283535,5.0,True
180.0,queue_haul,normal,0.3,1002,3.6574751923290267,5.0,True
180.0,isolated_fastest,normal,0.38,1001,3.201924685026135,5.0,True
180.0,replay_only,normal,0.38,1003,2.9804973017722105,5.0,True
240.0,greedy,normal,0.44,1002,3.3231772489947806,5.0,True
240.0,kv_only,normal,0.48,1001,2.815351801544011,5.0,True
300.0,queue_haul,normal,0.48,1003,2.9214751513190054,5.0,True
300.0,kv_only,normal,0.2,1002,2.9050873478615244,5.0,True
375.0,queue_haul,normal,0.3,1001,4.912096742438558,5.0,True
375.0,isolated_fastest,normal,0.3,1003,4.513025699631916,5.0,True
375.0,replay_only,normal,0.38,1002,4.20316530114602,5.0,True
450.0,greedy,normal,0.44,1001,4.326014078454409,5.0,True
