monotonic_ns,wall_ns,power_w,utilization_pct,memory_mib
5708163655298,1786470974642318939,115.27,100.0,89111.0
5708286524371,1786470974765188012,122.51,68.0,89111.0
5708409031056,1786470974887694767,129.03,68.0,89111.0
5708531187313,1786470975009850884,128.47,90.0,89111.0
5708654001401,1786470975132665192,126.9,90.0,89111.0
5708779268080,1786470975257931701,128.22,0.0,89111.0
5708902421166,1786470975381084957,132.53,100.0,89111.0
5709025521431,1786470975504185022,136.83,100.0,89111.0
5709148802168,1786470975627466069,143.13,100.0,89111.0
5709271897748,1786470975750561429,144.68,100.0,89111.0
5709394938508,1786470975873602059,139.27,100.0,89111.0
5709518319031,1786470975996982832,147.15,100.0,89111.0
5709641485286,1786470976120149137,155.19,100.0,89111.0
5709764990665,1786470976243654426,157.96,100.0,89111.0
5709888665775,1786470976367329526,159.17,100.0,89111.0
5710011899287,1786470976490562898,160.01,100.0,89111.0
5710135372620,1786470976614036421,156.19,100.0,89111.0
5710258629942,1786470976737293493,157.73,100.0,89111.0
5710382382242,1786470976861045703,159.04,100.0,89111.0
5710505733800,1786470976984397481,157.76,100.0,89111.0
5710629138197,1786470977107801768,156.93,100.0,89111.0
5710752638486,1786470977231302157,156.32,100.0,89111.0
5710875833337,1786470977354497128,157.22,100.0,89111.0
5710999126149,1786470977477789800,156.86,100.0,89111.0
5711122881880,1786470977601545461,157.44,100.0,89111.0
5711246194797,1786470977724858268,156.56,100.0,89111.0
5711369671471,1786470977848335212,155.97,100.0,89111.0
5711493102444,1786470977971766005,157.59,100.0,89111.0
5711616499176,1786470978095162927,155.35,100.0,89111.0
5711740252348,1786470978218915999,157.48,100.0,89111.0
5711863986448,1786470978342650039,155.38,100.0,89111.0
5711987511392,1786470978466174963,156.87,100.0,89111.0
5712111534435,1786470978590198256,156.37,100.0,89111.0
5712235059304,1786470978713722935,157.48,100.0,89111.0
5712358534238,1786470978837197969,155.77,100.0,89111.0
5712483149701,1786470978961813392,155.86,100.0,89111.0
5712607041793,1786470979085705434,155.26,100.0,89111.0
5712731002626,1786470979209666297,154.84,100.0,89111.0
5712854555115,1786470979333218676,156.13,100.0,89111.0
5712978052824,1786470979456716545,154.08,100.0,89111.0
5713101893368,1786470979580557029,157.23,100.0,89111.0
5713225754678,1786470979704418219,154.38,100.0,89111.0
5713349444016,1786470979828107577,156.1,100.0,89111.0
5713472655680,1786470979951319481,156.24,100.0,89111.0
5713596646131,1786470980075309592,156.03,100.0,89111.0
5713720608642,1786470980199272183,157.23,100.0,89111.0
5713843962807,1786470980322626438,156.53,100.0,89111.0
5713967458469,1786470980446122130,158.8,100.0,89111.0
5714091522105,1786470980570185726,153.78,100.0,89111.0
5714215291235,1786470980693955016,155.77,100.0,89111.0
5714338893842,1786470980817557483,156.27,100.0,89111.0
5714462673451,1786470980941337192,155.67,100.0,89111.0
5714587088332,1786470981065751763,152.81,100.0,89111.0
5714711243525,1786470981189906896,152.74,100.0,89111.0
5714835078059,1786470981313741850,152.25,100.0,89111.0
5714959482305,1786470981438146036,152.17,100.0,89111.0
5715083220944,1786470981561884575,154.18,100.0,89111.0
5715207028223,1786470981685691844,153.82,100.0,89111.0
5715330983359,1786470981809647110,151.51,100.0,89111.0
5715454912165,1786470981933575816,151.29,100.0,89111.0
5715578990461,1786470982057654102,151.38,100.0,89111.0
5715703178895,1786470982181842336,150.64,100.0,89111.0
5715827122081,1786470982305785792,151.23,100.0,89111.0
5715951739648,1786470982430403099,149.86,100.0,89111.0
5716075836440,1786470982554500081,150.31,100.0,89111.0
5716200212510,1786470982678876171,150.57,100.0,89111.0
5716324473219,1786470982803136850,151.58,100.0,89111.0
5716448560701,1786470982927224252,150.96,100.0,89111.0
5716573162633,1786470983051826304,149.85,100.0,89111.0
5716697363847,1786470983176027548,150.9,100.0,89111.0
5716821229497,1786470983299893248,149.53,100.0,89111.0
5716945337234,1786470983424000975,148.95,100.0,89111.0
5717069582573,1786470983548246324,149.9,100.0,89111.0
5717194016769,1786470983672680430,149.63,100.0,89111.0
5717318487834,1786470983797151655,149.51,100.0,89111.0
5717442683693,1786470983921347314,148.61,100.0,89111.0
5717567422696,1786470984046086477,151.24,100.0,89111.0
5717692115614,1786470984170779035,150.16,100.0,89111.0
5717816985534,1786470984295649205,151.07,100.0,89111.0
5717943068321,1786470984421732012,151.61,100.0,89111.0
5718067625902,1786470984546289833,151.75,100.0,89111.0
5718192548233,1786470984671211654,150.19,100.0,89111.0
5718317130090,1786470984795793631,149.77,100.0,89111.0
5718441517845,1786470984920181596,149.23,100.0,89111.0
5718566195093,1786470985044858724,149.91,100.0,89111.0
5718690736765,1786470985169400466,148.38,100.0,89111.0
5718815637470,1786470985294301221,148.39,100.0,89111.0
5718940701672,1786470985419365253,150.17,100.0,89111.0
5719065224098,1786470985543887879,151.31,100.0,89111.0
5719190178759,1786470985668842490,151.6,100.0,89111.0
5719314651145,1786470985793314766,151.29,100.0,89111.0
5719439352933,1786470985918016584,152.32,100.0,89111.0
5719564254083,1786470986042917624,150.05,100.0,89111.0
5719724909367,1786470986203573068,148.63,100.0,89111.0
5719850027605,1786470986328691496,149.16,100.0,89111.0
5719974405135,1786470986453068836,147.11,100.0,89111.0
5720099363500,1786470986578027171,142.47,100.0,89111.0
5720224300176,1786470986702963927,143.73,100.0,89111.0
5720349377923,1786470986828041564,144.95,100.0,89111.0
5720474150416,1786470986952814087,144.1,100.0,89111.0
5720598827715,1786470987077491356,147.44,100.0,89111.0
5720723486712,1786470987202150453,148.68,100.0,89111.0
5720848050719,1786470987326714310,147.8,100.0,89111.0
5720972972050,1786470987451635731,148.21,100.0,89111.0
5721098344986,1786470987577008707,147.97,100.0,89111.0
5721223508544,1786470987702172205,147.0,100.0,89111.0
5721348139287,1786470987826802798,146.5,100.0,89111.0
5721473065838,1786470987951729499,148.56,100.0,89111.0
5721597886768,1786470988076550329,146.37,100.0,89111.0
5721722911300,1786470988201575031,144.92,100.0,89111.0
5721847409312,1786470988326073013,143.38,100.0,89111.0
5721972295898,1786470988450959449,145.77,100.0,89111.0
5722097238709,1786470988575902410,149.36,100.0,89111.0
