action,region,cohort,scenario_id,context_tokens,predicted_s,measured_s
kv_transfer,southcentralus,new_holdout,cc9b26465b97fbfb,8192,1.1390883526395454,1.136345306
replay,southcentralus,new_holdout,b0fa6e84ae40ed65,8192,2.5948304968677127,2.428571472
kv_transfer,australiaeast,new_holdout,c8fe9256c1da3b0d,8192,3.873228390845689,4.613734558
replay,australiaeast,new_holdout,9f3fe696a15d0948,8192,2.5948304968677127,2.801355716
kv_transfer,australiaeast,new_holdout,75496f231237e277,24576,11.071944252452855,10.778821086
replay,southcentralus,new_holdout,08e3facd932495df,24576,18.113900252351748,17.9358531
kv_transfer,southcentralus,new_holdout,0e31244eaa906e5c,24576,2.8695241378344263,2.785782594
replay,australiaeast,new_holdout,bf859b91b4c389fb,24576,18.113900252351748,18.299262143
kv_transfer,southcentralus,new_holdout,6205e73362a18581,16384,2.0043062452369855,1.843831718
replay,southcentralus,new_holdout,e856a5c016146991,16384,8.707250797300555,8.369192428
kv_transfer,australiaeast,new_holdout,befdd07c5bfa7131,16384,7.472586321649272,7.737634819
replay,australiaeast,new_holdout,687f52d2b75b725f,16384,8.707250797300555,8.684109709
replay,australiaeast,new_holdout,e565447346144e6d,31488,28.96327586923911,29.040288421
kv_transfer,southcentralus,new_holdout,eaae20eae4c7ef39,31488,3.599551734713516,3.345988182
kv_transfer,australiaeast,new_holdout,cd153dff9fe4a6c2,31488,14.108902506568379,13.796519529
replay,southcentralus,new_holdout,129365568545bcec,31488,28.96327586923911,28.757470445
