monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
3672387635355,1786139227995992418,0,99.99,0,61472,1
3672487859506,1786139228096216009,0,100.18,0,61472,1
3672587099291,1786139228195455543,0,98.91,0,61472,1
3672687316971,1786139228295673223,0,100.18,0,61472,1
3672788608488,1786139228396964931,0,100.25,0,61472,1
3672887463801,1786139228495820173,0,100.18,0,61472,1
3672987087637,1786139228595443939,0,100.25,0,61472,1
3673088591466,1786139228696947758,0,100.06,0,61472,1
3673186933371,1786139228795289743,0,100.19,0,61472,1
3673288473884,1786139228896830276,0,100.25,1,61472,1
3673388308879,1786139228996664931,0,340.09,1,61472,1
3673488280495,1786139229096636977,0,100.28,23,61472,1
3673588522745,1786139229196879117,0,121.70,23,61472,1
3673688591587,1786139229296947859,0,125.90,23,61472,1
3673788554771,1786139229396910953,0,122.44,23,61472,1
3673888074970,1786139229496431302,0,125.47,18,61472,1
3673987946333,1786139229596302585,0,141.02,18,61472,1
3674088453954,1786139229696810266,0,104.22,17,61472,1
3674187927646,1786139229796283938,0,130.26,17,61472,1
3674288885726,1786139229897241917,0,133.99,27,61472,1
3674388986867,1786139229997343209,0,131.02,27,61472,1
3674488739620,1786139230097095802,0,136.39,21,61472,1
3674588931801,1786139230197288193,0,128.80,21,61472,1
3674688083153,1786139230296439465,0,359.55,21,61472,1
3674788459097,1786139230396817101,0,142.92,21,61472,1
3674888311525,1786139230496667927,0,135.08,39,61472,1
3674988650751,1786139230597007043,0,133.57,39,61472,1
3675088924835,1786139230697281237,0,141.84,22,61472,1
3675190758822,1786139230799115185,0,137.85,22,61472,1
3675289435238,1786139230897792141,0,134.35,22,61472,1
3675388642808,1786139230996999100,0,360.76,22,61472,1
3675488885410,1786139231097241982,0,133.48,22,61472,1
3675588827049,1786139231197183361,0,141.66,22,61472,1
3675689098082,1786139231297454574,0,132.38,40,61472,1
3675788654253,1786139231397010976,0,141.78,40,61472,1
3675889012649,1786139231497369071,0,136.03,21,61472,1
3675988159909,1786139231596516361,0,130.91,21,61472,1
3676088913843,1786139231697269964,0,276.61,22,61472,1
3676189125915,1786139231797482398,0,133.52,22,61472,1
3676289186357,1786139231897542950,0,151.20,40,61472,1
3676388332965,1786139231996689086,0,132.23,40,61472,1
3676488623925,1786139232096980468,0,142.00,22,61472,1
3676588612764,1786139232196969116,0,133.42,22,61472,1
3676689319057,1786139232297675380,0,142.75,21,61472,1
3676788747762,1786139232397103994,0,304.51,21,61472,1
3676887448327,1786139232495804759,0,138.22,21,61472,1
3676988123274,1786139232596479557,0,139.21,21,61472,1
3677088401320,1786139232696757712,0,135.51,40,61472,1
3677188612543,1786139232796968885,0,135.17,40,61472,1
3677288846437,1786139232897202959,0,132.55,23,61472,1
3677388846105,1786139232997202166,0,132.73,23,61472,1
3677488735097,1786139233097091449,0,353.07,21,61472,1
3677588789125,1786139233197145517,0,136.84,21,61472,1
3677688993169,1786139233297349681,0,150.20,39,61472,1
3677788522344,1786139233396878556,0,131.83,39,61472,1
3677888594382,1786139233496950584,0,135.93,23,61472,1
3677988552888,1786139233596909260,0,134.33,23,61472,1
3678087937494,1786139233696293736,0,133.13,21,61472,1
3678187765106,1786139233796121288,0,355.44,21,61472,1
3678288631004,1786139233896987416,0,144.47,21,61472,1
3678389118085,1786139233997474397,0,141.79,21,61472,1
3678489008945,1786139234097365197,0,139.37,40,61472,1
3678588836156,1786139234197192408,0,132.28,40,61472,1
3678688652678,1786139234297008890,0,132.08,23,61472,1
3678788881007,1786139234397237218,0,134.68,23,61472,1
3678888590397,1786139234496946829,0,254.93,20,61472,1
3678988976877,1786139234597333018,0,128.69,20,61472,1
3679088295925,1786139234696652237,0,138.19,38,61472,1
3679187859328,1786139234796215540,0,138.02,38,61472,1
3679288647609,1786139234897003911,0,137.61,22,61472,1
3679388852200,1786139234997209814,0,124.80,22,61472,1
