monotonic_ns,wall_ns,interval_ns,connection_id,route,direction,bytes,billed
8164750000000,1785918525794076690,250000000,226c6afc7238523c,kv/west,client_to_target,193,0
8164750000000,1785918525794102569,250000000,226c6afc7238523c,kv/west,target_to_client,4,1
8164750000000,1785918525794110363,250000000,2a39795828056635,api/east,client_to_target,1372,1
8164750000000,1785918525794116435,250000000,5a1e9a608d4eab80,kv/west,client_to_target,193,0
8164750000000,1785918525794121835,250000000,5a1e9a608d4eab80,kv/west,target_to_client,4,1
8164750000000,1785918525794127124,250000000,cbea9e04f4e1edd3,api/west,client_to_target,1372,1
8164750000000,1785918525794132164,250000000,cbea9e04f4e1edd3,api/west,target_to_client,149,0
8165000000000,1785918526045665785,250000000,0fc657785f81cf62,kv/east,client_to_target,193,0
8165000000000,1785918526045686925,250000000,0fc657785f81cf62,kv/east,target_to_client,4,1
8165000000000,1785918526045695110,250000000,2a39795828056635,api/east,target_to_client,149,0
8165000000000,1785918526045702424,250000000,5e1dcb3b54269e1a,kv/east,client_to_target,193,0
8165000000000,1785918526045709377,250000000,5e1dcb3b54269e1a,kv/east,target_to_client,4,1
8165000000000,1785918526045715849,250000000,cbea9e04f4e1edd3,api/west,target_to_client,755,0
8165250000000,1785918526296691295,250000000,0b0e80b71bae675a,kv/west,client_to_target,12583115,0
8165250000000,1785918526296726421,250000000,0b0e80b71bae675a,kv/west,target_to_client,5,1
8165250000000,1785918526296735127,250000000,2a39795828056635,api/east,target_to_client,1232,0
8165250000000,1785918526296742150,250000000,72771088791cff8d,kv/west,client_to_target,12583115,0
8165250000000,1785918526296748872,250000000,72771088791cff8d,kv/west,target_to_client,5,1
8165250000000,1785918526296755164,250000000,cbea9e04f4e1edd3,api/west,target_to_client,1904,0
8165500000000,1785918526547793577,250000000,2a39795828056635,api/east,target_to_client,2146,0
8165500000000,1785918526547826769,250000000,cbea9e04f4e1edd3,api/west,target_to_client,1905,0
8165750000000,1785918526798717231,250000000,0797a38fe03e7507,kv/east,client_to_target,193,0
8165750000000,1785918526798742789,250000000,0797a38fe03e7507,kv/east,target_to_client,4,1
8165750000000,1785918526798749502,250000000,0b74724c58bc3b7e,api/east,client_to_target,1372,1
8165750000000,1785918526798755022,250000000,0b74724c58bc3b7e,api/east,target_to_client,149,0
8165750000000,1785918526798760142,250000000,2a39795828056635,api/east,target_to_client,2148,0
8165750000000,1785918526798765151,250000000,9d75d9960c4135d3,kv/east,client_to_target,193,0
8165750000000,1785918526798770521,250000000,9d75d9960c4135d3,kv/east,target_to_client,4,1
8165750000000,1785918526798775771,250000000,cbea9e04f4e1edd3,api/west,target_to_client,1673,0
8166000000000,1785918527049570490,250000000,0b74724c58bc3b7e,api/east,target_to_client,278,0
8166000000000,1785918527049589165,250000000,2a39795828056635,api/east,target_to_client,1911,0
8166000000000,1785918527049595827,250000000,cbea9e04f4e1edd3,api/west,target_to_client,1904,0
8166250000000,1785918527300016228,250000000,0420739fbe4c9d17,kv/east,client_to_target,12583115,0
8166250000000,1785918527300045964,250000000,0420739fbe4c9d17,kv/east,target_to_client,5,1
8166250000000,1785918527300054650,250000000,0b74724c58bc3b7e,api/east,target_to_client,2143,0
8166250000000,1785918527300061713,250000000,2a39795828056635,api/east,target_to_client,949,0
8166250000000,1785918527300068516,250000000,cbea9e04f4e1edd3,api/west,target_to_client,1199,0
8166500000000,1785918527550671302,250000000,0b74724c58bc3b7e,api/east,target_to_client,2154,0
8166500000000,1785918527550695227,250000000,2a39795828056635,api/east,target_to_client,2134,0
8166500000000,1785918527550703131,250000000,5b7f9360f28eceb3,api/east,client_to_target,1372,1
8166500000000,1785918527550710295,250000000,777f68e64c79d026,kv/east,client_to_target,12583115,0
8166500000000,1785918527550717118,250000000,777f68e64c79d026,kv/east,target_to_client,5,1
8166500000000,1785918527550723640,250000000,78b595271c2ec7c3,kv/west,client_to_target,193,0
8166500000000,1785918527550741263,250000000,78b595271c2ec7c3,kv/west,target_to_client,4,1
8166500000000,1785918527550747795,250000000,bcb4ea9d6059ec2e,kv/west,client_to_target,193,0
8166500000000,1785918527550753826,250000000,bcb4ea9d6059ec2e,kv/west,target_to_client,4,1
8166500000000,1785918527550759837,250000000,cbea9e04f4e1edd3,api/west,target_to_client,1414,0
8166500000000,1785918527550766129,250000000,f6af99e9b52096a1,api/west,client_to_target,1372,1
8166500000000,1785918527550772180,250000000,f6af99e9b52096a1,api/west,target_to_client,149,0
8166750000000,1785918527801806637,250000000,0b74724c58bc3b7e,api/east,target_to_client,2142,0
8166750000000,1785918527801825913,250000000,0fc657785f81cf62,kv/east,client_to_target,193,0
8166750000000,1785918527801832545,250000000,0fc657785f81cf62,kv/east,target_to_client,4,1
8166750000000,1785918527801838015,250000000,2a39795828056635,api/east,target_to_client,2123,0
8166750000000,1785918527801843175,250000000,5b7f9360f28eceb3,api/east,target_to_client,149,0
8166750000000,1785918527801848254,250000000,5e1dcb3b54269e1a,kv/east,client_to_target,193,0
8166750000000,1785918527801853154,250000000,5e1dcb3b54269e1a,kv/east,target_to_client,4,1
8166750000000,1785918527801858023,250000000,cbea9e04f4e1edd3,api/west,target_to_client,1657,0
8166750000000,1785918527801863112,250000000,f6af99e9b52096a1,api/west,target_to_client,996,0
8167000000000,1785918528052829947,250000000,0b74724c58bc3b7e,api/east,target_to_client,1905,0
8167000000000,1785918528052852719,250000000,2a39795828056635,api/east,target_to_client,1258,0
8167000000000,1785918528052861275,250000000,5b7f9360f28eceb3,api/east,target_to_client,1232,0
8167000000000,1785918528052868739,250000000,944c3e4d8b9fbd72,kv/west,client_to_target,12583115,0
8167000000000,1785918528052875642,250000000,944c3e4d8b9fbd72,kv/west,target_to_client,5,1
8167000000000,1785918528052882154,250000000,cbea9e04f4e1edd3,api/west,target_to_client,1480,0
8167000000000,1785918528052888476,250000000,d3d95c2216d1a9c7,kv/west,client_to_target,12583115,0
8167000000000,1785918528052895238,250000000,d3d95c2216d1a9c7,kv/west,target_to_client,5,1
8167000000000,1785918528052902953,250000000,f6af99e9b52096a1,api/west,target_to_client,1905,0
8167250000000,1785918528303322608,250000000,0ae0137ea72b5edf,kv/east,client_to_target,12583115,0
8167250000000,1785918528303346623,250000000,0ae0137ea72b5edf,kv/east,target_to_client,5,1
8167250000000,1785918528303355038,250000000,0b74724c58bc3b7e,api/east,target_to_client,1914,0
8167250000000,1785918528303361871,250000000,5b7f9360f28eceb3,api/east,target_to_client,2134,0
8167250000000,1785918528303368243,250000000,8552d178d551ab6b,kv/east,client_to_target,12583115,0
8167250000000,1785918528303374565,250000000,8552d178d551ab6b,kv/east,target_to_client,5,1
8167250000000,1785918528303380606,250000000,f6af99e9b52096a1,api/west,target_to_client,1674,0
8167500000000,1785918528554450543,250000000,014a3d2ce7b97cfa,api/east,client_to_target,1372,1
8167500000000,1785918528554478045,250000000,014a3d2ce7b97cfa,api/east,target_to_client,149,0
8167500000000,1785918528554486530,250000000,0b74724c58bc3b7e,api/east,target_to_client,1177,0
8167500000000,1785918528554493383,250000000,5b7f9360f28eceb3,api/east,target_to_client,2160,0
8167500000000,1785918528554499825,250000000,f6af99e9b52096a1,api/west,target_to_client,1902,0
8167750000000,1785918528805364610,250000000,014a3d2ce7b97cfa,api/east,target_to_client,278,0
8167750000000,1785918528805382844,250000000,0420739fbe4c9d17,kv/east,client_to_target,193,0
8167750000000,1785918528805389456,250000000,0420739fbe4c9d17,kv/east,target_to_client,4,1
8167750000000,1785918528805394856,250000000,0b74724c58bc3b7e,api/east,target_to_client,2247,0
8167750000000,1785918528805400146,250000000,5b7f9360f28eceb3,api/east,target_to_client,2147,0
8167750000000,1785918528805405095,250000000,777f68e64c79d026,kv/east,client_to_target,193,0
8167750000000,1785918528805410015,250000000,777f68e64c79d026,kv/east,target_to_client,4,1
8167750000000,1785918528805414924,250000000,f6af99e9b52096a1,api/west,target_to_client,1904,0
8168000000000,1785918529055570206,250000000,014a3d2ce7b97cfa,api/east,target_to_client,2143,0
8168000000000,1785918529055592156,250000000,0797a38fe03e7507,kv/east,client_to_target,12583115,0
8168000000000,1785918529055600382,250000000,0797a38fe03e7507,kv/east,target_to_client,5,1
8168000000000,1785918529055607235,250000000,5b7f9360f28eceb3,api/east,target_to_client,2147,0
8168000000000,1785918529055613767,250000000,9d75d9960c4135d3,kv/east,client_to_target,12583115,0
8168000000000,1785918529055620229,250000000,9d75d9960c4135d3,kv/east,target_to_client,5,1
8168000000000,1785918529055626431,250000000,f6af99e9b52096a1,api/west,target_to_client,1920,0
