monotonic_ns,wall_ns,gpu,power_w,utilization_pct,memory_mib,valid
5802316003930878,1784417046358913231,0,89.25,0,75259,1
5802316003930878,1784417046358913231,1,85.95,0,74055,1
5802316295438128,1784417046650420061,0,356.24,14,75259,1
5802316295438128,1784417046650420061,1,85.95,0,74055,1
5802316584489946,1784417046939471929,0,360.76,100,75259,1
5802316584489946,1784417046939471929,1,85.95,0,74055,1
5802316905822645,1784417047260804478,0,357.44,100,75259,1
5802316905822645,1784417047260804478,1,88.92,0,74055,1
5802317196697431,1784417047551679414,0,362.01,96,75259,1
5802317196697431,1784417047551679414,1,85.86,0,74055,1
5802317484167268,1784417047839149271,0,373.82,100,75259,1
5802317484167268,1784417047839149271,1,85.86,0,74055,1
5802317774491291,1784417048129473404,0,139.75,33,75259,1
5802317774491291,1784417048129473404,1,85.95,0,74055,1
5802318060724442,1784417048415706465,0,142.20,36,75259,1
5802318060724442,1784417048415706465,1,85.95,0,74055,1
5802318346848954,1784417048701830997,0,141.42,36,75259,1
5802318346848954,1784417048701830997,1,85.95,0,74055,1
5802318635408638,1784417048990390711,0,139.29,35,75259,1
5802318635408638,1784417048990390711,1,85.95,0,74055,1
5802318924734643,1784417049279716746,0,134.77,35,75259,1
5802318924734643,1784417049279716746,1,85.77,0,74055,1
5802319212925301,1784417049567907564,0,136.29,35,75259,1
5802319212925301,1784417049567907564,1,85.95,0,74055,1
5802319504575138,1784417049859557031,0,354.13,46,75259,1
5802319504575138,1784417049859557031,1,86.19,0,74055,1
5802319793385259,1784417050148367272,0,386.75,100,75259,1
5802319793385259,1784417050148367272,1,85.86,0,74055,1
5802320083501295,1784417050438483188,0,403.05,100,75259,1
5802320083501295,1784417050438483188,1,85.59,0,74055,1
5802320368566189,1784417050723548012,0,355.65,97,75259,1
5802320368566189,1784417050723548012,1,85.86,0,74055,1
5802320650377652,1784417051005359475,0,368.98,100,75259,1
5802320650377652,1784417051005359475,1,85.86,0,74055,1
5802320931812810,1784417051286794633,0,380.19,100,75259,1
5802320931812810,1784417051286794633,1,85.86,0,74055,1
5802321218060450,1784417051573042553,0,135.23,65,75259,1
5802321218060450,1784417051573042553,1,85.68,0,74055,1
5802321505328199,1784417051860310222,0,146.45,34,75259,1
5802321505328199,1784417051860310222,1,85.68,0,74055,1
5802321788876782,1784417052143858815,0,146.00,37,75259,1
5802321788876782,1784417052143858815,1,85.95,0,74055,1
5802322071894331,1784417052426876434,0,139.75,37,75259,1
5802322071894331,1784417052426876434,1,85.68,0,74055,1
5802322361092307,1784417052716074340,0,95.47,37,75259,1
5802322361092307,1784417052716074340,1,85.68,0,74055,1
5802322647328978,1784417053002310991,0,131.11,32,75259,1
5802322647328978,1784417053002310991,1,85.36,0,74055,1
5802322931633422,1784417053286615505,0,144.47,35,75259,1
5802322931633422,1784417053286615505,1,85.36,0,74055,1
5802323218521245,1784417053573503288,0,136.57,35,75259,1
5802323218521245,1784417053573503288,1,85.36,0,74055,1
5802323502309545,1784417053857291588,0,137.62,36,75259,1
5802323502309545,1784417053857291588,1,85.36,0,74055,1
5802323787795474,1784417054142777507,0,136.57,35,75259,1
5802323787795474,1784417054142777507,1,85.36,0,74055,1
5802324074380121,1784417054429362144,0,140.55,35,75259,1
5802324074380121,1784417054429362144,1,85.44,0,74055,1
5802324360493894,1784417054715475657,0,138.28,35,75259,1
5802324360493894,1784417054715475657,1,85.36,0,74055,1
5802324648070029,1784417055003052062,0,138.28,46,75259,1
5802324648070029,1784417055003052062,1,85.36,0,74055,1
5802324934293190,1784417055289275383,0,140.82,36,75259,1
5802324934293190,1784417055289275383,1,85.36,0,74055,1
