catch_up_finish_s,catch_up_start_s,condition,context_profile,context_tokens,continuation_start_s,continuation_ttft_delta_s,continuation_ttft_s,episode,first_token_s,match_id,method,migration_finish_s,migration_start_s,migration_ttft_s,order,policy,quiesce_s,reaction_commit_s,reaction_readiness_s,repeat,required_deadline_s,sample_id,scenario_id,scheduler_wait_s,service_pause_s,session_id,token_distribution
,,large-fixed-1000mbps-19s,large,16384,11.999045266,-0.02882531900000007,0.541909998,96,12.540955264,cbe12273d4413650,replay,11.544903354,0.000341737,11.40273379,0,isolated_fastest,11.544905494,11.545191941,11.403075527,0,19.0,e33c7532b46acaed,p-86b76982a2f2e4bb,0.000341737,0.000286447,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,large-fixed-1000mbps-19s,large,16384,12.002558863,-0.029492763000000033,0.583287569,96,12.585846432,cbe12273d4413650,replay,11.700859458,0.000666423,11.471203907,1,isolated_fastest,11.700860598,11.701096386,11.47187033,0,19.0,e33c7532b46acaed,p-86b76982a2f2e4bb,0.000666423,0.000235788,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,fixed
,,large-fixed-1000mbps-19s,large,16384,12.002074968,-0.02927019399999997,0.561377725,96,12.563452693,cbe12273d4413650,replay,11.676630736,0.002477186,11.492644326,2,isolated_fastest,11.676632226,11.676955083,11.495121512,0,19.0,e33c7532b46acaed,p-86b76982a2f2e4bb,0.002477186,0.000322857,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,fixed
,,large-fixed-1000mbps-19s,large,16384,11.999504842,-0.029261374999999923,0.564124249,96,12.563629091,cbe12273d4413650,replay,11.771571304,0.002767964,11.540875782,3,isolated_fastest,11.771572324,11.771884031,11.543643746,0,19.0,e33c7532b46acaed,p-86b76982a2f2e4bb,0.002767964,0.000311707,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,fixed
,,large-fixed-1000mbps-19s,large,16384,12.003032199,-0.029254345000000015,0.537564809,96,12.540597008,cbe12273d4413650,replay,11.842136681,0.003245299,11.649097545,4,isolated_fastest,11.842138481,11.842607236,11.652342844,0,19.0,e33c7532b46acaed,p-86b76982a2f2e4bb,0.003245299,0.000468755,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,fixed
,,large-fixed-1000mbps-19s,large,16384,12.000944659,-0.008661499000000017,0.584738615,96,12.585683274,cbe12273d4413650,replay,11.866850979,0.003660505,11.672627174,5,isolated_fastest,11.866852259,11.867554442,11.676287679,0,19.0,e33c7532b46acaed,p-86b76982a2f2e4bb,0.003660505,0.000702183,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,fixed
,,large-fixed-1000mbps-19s,large,16384,12.000496503,-0.02933091500000007,0.585040472,96,12.585536975,cbe12273d4413650,replay,11.867049847,0.004450798,11.718870169,6,isolated_fastest,11.867051197,11.867675941,11.723320967,0,19.0,e33c7532b46acaed,p-86b76982a2f2e4bb,0.004450798,0.000624744,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,fixed
,,large-fixed-1000mbps-19s,large,16384,12.001697161,-0.02948721199999993,0.562032869,96,12.56373003,cbe12273d4413650,replay,11.997457711,0.00533278,11.765472561,7,isolated_fastest,11.997460081,11.997680929,11.770805341,0,19.0,e33c7532b46acaed,p-86b76982a2f2e4bb,0.00533278,0.000220848,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,fixed
,,large-fixed-1000mbps-30s,large,16384,11.818500807,0.026193765000000035,0.572874728,99,12.391375535,3d71ecf12851970f,replay,11.4295853,0.000506765,11.28513674,0,isolated_fastest,11.4295866,11.429850578,11.285643505,0,30.0,e33c7532b46acaed,p-f8739b962a2a1cb5,0.000506765,0.000263978,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,large-fixed-1000mbps-30s,large,16384,11.821779796,0.07449133399999996,0.618391303,99,12.440171099,3d71ecf12851970f,replay,11.577764256,0.001214708,11.377843894,1,isolated_fastest,11.577765476,11.578487889,11.379058602,0,30.0,e33c7532b46acaed,p-f8739b962a2a1cb5,0.001214708,0.000722413,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,fixed
