catch_up_finish_s,catch_up_start_s,condition,context_profile,context_tokens,continuation_start_s,continuation_ttft_delta_s,continuation_ttft_s,episode,first_token_s,match_id,method,migration_finish_s,migration_start_s,migration_ttft_s,order,policy,quiesce_s,reaction_commit_s,reaction_readiness_s,repeat,required_deadline_s,sample_id,scenario_id,scheduler_wait_s,service_pause_s,session_id,token_distribution
,,medium-fixed-2500mbps-30s,medium,8192,5.392233573,-0.17113949999999994,0.452240746,57,5.844474319,e0daa9be315f7db5,replay,4.926650352,0.000795688,4.921636199,0,queue_haul_deadline_blind,4.926657422,4.927213784,4.922431887,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,0.000795688,0.000556362,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.392493829,-0.12487420999999999,0.522446186,57,5.914940015,e0daa9be315f7db5,replay,5.017117141,0.001684385,5.015037452,1,queue_haul_deadline_blind,5.017120711,5.017488016,5.016721837,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,0.001684385,0.000367305,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.394658456,-0.18130791300000004,0.747122121,57,6.141780577,e0daa9be315f7db5,replay,5.390542079,0.002142868,5.085513109,2,queue_haul_deadline_blind,5.390547179,5.390807875,5.087655977,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,0.002142868,0.000260696,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.395111219,-0.14957855599999992,0.519511161,57,5.91462238,e0daa9be315f7db5,replay,5.040395743,0.003651544,4.819415871,3,queue_haul_deadline_blind,5.040397443,5.040778198,4.823067415,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,0.003651544,0.000380755,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.39570402,-0.17399700100000004,0.495119266,57,5.890823286,e0daa9be315f7db5,replay,5.206104445,0.004502721,5.058720461,4,queue_haul_deadline_blind,5.206107385,5.206667077,5.063223182,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,0.004502721,0.000559692,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.395846058,-0.17254309,0.519411092,57,5.91525715,e0daa9be315f7db5,replay,5.110935909,0.004889735,4.887530784,5,queue_haul_deadline_blind,5.110936969,5.111151955,4.892420519,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,0.004889735,0.000214986,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.396269701,-0.17370706400000002,0.494453597,57,5.890723298,e0daa9be315f7db5,replay,5.088523883,0.005356608,4.864133313,6,queue_haul_deadline_blind,5.088524903,5.088934747,4.869489921,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,0.005356608,0.000409844,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.396926291,-0.15049457100000008,0.517593361,57,5.914519652,e0daa9be315f7db5,replay,5.087920113,0.00585555,4.916500899,7,queue_haul_deadline_blind,5.087921473,5.088841658,4.922356449,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,0.00585555,0.000920185,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.014500843,-0.11219024599999994,0.51119,57,5.525690843,e0daa9be315f7db5,replay,4.684803376,0.000598662,4.539154914,0,queue_haul_power_blind,4.684806326,4.685085592,4.539753576,57,30.0,51fde7b51569b7ba,p-e10941a7139e8b70,0.000598662,0.000279266,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,medium-fixed-2500mbps-30s,medium,8192,5.01615564,-0.138108538,0.509211858,57,5.525367498,e0daa9be315f7db5,replay,4.753789686,0.001044245,4.752380566,1,queue_haul_power_blind,4.753791716,4.754059682,4.753424811,57,30.0,51fde7b51569b7ba,p-e10941a7139e8b70,0.001044245,0.000267966,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,fixed
