bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,0.5346571009380091,340.4175,20
0,0.0,5.0,1,sink,0,82.975,20
1,5.0,10.0,0,source,0.5346571009380091,288.859,20
1,5.0,10.0,1,sink,0,82.90899999999999,20
2,10.0,15.0,0,source,0.5346571009380091,282.06,20
2,10.0,15.0,1,sink,0,82.97400000000002,20
3,15.0,20.0,0,source,0.5346571009380091,277.1915,20
3,15.0,20.0,1,sink,0,82.94,20
4,20.0,25.0,0,source,0.5346571009380091,334.8655,20
4,20.0,25.0,1,sink,0,82.9675,20
5,25.0,30.0,0,source,0.5346571009380091,357.5095,20
5,25.0,30.0,1,sink,0,83.13000000000001,20
6,30.0,35.0,0,source,0.5346571009380091,295.716,20
6,30.0,35.0,1,sink,0,82.963,20
7,35.0,40.0,0,source,0.5346571009380091,245.60700000000003,20
7,35.0,40.0,1,sink,0,82.98499999999999,20
8,40.0,45.0,0,source,0.5346571009380091,278.96899999999994,20
8,40.0,45.0,1,sink,0,82.98249999999999,20
9,45.0,50.0,0,source,0.5346571009380091,245.57500000000005,20
9,45.0,50.0,1,sink,0,82.99549999999999,20
10,50.0,55.0,0,source,0.5346571009380091,362.7165,20
10,50.0,55.0,1,sink,0,83.0405,20
11,55.0,60.0,0,source,0.5346571009380091,306.52549999999997,20
11,55.0,60.0,1,sink,0,83.191,20
12,60.0,65.0,0,source,0.5346571009380091,175.46950000000004,20
12,60.0,65.0,1,sink,0,83.09799999999998,20
13,65.0,70.0,0,source,0.5346571009380091,148.91299999999998,20
13,65.0,70.0,1,sink,0,82.7755,20
14,70.0,75.0,0,source,0.5346571009380091,292.89,20
14,70.0,75.0,1,sink,0,82.71600000000001,20
15,75.0,80.0,0,source,0.5346571009380091,230.32999999999998,20
15,75.0,80.0,1,sink,0,82.771,20
16,80.0,85.0,0,source,0.5346571009380091,154.05949999999999,20
16,80.0,85.0,1,sink,0,82.77099999999999,20
17,85.0,90.0,0,source,0.5346571009380091,157.296,20
17,85.0,90.0,1,sink,0,82.77099999999999,20
18,90.0,95.0,0,source,0.5346571009380091,173.715,20
18,90.0,95.0,1,sink,0,82.8205,20
19,95.0,100.0,0,source,0.5346571009380091,170.01684210526318,19
19,95.0,100.0,1,sink,0,264.7026315789473,19
20,100.0,105.0,0,source,0.4838866702284274,170.1575,20
20,100.0,105.0,1,sink,0.050770430709581725,142.14450000000002,20
21,105.0,110.0,0,source,0.4683256628912529,363.9875,20
21,105.0,110.0,1,sink,0.06633143804675623,350.9395,20
22,110.0,115.0,0,source,0.421427170971859,177.84300000000002,20
22,110.0,115.0,1,sink,0.11322992996615008,236.46349999999998,20
23,115.0,120.0,0,source,0.3921189606420479,156.826,20
23,115.0,120.0,1,sink,0.14253814029596124,332.97300000000007,20
24,120.0,125.0,0,source,0.3703149910866708,162.26500000000001,20
24,120.0,125.0,1,sink,0.1643421098513383,336.424,20
25,125.0,130.0,0,source,0.3703149910866708,337.573,20
25,125.0,130.0,1,sink,0.1643421098513383,360.12350000000004,20
26,130.0,135.0,0,source,0.3703149910866708,194.5095,20
26,130.0,135.0,1,sink,0.1643421098513383,329.836,20
27,135.0,140.0,0,source,0.3703149910866708,339.41600000000005,20
27,135.0,140.0,1,sink,0.1643421098513383,362.7885,20
28,140.0,145.0,0,source,0.3703149910866708,198.14600000000002,20
28,140.0,145.0,1,sink,0.1643421098513383,313.9085,20
29,145.0,150.0,0,source,0.23953037770123714,352.13599999999997,20
29,145.0,150.0,1,sink,0.29512672323677197,367.63649999999996,20
30,150.0,155.0,0,source,0.23953037770123714,299.06499999999994,20
30,150.0,155.0,1,sink,0.29512672323677197,356.89750000000004,20
31,155.0,160.0,0,source,0.12219131741574074,345.5385,20
31,155.0,160.0,1,sink,0.41246578352226837,309.34800000000007,20
32,160.0,165.0,0,source,0.12219131741574074,261.373,20
32,160.0,165.0,1,sink,0.41246578352226837,332.328,20
33,165.0,170.0,0,source,0.12219131741574074,176.22899999999998,20
33,165.0,170.0,1,sink,0.41246578352226837,361.3655,20
34,170.0,175.0,0,source,0.12219131741574074,142.18900000000002,20
34,170.0,175.0,1,sink,0.41246578352226837,277.423,20
35,175.0,180.0,0,source,0.12219131741574074,184.86850000000004,20
35,175.0,180.0,1,sink,0.41246578352226837,284.83500000000004,20
36,180.0,185.0,0,source,0.12219131741574074,297.30249999999995,20
36,180.0,185.0,1,sink,0.41246578352226837,304.87049999999994,20
37,185.0,190.0,0,source,0.12219131741574074,160.75900000000001,20
37,185.0,190.0,1,sink,0.41246578352226837,281.03099999999995,20
38,190.0,195.0,0,source,0.12219131741574074,131.3305,20
38,190.0,195.0,1,sink,0.41246578352226837,359.3115,20
39,195.0,200.0,0,source,0.12219131741574074,138.01950000000002,20
39,195.0,200.0,1,sink,0.41246578352226837,284.23249999999996,20
40,200.0,205.0,0,source,0.12219131741574074,99.55700000000002,20
40,200.0,205.0,1,sink,0.41246578352226837,352.151,20
41,205.0,210.0,0,source,0.12219131741574074,130.2715,20
41,205.0,210.0,1,sink,0.41246578352226837,315.86650000000003,20
42,210.0,215.0,0,source,0.12219131741574074,141.34150000000002,20
42,210.0,215.0,1,sink,0.41246578352226837,364.072,20
43,215.0,216.97331166267395,0,source,0.12219131741574074,119.24625,8
43,215.0,216.97331166267395,1,sink,0.41246578352226837,295.4625,8
