bucket,bucket_start_s,bucket_end_s,gpu,node,ell,power_mean_w,samples
0,0.0,5.0,0,source,0.5346571009380091,327.1740000000001,20
0,0.0,5.0,1,sink,0,82.92899999999997,20
1,5.0,10.0,0,source,0.5346571009380091,295.0073684210526,19
1,5.0,10.0,1,sink,0,83.06736842105262,19
2,10.0,15.0,0,source,0.5346571009380091,355.4335,20
2,10.0,15.0,1,sink,0,82.8245,20
3,15.0,20.0,0,source,0.5346571009380091,330.4705,20
3,15.0,20.0,1,sink,0,82.801,20
4,20.0,25.0,0,source,0.5346571009380091,364.93749999999994,20
4,20.0,25.0,1,sink,0,82.7485,20
5,25.0,30.0,0,source,0.5346571009380091,290.21049999999997,20
5,25.0,30.0,1,sink,0,82.8245,20
6,30.0,35.0,0,source,0.5346571009380091,279.77650000000006,20
6,30.0,35.0,1,sink,0,82.8425,20
7,35.0,40.0,0,source,0.5346571009380091,231.38899999999998,20
7,35.0,40.0,1,sink,0,82.93999999999998,20
8,40.0,45.0,0,source,0.5346571009380091,219.39249999999998,20
8,40.0,45.0,1,sink,0,82.97149999999999,20
9,45.0,50.0,0,source,0.5346571009380091,259.58399999999995,20
9,45.0,50.0,1,sink,0,82.979,20
10,50.0,55.0,0,source,0.5346571009380091,327.625,20
10,50.0,55.0,1,sink,0,83.14150000000002,20
11,55.0,60.0,0,source,0.5346571009380091,357.878,20
11,55.0,60.0,1,sink,0,83.07949999999998,20
12,60.0,65.0,0,source,0.5346571009380091,257.76699999999994,20
12,60.0,65.0,1,sink,0,273.216,20
13,65.0,70.0,0,source,0.5346571009380091,110.335,20
13,65.0,70.0,1,sink,0,333.80800000000005,20
14,70.0,75.0,0,source,0.5346571009380091,89.95200000000003,20
14,70.0,75.0,1,sink,0,363.61550000000005,20
15,75.0,80.0,0,source,0.25895730363903113,89.284,20
15,75.0,80.0,1,sink,0.275699797298978,304.31850000000003,20
16,80.0,85.0,0,source,0.20898689358525518,88.88250000000001,20
16,80.0,85.0,1,sink,0.3256702073527539,338.76599999999996,20
17,85.0,90.0,0,source,0.20898689358525518,88.7515,20
17,85.0,90.0,1,sink,0.3256702073527539,361.09400000000005,20
18,90.0,95.0,0,source,0.20898689358525518,88.60549999999999,20
18,90.0,95.0,1,sink,0.3256702073527539,347.221,20
19,95.0,100.0,0,source,0.20898689358525518,88.32499999999999,20
19,95.0,100.0,1,sink,0.3256702073527539,360.31100000000004,20
20,100.0,105.0,0,source,0.20270781924250542,87.99499999999999,20
20,100.0,105.0,1,sink,0.3319492816955037,336.669,20
21,105.0,110.0,0,source,0.009463090920892259,88.04999999999998,20
21,105.0,110.0,1,sink,0.5251940100171169,342.30949999999996,20
22,110.0,115.0,0,source,0.009463090920892259,88.02950000000001,20
22,110.0,115.0,1,sink,0.5251940100171169,334.18899999999996,20
23,115.0,120.0,0,source,0.004871656756925691,88.0445,20
23,115.0,120.0,1,sink,0.5297854441810834,370.2735,20
24,120.0,125.0,0,source,0.004871656756925691,88.07000000000001,20
24,120.0,125.0,1,sink,0.5297854441810834,360.793,20
25,125.0,130.0,0,source,0.004871656756925691,88.20950000000002,20
25,125.0,130.0,1,sink,0.5297854441810834,367.1520000000001,20
26,130.0,135.0,0,source,0.004871656756925691,88.14736842105265,19
26,130.0,135.0,1,sink,0.5297854441810834,346.20947368421054,19
27,135.0,140.0,0,source,1.1102230246251565e-16,90.06800000000001,20
27,135.0,140.0,1,sink,0.534657100938009,357.68,20
28,140.0,145.0,0,source,1.1102230246251565e-16,88.203,20
28,140.0,145.0,1,sink,0.534657100938009,366.1764999999999,20
29,145.0,150.0,0,source,1.1102230246251565e-16,88.3495,20
29,145.0,150.0,1,sink,0.534657100938009,358.5165,20
30,150.0,155.0,0,source,1.1102230246251565e-16,88.327,20
30,150.0,155.0,1,sink,0.534657100938009,354.66450000000003,20
31,155.0,160.0,0,source,1.1102230246251565e-16,88.5685,20
31,155.0,160.0,1,sink,0.534657100938009,367.2165,20
32,160.0,165.0,0,source,1.1102230246251565e-16,88.3945,20
32,160.0,165.0,1,sink,0.534657100938009,312.052,20
33,165.0,170.0,0,source,1.1102230246251565e-16,88.00549999999998,20
33,165.0,170.0,1,sink,0.534657100938009,315.253,20
34,170.0,175.0,0,source,1.1102230246251565e-16,87.9645,20
34,170.0,175.0,1,sink,0.534657100938009,255.0885,20
35,175.0,180.0,0,source,1.1102230246251565e-16,87.95249999999999,20
35,175.0,180.0,1,sink,0.534657100938009,265.865,20
36,180.0,185.0,0,source,1.1102230246251565e-16,87.83749999999999,20
36,180.0,185.0,1,sink,0.534657100938009,293.7355,20
37,185.0,190.0,0,source,1.1102230246251565e-16,87.953,20
37,185.0,190.0,1,sink,0.534657100938009,355.0075,20
38,190.0,195.0,0,source,1.1102230246251565e-16,87.84649999999999,20
38,190.0,195.0,1,sink,0.534657100938009,355.0559999999999,20
39,195.0,195.90974617004395,0,source,1.1102230246251565e-16,87.905,4
39,195.0,195.90974617004395,1,sink,0.534657100938009,347.34749999999997,4
